[Wafer Information]
Wafer Number,9
Wafer ID,Q336916-04E3
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24101568-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/26/2024 03:11
End Time,01/26/2024 03:18
Inspection Time,0:06:48
Photo Time,1:12:12
Data Output Time,01/26/2024 05:08

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F99 Others,F13 Pad area damage
9,Q336916-04E3,19836,19505,98.331317,331,423,422,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,60,50,43.24806,25.948836,276.787584,3
8,80,50,43.24806,20.182428,271.021176,3
10,51,50,66.313692,40.364856,550.691964,3
16,56,50,83.612916,25.948836,513.210312,3
20,50,50,77.846508,28.83204,507.443904,3
21,94,50,43.24806,20.182428,259.48836,3
24,70,50,8.649612,149.926608,446.89662,1
32,22,50,43.24806,28.83204,320.035644,3
33,61,50,54.780876,25.948836,345.98448,3
40,110,50,121.094568,37.481652,818.829936,3
46,14,50,8.649612,43.24806,118.211364,1
51,59,50,268.137972,8.649612,717.917796,1
51,59,50,268.137972,8.649612,729.450612,1
51,59,50,268.137972,11.532816,789.997896,1
51,45,50,46.131264,28.83204,348.867684,3
51,15,50,271.021176,11.532816,798.647508,1
51,15,50,271.021176,8.649612,749.63304,1
51,26,50,271.021176,8.649612,772.698672,1
51,26,50,268.137972,11.532816,715.034592,1
51,26,50,268.137972,8.649612,712.151388,1
53,115,50,46.131264,20.182428,268.137972,3
56,104,50,28.83204,8.649612,77.846508,1
56,29,50,54.780876,28.83204,406.531764,3
57,22,50,34.598448,43.24806,343.101276,3
60,114,50,46.131264,20.182428,253.721952,3
63,118,50,57.66408,23.065632,392.115744,3
62,39,50,66.313692,40.364856,478.611864,3
62,39,50,69.033888,48.899004,757.583904,3
72,59,50,28.83204,8.649612,74.963304,1
84,118,50,57.66408,46.131264,602.589636,3
87,120,50,43.24806,20.182428,242.189136,3
90,70,50,8.649612,149.926608,435.363804,1
90,92,50,8.649612,152.809812,452.663028,1
90,59,50,8.649612,149.926608,397.882152,1
90,48,50,8.649612,152.809812,449.779824,1
90,37,50,8.649612,149.926608,449.779824,1
90,37,50,8.649612,40.364856,115.32816,1
90,53,50,8.649612,80.729712,216.2403,1
94,97,50,77.846508,8.649612,230.65632,1
94,94,50,11.532816,8.649612,34.598448,1
94,86,50,80.729712,8.649612,233.539524,1
94,81,50,126.860976,11.532816,374.81652,1
94,108,50,80.729712,11.532816,282.553992,1
94,108,50,80.729712,11.532816,299.853216,1
94,103,50,268.137972,11.532816,723.684204,1
94,103,50,187.40826,11.532816,567.991188,1
