[Wafer Information]
Wafer Number,19
Wafer ID,A81-Q336916-404
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101587-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/30/2024 02:03
End Time,01/30/2024 02:06
Inspection Time,0:03:22
Photo Time,0:04:55
Data Output Time,01/30/2024 03:34

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling,F29 Silicon powder,F06 Incoming others,F99 Others
19,A81-Q336916-404,5518,5472,99.166365,46,59,28,27,4

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,27,50,273.90438,8.649612,813.063528,1
5,27,50,149.926608,8.649612,446.89662,1
5,34,50,276.787584,8.649612,818.829936,1
5,34,50,31.715244,8.649612,77.846508,1
5,34,50,28.74714,5.749428,40.127486,1
6,27,50,167.225832,8.649612,472.845456,1
6,27,50,271.021176,8.649612,717.917796,1
6,27,50,123.977772,8.649612,334.451664,1
5,39,50,49.014468,23.065632,328.685256,3
16,26,50,40.364856,8.649612,103.795344,1
23,22,50,37.481652,8.649612,106.678548,1
24,46,50,40.364856,28.83204,279.670788,3
25,12,50,14.41602,20.182428,86.49612,2
26,61,50,60.547284,20.182428,343.101276,3
30,34,50,49.014468,20.182428,279.670788,3
29,34,50,17.299224,11.532816,46.131264,1
29,34,50,83.366706,8.624142,186.306185,1
40,60,50,57.66408,25.948836,348.867684,3
40,37,50,89.379324,25.948836,565.107984,3
39,27,50,40.364856,28.83204,259.48836,3
46,27,50,43.24806,28.83204,331.56846,3
48,57,50,17.299224,20.182428,98.028936,2
49,34,50,43.24806,20.182428,227.773116,1
49,34,50,204.104694,14.37357,828.345961,1
50,37,50,46.131264,23.065632,294.086808,3
54,31,50,43.24806,20.182428,245.07234,3
59,48,50,83.612916,8.649612,227.773116,1
59,32,50,46.131264,20.182428,262.371564,3
59,63,50,86.49612,23.065632,556.458372,3
71,15,50,273.90438,8.649612,813.063528,1
71,15,50,123.977772,8.649612,360.4005,1
77,39,50,57.66408,23.065632,348.867684,3
85,12,50,31.715244,8.649612,77.846508,1
91,49,50,54.780876,25.948836,374.81652,3
91,43,50,43.24806,25.948836,288.3204,3
95,32,50,57.66408,25.948836,369.050112,3
96,19,50,14.41602,20.182428,72.0801,2
98,47,50,51.897672,46.131264,495.911088,3
98,47,50,51.744852,22.997712,306.688643,3
103,33,50,14.41602,20.182428,77.846508,2
1,28,50,17.248284,60.368994,206.369928,3
2,28,50,8.624142,60.368994,143.31245,3
2,28,50,8.624142,83.366706,183.439936,3
5,28,50,8.624142,51.744852,117.516209,3
15,28,50,28.74714,112.113846,300.956145,3
16,28,50,22.997712,51.744852,163.376193,3
25,59,50,74.742564,28.74714,596.179792,3
36,27,50,8.624142,68.993136,146.178699,3
38,1,50,51.744852,143.7357,1226.754572,3
14,49,50,66.118422,5.749428,91.719968,1
13,35,50,34.496568,2.874714,34.394988,1
17,48,50,5.749428,2.874714,5.732498,1
36,49,50,5.749428,2.874714,5.732498,1
36,49,50,8.624142,2.874714,8.598747,1
53,21,50,11.498856,2.874714,11.464996,1
72,38,50,20.122998,2.874714,20.063743,1
72,38,50,5.749428,2.874714,5.732498,1
72,38,50,5.749428,2.874714,5.732498,1
80,48,50,5.749428,2.874714,5.732498,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling,F29 Silicon powder,F06 Incoming others,F99 Others
19,A81-Q336916-404,5518,5491,99.510692,27,32,8,18,4,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,27,Pass,273.90438,8.649612,813.063528,1
5,27,Pass,149.926608,8.649612,446.89662,1
5,34,Pass,276.787584,8.649612,818.829936,1
5,34,50,31.715244,8.649612,77.846508,1
5,34,50,28.74714,5.749428,40.127486,1
6,27,Pass,167.225832,8.649612,472.845456,1
6,27,Pass,271.021176,8.649612,717.917796,1
6,27,Pass,123.977772,8.649612,334.451664,1
5,39,50,49.014468,23.065632,328.685256,3
16,26,Pass,40.364856,8.649612,103.795344,1
23,22,Pass,37.481652,8.649612,106.678548,1
24,46,50,40.364856,28.83204,279.670788,3
25,12,50,14.41602,20.182428,86.49612,2
26,61,50,60.547284,20.182428,343.101276,3
30,34,50,49.014468,20.182428,279.670788,3
29,34,50,17.299224,11.532816,46.131264,1
29,34,Pass,83.366706,8.624142,186.306185,1
40,60,50,57.66408,25.948836,348.867684,3
40,37,50,89.379324,25.948836,565.107984,3
39,27,50,40.364856,28.83204,259.48836,3
46,27,50,43.24806,28.83204,331.56846,3
48,57,50,17.299224,20.182428,98.028936,2
49,34,50,43.24806,20.182428,227.773116,1
49,34,50,204.104694,14.37357,828.345961,1
50,37,50,46.131264,23.065632,294.086808,3
54,31,50,43.24806,20.182428,245.07234,3
59,48,Pass,83.612916,8.649612,227.773116,1
59,32,50,46.131264,20.182428,262.371564,3
59,63,50,86.49612,23.065632,556.458372,3
71,15,Pass,273.90438,8.649612,813.063528,1
71,15,Pass,123.977772,8.649612,360.4005,1
77,39,50,57.66408,23.065632,348.867684,3
85,12,Pass,31.715244,8.649612,77.846508,1
91,49,50,54.780876,25.948836,374.81652,3
91,43,50,43.24806,25.948836,288.3204,3
95,32,50,57.66408,25.948836,369.050112,3
96,19,50,14.41602,20.182428,72.0801,2
98,47,50,51.897672,46.131264,495.911088,3
98,47,50,51.744852,22.997712,306.688643,3
103,33,50,14.41602,20.182428,77.846508,2
1,28,Pass,17.248284,60.368994,206.369928,3
2,28,Pass,8.624142,60.368994,143.31245,3
2,28,Pass,8.624142,83.366706,183.439936,3
5,28,Pass,8.624142,51.744852,117.516209,3
15,28,Pass,28.74714,112.113846,300.956145,3
16,28,Pass,22.997712,51.744852,163.376193,3
25,59,50,74.742564,28.74714,596.179792,3
36,27,Pass,8.624142,68.993136,146.178699,3
38,1,50,51.744852,143.7357,1226.754572,3
14,49,Pass,66.118422,5.749428,91.719968,1
13,35,Pass,34.496568,2.874714,34.394988,1
17,48,Pass,5.749428,2.874714,5.732498,1
36,49,Pass,5.749428,2.874714,5.732498,1
36,49,Pass,8.624142,2.874714,8.598747,1
53,21,Pass,11.498856,2.874714,11.464996,1
72,38,50,20.122998,2.874714,20.063743,1
72,38,50,5.749428,2.874714,5.732498,1
72,38,50,5.749428,2.874714,5.732498,1
80,48,Pass,5.749428,2.874714,5.732498,1

