[Wafer Information]
Wafer Number,23
Wafer ID,A46-Q337387-404
Job Name,X2L3QBJL_R_08_06
Model Name,EagleT
Lot Number,24101897-001R
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/02/2024 03:59
End Time,02/02/2024 04:02
Inspection Time,0:03:22
Photo Time,0:03:26
Data Output Time,02/02/2024 06:05

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling,F99 Others
23,A46-Q337387-404,5518,5468,99.093875,50,80,15,63,1,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,27,50,43.24806,20.182428,247.955544,3
9,30,50,54.780876,11.532816,158.57622,1
10,21,50,83.612916,8.649612,219.123504,1
12,44,50,83.612916,69.196896,1294.558596,3
12,44,50,94.865562,80.491992,1742.679392,3
13,34,50,77.846508,23.065632,461.31264,3
16,53,50,273.90438,8.649612,778.46508,1
16,53,50,271.021176,8.649612,792.8811,1
16,53,50,271.021176,8.649612,801.530712,1
16,53,50,268.137972,8.649612,775.581876,1
19,55,50,271.021176,8.649612,810.180324,1
19,55,50,271.021176,8.649612,810.180324,1
19,55,50,271.021176,8.649612,810.180324,1
19,26,50,49.014468,23.065632,322.918848,3
21,19,50,66.313692,20.182428,389.23254,3
22,52,50,54.780876,11.532816,167.225832,1
22,16,50,17.299224,20.182428,92.262528,2
23,8,50,273.90438,8.649612,738.100224,1
23,8,50,271.021176,8.649612,810.180324,1
23,8,50,271.021176,8.649612,810.180324,1
23,8,50,37.481652,8.649612,112.444956,1
25,54,50,271.021176,8.649612,758.282652,1
28,9,50,268.137972,8.649612,766.932264,1
30,30,50,273.90438,8.649612,815.946732,1
30,30,50,271.021176,8.649612,810.180324,1
30,30,50,271.021176,8.649612,810.180324,1
30,30,50,271.021176,8.649612,813.063528,1
30,30,50,11.532816,8.649612,34.598448,1
40,7,50,268.137972,8.649612,789.997896,1
42,67,50,43.24806,28.83204,276.787584,3
45,8,50,273.90438,8.649612,813.063528,1
45,8,50,271.021176,8.649612,810.180324,1
45,8,50,268.137972,8.649612,801.530712,1
45,8,50,268.137972,8.649612,795.764304,1
45,8,50,57.66408,8.649612,161.459424,1
46,34,50,43.24806,23.065632,268.137972,3
49,34,50,46.131264,23.065632,334.451664,3
50,56,50,57.66408,8.649612,152.809812,1
50,33,50,271.021176,8.649612,778.46508,1
50,33,50,123.977772,8.649612,328.685256,1
51,30,50,268.137972,8.649612,772.698672,1
53,48,50,57.66408,23.065632,340.218072,3
56,30,50,530.509536,8.649612,1565.579772,1
56,31,50,51.897672,8.649612,138.393792,1
57,60,50,51.897672,20.182428,285.437196,3
59,53,50,271.021176,8.649612,813.063528,1
57,31,50,271.021176,8.649612,810.180324,1
57,31,50,271.021176,8.649612,810.180324,1
57,31,50,123.977772,8.649612,354.634092,1
61,40,50,11.532816,17.299224,57.66408,63
64,10,50,273.90438,8.649612,746.749836,1
64,10,50,123.977772,8.649612,317.15244,1
67,42,50,80.729712,8.649612,224.889912,1
67,54,50,271.021176,8.649612,813.063528,1
67,54,50,271.021176,8.649612,810.180324,1
67,55,50,118.211364,8.649612,351.750888,1
67,55,50,271.021176,8.649612,735.21702,1
67,55,50,109.561752,8.649612,305.619624,1
67,45,50,74.963304,8.649612,219.123504,1
69,2,50,63.430488,20.182428,357.517296,3
74,21,50,11.532816,8.649612,34.598448,1
77,9,50,63.430488,23.065632,426.714192,3
77,31,50,271.021176,8.649612,778.46508,1
81,26,50,57.66408,20.182428,357.517296,3
84,7,50,273.90438,8.649612,813.063528,1
84,7,50,271.021176,8.649612,810.180324,1
84,7,50,178.758648,8.649612,536.275944,1
