[Wafer Information]
Wafer Number,15
Wafer ID,A50-Q337387-404
Job Name,X2L3QBJL_R_08_06
Model Name,EagleT
Lot Number,24101897-001R
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/02/2024 04:43
End Time,02/02/2024 04:46
Inspection Time,0:03:21
Photo Time,0:02:55
Data Output Time,02/02/2024 06:08

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F07 Incoming microlens periphery peeling,F29 Silicon powder,F99 Others
15,A50-Q337387-404,5518,5466,99.05763,52,87,77,3,2,5

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,33,50,271.021176,8.649612,775.581876,1
5,33,50,268.137972,8.649612,712.151388,1
5,33,50,123.977772,8.649612,354.634092,1
12,45,50,17.299224,20.182428,86.49612,2
14,54,50,273.90438,8.649612,781.348284,1
15,22,50,161.459424,8.649612,455.546232,1
16,11,50,37.481652,8.649612,112.444956,1
16,32,50,271.021176,8.649612,810.180324,1
16,32,50,20.182428,8.649612,57.66408,1
17,32,50,268.137972,8.649612,709.268184,1
17,11,50,14.41602,8.649612,40.364856,1
23,9,50,271.021176,8.649612,807.29712,1
23,9,50,271.021176,8.649612,778.46508,1
27,8,50,271.021176,8.649612,781.348284,1
27,8,50,271.021176,8.649612,807.29712,1
27,8,50,268.137972,8.649612,801.530712,1
27,8,50,268.137972,8.649612,778.46508,1
27,8,50,34.598448,8.649612,86.49612,1
26,63,50,14.41602,11.532816,46.131264,63
28,55,50,271.021176,8.649612,761.165856,1
28,10,50,271.021176,8.649612,729.450612,1
30,8,50,54.780876,8.649612,158.57622,1
33,57,50,273.90438,8.649612,804.413916,1
33,57,50,57.66408,11.532816,167.225832,1
33,54,50,57.66408,11.532816,158.57622,1
34,11,50,57.66408,11.532816,175.875444,1
34,11,50,40.364856,8.649612,118.211364,1
37,32,50,268.137972,8.649612,694.852164,1
37,32,50,172.99224,8.649612,518.97672,1
37,32,50,40.364856,8.649612,118.211364,1
38,32,50,54.780876,8.649612,152.809812,1
40,11,50,262.371564,8.649612,717.917796,1
43,53,50,17.299224,20.182428,92.262528,2
44,9,50,273.90438,8.649612,815.946732,1
44,9,50,271.021176,8.649612,810.180324,1
44,9,50,112.444956,8.649612,328.685256,1
44,35,50,49.014468,8.649612,144.1602,1
47,33,50,273.90438,8.649612,758.282652,1
47,33,50,271.021176,8.649612,772.698672,1
47,33,50,268.137972,8.649612,746.749836,1
47,33,50,28.83204,8.649612,77.846508,1
48,33,50,273.90438,8.649612,749.63304,1
50,10,50,271.021176,8.649612,778.46508,1
53,53,50,37.481652,8.649612,95.145732,1
54,54,50,54.780876,11.532816,164.342628,1
56,54,50,123.977772,11.532816,374.81652,1
56,54,50,271.021176,8.649612,813.063528,1
56,54,50,271.021176,8.649612,810.180324,1
61,11,50,123.977772,8.649612,320.035644,1
64,9,50,273.90438,8.649612,738.100224,1
64,9,50,271.021176,8.649612,784.231488,1
64,9,50,271.021176,8.649612,781.348284,1
64,20,50,8.649612,83.612916,230.65632,1
67,41,50,77.846508,28.83204,507.443904,3
68,1,50,43.24806,25.948836,296.970012,3
70,33,50,273.90438,8.649612,810.180324,1
70,33,50,273.90438,8.649612,810.180324,1
70,33,50,155.693016,8.649612,467.079048,1
70,10,50,57.66408,11.532816,161.459424,1
71,10,50,271.021176,8.649612,807.29712,1
71,10,50,57.66408,8.649612,155.693016,1
71,33,50,149.926608,8.649612,444.013416,1
71,33,50,123.977772,8.649612,357.517296,1
73,53,50,276.787584,8.649612,818.829936,1
73,53,50,273.90438,8.649612,813.063528,1
73,53,50,17.299224,8.649612,46.131264,1
74,26,50,80.729712,8.649612,207.590688,1
74,26,50,86.49612,8.649612,245.07234,1
74,6,50,14.41602,25.948836,98.028936,2
77,56,50,273.90438,8.649612,735.21702,1
81,32,50,273.90438,8.649612,815.946732,1
81,32,50,273.90438,8.649612,813.063528,1
81,32,50,273.90438,8.649612,810.180324,1
81,32,50,273.90438,8.649612,813.063528,1
83,11,50,123.977772,8.649612,314.269236,1
84,9,50,271.021176,8.649612,798.647508,1
84,9,50,271.021176,8.649612,807.29712,1
84,9,50,198.941076,8.649612,593.940024,1
91,20,50,46.131264,20.182428,276.787584,3
91,53,50,273.90438,8.649612,815.946732,1
91,53,50,123.977772,8.649612,363.283704,1
98,33,50,20.182428,14.41602,72.0801,63
101,33,50,271.021176,8.649612,798.647508,1
101,33,50,273.90438,8.649612,726.567408,1
50,61,50,22.997712,71.86785,384.077366,3
73,60,50,14.37357,57.49428,151.911197,3
2,35,50,8.624142,2.874714,8.598747,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F07 Incoming microlens periphery peeling,F29 Silicon powder,F99 Others
15,A50-Q337387-404,5518,5507,99.800652,11,11,3,3,4,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,33,Pass,271.021176,8.649612,775.581876,1
5,33,Pass,268.137972,8.649612,712.151388,1
5,33,Pass,123.977772,8.649612,354.634092,1
12,45,50,17.299224,20.182428,86.49612,2
14,54,Pass,273.90438,8.649612,781.348284,1
15,22,Pass,161.459424,8.649612,455.546232,1
16,11,Pass,37.481652,8.649612,112.444956,1
16,32,Pass,271.021176,8.649612,810.180324,1
16,32,Pass,20.182428,8.649612,57.66408,1
17,32,Pass,268.137972,8.649612,709.268184,1
17,11,Pass,14.41602,8.649612,40.364856,1
23,9,Pass,271.021176,8.649612,807.29712,1
23,9,Pass,271.021176,8.649612,778.46508,1
27,8,Pass,271.021176,8.649612,781.348284,1
27,8,Pass,271.021176,8.649612,807.29712,1
27,8,Pass,268.137972,8.649612,801.530712,1
27,8,Pass,268.137972,8.649612,778.46508,1
27,8,Pass,34.598448,8.649612,86.49612,1
26,63,Pass,14.41602,11.532816,46.131264,63
28,55,Pass,271.021176,8.649612,761.165856,1
28,10,Pass,271.021176,8.649612,729.450612,1
30,8,Pass,54.780876,8.649612,158.57622,1
33,57,Pass,273.90438,8.649612,804.413916,1
33,57,Pass,57.66408,11.532816,167.225832,1
33,54,Pass,57.66408,11.532816,158.57622,1
34,11,Pass,57.66408,11.532816,175.875444,1
34,11,Pass,40.364856,8.649612,118.211364,1
37,32,Pass,268.137972,8.649612,694.852164,1
37,32,Pass,172.99224,8.649612,518.97672,1
37,32,50,40.364856,8.649612,118.211364,1
38,32,Pass,54.780876,8.649612,152.809812,1
40,11,Pass,262.371564,8.649612,717.917796,1
43,53,50,17.299224,20.182428,92.262528,2
44,9,Pass,273.90438,8.649612,815.946732,1
44,9,Pass,271.021176,8.649612,810.180324,1
44,9,50,112.444956,8.649612,328.685256,1
44,35,Pass,49.014468,8.649612,144.1602,1
47,33,Pass,273.90438,8.649612,758.282652,1
47,33,Pass,271.021176,8.649612,772.698672,1
47,33,Pass,268.137972,8.649612,746.749836,1
47,33,Pass,28.83204,8.649612,77.846508,1
48,33,Pass,273.90438,8.649612,749.63304,1
50,10,Pass,271.021176,8.649612,778.46508,1
53,53,Pass,37.481652,8.649612,95.145732,1
54,54,Pass,54.780876,11.532816,164.342628,1
56,54,Pass,123.977772,11.532816,374.81652,1
56,54,Pass,271.021176,8.649612,813.063528,1
56,54,Pass,271.021176,8.649612,810.180324,1
61,11,Pass,123.977772,8.649612,320.035644,1
64,9,Pass,273.90438,8.649612,738.100224,1
64,9,Pass,271.021176,8.649612,784.231488,1
64,9,Pass,271.021176,8.649612,781.348284,1
64,20,Pass,8.649612,83.612916,230.65632,1
67,41,50,77.846508,28.83204,507.443904,3
68,1,50,43.24806,25.948836,296.970012,3
70,33,Pass,273.90438,8.649612,810.180324,1
70,33,Pass,273.90438,8.649612,810.180324,1
70,33,Pass,155.693016,8.649612,467.079048,1
70,10,Pass,57.66408,11.532816,161.459424,1
71,10,Pass,271.021176,8.649612,807.29712,1
71,10,Pass,57.66408,8.649612,155.693016,1
71,33,Pass,149.926608,8.649612,444.013416,1
71,33,Pass,123.977772,8.649612,357.517296,1
73,53,Pass,276.787584,8.649612,818.829936,1
73,53,Pass,273.90438,8.649612,813.063528,1
73,53,50,17.299224,8.649612,46.131264,1
74,26,Pass,80.729712,8.649612,207.590688,1
74,26,Pass,86.49612,8.649612,245.07234,1
74,6,50,14.41602,25.948836,98.028936,2
77,56,Pass,273.90438,8.649612,735.21702,1
81,32,Pass,273.90438,8.649612,815.946732,1
81,32,Pass,273.90438,8.649612,813.063528,1
81,32,Pass,273.90438,8.649612,810.180324,1
81,32,Pass,273.90438,8.649612,813.063528,1
83,11,Pass,123.977772,8.649612,314.269236,1
84,9,Pass,271.021176,8.649612,798.647508,1
84,9,Pass,271.021176,8.649612,807.29712,1
84,9,Pass,198.941076,8.649612,593.940024,1
91,20,50,46.131264,20.182428,276.787584,3
91,53,Pass,273.90438,8.649612,815.946732,1
91,53,Pass,123.977772,8.649612,363.283704,1
98,33,Pass,20.182428,14.41602,72.0801,63
101,33,Pass,271.021176,8.649612,798.647508,1
101,33,Pass,273.90438,8.649612,726.567408,1
50,61,50,22.997712,71.86785,384.077366,3
73,60,50,14.37357,57.49428,151.911197,3
2,35,Pass,8.624142,2.874714,8.598747,1

