[Wafer Information]
Wafer Number,9
Wafer ID,A53-Q337387-404
Job Name,X2L3QBJL_R_08_06
Model Name,EagleT
Lot Number,24101897-001R
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/02/2024 05:21
End Time,02/02/2024 05:24
Inspection Time,0:03:21
Photo Time,0:01:25
Data Output Time,02/02/2024 06:11

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F06 Incoming others,F99 Others
9,A53-Q337387-404,5518,5469,99.111997,49,81,9,70,1,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
8,43,50,69.196896,28.83204,441.130212,3
9,37,50,271.021176,8.649612,810.180324,1
9,37,50,271.021176,8.649612,775.581876,1
9,37,50,126.860976,8.649612,322.918848,1
11,36,50,268.137972,8.649612,749.63304,1
12,49,50,83.612916,8.649612,219.123504,1
13,15,50,72.0801,23.065632,420.947784,3
17,14,50,271.021176,8.649612,789.997896,1
17,14,50,271.021176,8.649612,789.997896,1
17,14,50,268.137972,8.649612,801.530712,1
17,14,50,268.137972,8.649612,789.997896,1
17,14,50,57.66408,11.532816,184.525056,1
20,13,50,28.83204,8.649612,86.49612,1
20,13,50,273.90438,8.649612,810.180324,1
20,13,50,123.977772,8.649612,360.4005,1
22,12,50,268.137972,8.649612,735.21702,1
23,12,50,245.07234,8.649612,735.21702,1
23,12,50,271.021176,8.649612,807.29712,1
23,12,50,57.66408,8.649612,152.809812,1
26,47,50,167.225832,8.649612,432.4806,1
26,47,50,83.612916,8.649612,230.65632,1
28,61,50,54.780876,11.532816,167.225832,1
30,36,50,273.90438,8.649612,735.21702,1
30,36,50,271.021176,8.649612,720.801,1
29,61,50,271.021176,8.649612,810.180324,1
29,61,50,268.137972,8.649612,743.866632,1
29,61,50,28.83204,8.649612,80.729712,1
35,12,50,63.430488,23.065632,400.765356,3
39,14,50,54.780876,11.532816,161.459424,1
