[Wafer Information]
Wafer Number,5
Wafer ID,A55-Q337387-404
Job Name,X2L3QBJL_R_08_06
Model Name,EagleT
Lot Number,24101897-001R
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/02/2024 05:44
End Time,02/02/2024 05:48
Inspection Time,0:03:21
Photo Time,0:04:02
Data Output Time,02/02/2024 06:13

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling,F99 Others
5,A55-Q337387-404,3289,3239,98.479781,50,70,51,13,4,1,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,22,50,51.897672,8.649612,132.627384,1
7,27,50,43.24806,20.182428,242.189136,3
10,23,50,273.90438,8.649612,815.946732,1
10,23,50,273.90438,8.649612,813.063528,1
10,23,50,271.021176,8.649612,807.29712,1
10,23,50,273.90438,8.649612,810.180324,1
10,23,50,57.66408,8.649612,161.459424,1
14,11,50,11.532816,8.649612,31.715244,1
13,22,50,276.787584,8.649612,818.829936,1
13,22,50,271.021176,8.649612,813.063528,1
13,22,50,273.90438,8.649612,810.180324,1
13,22,50,271.021176,8.649612,813.063528,1
19,16,50,271.021176,8.649612,789.997896,1
19,29,50,17.299224,20.182428,89.379324,2
22,22,50,268.137972,8.649612,772.698672,1
22,30,50,11.532816,8.649612,31.715244,1
25,38,50,72.0801,23.065632,418.06458,3
32,18,50,34.598448,8.649612,100.91214,1
30,19,50,83.612916,8.649612,230.65632,1
40,33,50,66.313692,31.715244,467.079048,3
44,28,50,51.897672,25.948836,363.283704,3
45,35,50,98.028936,31.715244,602.589636,3
45,35,50,68.993136,17.248284,157.643695,3
46,4,50,43.24806,25.948836,288.3204,3
47,30,50,63.430488,34.598448,449.779824,3
50,29,50,273.90438,8.649612,818.829936,1
54,22,50,271.021176,8.649612,772.698672,1
54,22,50,57.66408,8.649612,144.1602,1
59,29,50,271.021176,8.649612,735.21702,1
63,8,50,37.481652,37.481652,294.086808,3
64,32,50,54.780876,11.532816,155.693016,1
64,31,50,51.897672,8.649612,135.510588,1
66,33,50,80.729712,8.649612,204.707484,1
67,16,50,54.780876,8.649612,164.342628,1
67,34,50,54.780876,11.532816,149.926608,1
68,16,50,57.66408,11.532816,170.109036,1
70,29,50,271.021176,8.649612,810.180324,1
70,29,50,271.021176,8.649612,813.063528,1
70,29,50,100.91214,8.649612,302.73642,1
75,15,50,20.182428,20.182428,95.145732,2
77,38,50,190.291464,8.649612,495.911088,1
76,33,50,43.24806,34.598448,296.970012,3
81,32,50,69.196896,23.065632,435.363804,3
81,32,50,8.649612,86.49612,242.189136,1
85,17,50,17.299224,20.182428,80.729712,2
85,13,50,14.41602,20.182428,66.313692,2
88,15,50,86.49612,8.649612,250.838748,1
89,30,50,43.24806,25.948836,279.670788,3
91,38,50,8.649612,8.649612,25.948836,63
91,20,50,167.225832,8.649612,498.794292,1
91,20,50,268.137972,8.649612,795.764304,1
91,20,50,57.66408,8.649612,144.1602,1
93,32,50,54.780876,23.065632,374.81652,3
73,21,50,14.37357,14.37357,57.32498,1
17,27,50,2.874714,28.74714,28.66249,1
18,29,50,2.874714,5.749428,5.732498,1
18,29,50,2.874714,31.621854,31.528739,1
18,29,50,2.874714,8.624142,8.598747,1
18,29,50,2.874714,25.872426,25.796241,1
30,20,50,5.749428,2.874714,5.732498,1
30,20,50,5.749428,2.874714,5.732498,1
36,28,50,5.749428,51.744852,74.522474,1
36,28,50,2.874714,11.498856,11.464996,1
53,4,50,5.749428,2.874714,5.732498,1
62,17,50,17.248284,2.874714,17.197494,1
62,17,50,8.624142,2.874714,8.598747,1
69,4,50,20.122998,2.874714,20.063743,1
71,16,50,5.749428,2.874714,5.732498,1
70,4,50,22.997712,5.749428,31.528739,1
81,18,50,5.749428,2.874714,5.732498,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling,F99 Others
5,A55-Q337387-404,3289,3272,99.483126,17,19,13,4,1,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,22,Pass,51.897672,8.649612,132.627384,1
7,27,50,43.24806,20.182428,242.189136,3
10,23,Pass,273.90438,8.649612,815.946732,1
10,23,Pass,273.90438,8.649612,813.063528,1
10,23,Pass,271.021176,8.649612,807.29712,1
10,23,Pass,273.90438,8.649612,810.180324,1
10,23,Pass,57.66408,8.649612,161.459424,1
14,11,Pass,11.532816,8.649612,31.715244,1
13,22,Pass,276.787584,8.649612,818.829936,1
13,22,Pass,271.021176,8.649612,813.063528,1
13,22,Pass,273.90438,8.649612,810.180324,1
13,22,Pass,271.021176,8.649612,813.063528,1
19,16,Pass,271.021176,8.649612,789.997896,1
19,29,50,17.299224,20.182428,89.379324,2
22,22,Pass,268.137972,8.649612,772.698672,1
22,30,Pass,11.532816,8.649612,31.715244,1
25,38,50,72.0801,23.065632,418.06458,3
32,18,Pass,34.598448,8.649612,100.91214,1
30,19,Pass,83.612916,8.649612,230.65632,1
40,33,50,66.313692,31.715244,467.079048,3
44,28,50,51.897672,25.948836,363.283704,3
45,35,50,98.028936,31.715244,602.589636,3
45,35,50,68.993136,17.248284,157.643695,3
46,4,50,43.24806,25.948836,288.3204,3
47,30,50,63.430488,34.598448,449.779824,3
50,29,Pass,273.90438,8.649612,818.829936,1
54,22,Pass,271.021176,8.649612,772.698672,1
54,22,Pass,57.66408,8.649612,144.1602,1
59,29,Pass,271.021176,8.649612,735.21702,1
63,8,50,37.481652,37.481652,294.086808,3
64,32,Pass,54.780876,11.532816,155.693016,1
64,31,Pass,51.897672,8.649612,135.510588,1
66,33,Pass,80.729712,8.649612,204.707484,1
67,16,Pass,54.780876,8.649612,164.342628,1
67,34,Pass,54.780876,11.532816,149.926608,1
68,16,Pass,57.66408,11.532816,170.109036,1
70,29,Pass,271.021176,8.649612,810.180324,1
70,29,Pass,271.021176,8.649612,813.063528,1
70,29,Pass,100.91214,8.649612,302.73642,1
75,15,50,20.182428,20.182428,95.145732,2
77,38,Pass,190.291464,8.649612,495.911088,1
76,33,50,43.24806,34.598448,296.970012,3
81,32,50,69.196896,23.065632,435.363804,3
81,32,50,8.649612,86.49612,242.189136,1
85,17,50,17.299224,20.182428,80.729712,2
85,13,50,14.41602,20.182428,66.313692,2
88,15,Pass,86.49612,8.649612,250.838748,1
89,30,50,43.24806,25.948836,279.670788,3
91,38,Pass,8.649612,8.649612,25.948836,63
91,20,Pass,167.225832,8.649612,498.794292,1
91,20,Pass,268.137972,8.649612,795.764304,1
91,20,Pass,57.66408,8.649612,144.1602,1
93,32,50,54.780876,23.065632,374.81652,3
73,21,50,14.37357,14.37357,57.32498,1
17,27,Pass,2.874714,28.74714,28.66249,1
18,29,Pass,2.874714,5.749428,5.732498,1
18,29,Pass,2.874714,31.621854,31.528739,1
18,29,Pass,2.874714,8.624142,8.598747,1
18,29,Pass,2.874714,25.872426,25.796241,1
30,20,Pass,5.749428,2.874714,5.732498,1
