[Wafer Information]
Wafer Number,13
Wafer ID,A18-Q337656-404
Job Name,X2L3QBJL_R_08_06
Model Name,EagleT
Lot Number,24101915-003
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/01/2024 04:58
End Time,02/01/2024 05:02
Inspection Time,0:03:21
Photo Time,0:10:32
Data Output Time,02/01/2024 06:18

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder,F07 Incoming microlens periphery peeling
13,A18-Q337656-404,5518,5385,97.589706,133,162,1,54,107

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
8,21,50,11.532816,20.182428,72.0801,2
11,38,50,268.137972,8.649612,789.997896,1
11,38,50,268.137972,8.649612,723.684204,1
12,38,50,273.90438,8.649612,815.946732,1
12,38,50,271.021176,8.649612,810.180324,1
12,38,50,273.90438,8.649612,813.063528,1
12,38,50,57.66408,8.649612,155.693016,1
12,39,50,273.90438,8.649612,807.29712,1
18,41,50,11.532816,17.299224,51.897672,1
30,9,50,80.729712,8.649612,219.123504,1
33,38,50,271.021176,8.649612,743.866632,1
33,38,50,268.137972,8.649612,778.46508,1
33,39,50,276.787584,8.649612,821.71314,1
33,39,50,273.90438,8.649612,818.829936,1
33,39,50,271.021176,8.649612,810.180324,1
34,55,50,43.24806,28.83204,296.970012,3
34,55,50,48.870138,31.621854,395.542362,3
36,20,50,57.66408,11.532816,172.99224,1
36,19,50,69.196896,8.649612,184.525056,1
37,20,50,271.021176,8.649612,810.180324,1
37,20,50,34.598448,8.649612,95.145732,1
38,9,50,60.547284,28.83204,455.546232,3
38,9,50,63.243708,31.621854,490.128579,3
39,58,50,271.021176,8.649612,804.413916,1
39,58,50,268.137972,8.649612,764.04906,1
39,58,50,123.977772,8.649612,328.685256,1
43,43,50,40.364856,31.715244,331.56846,3
43,31,50,51.897672,8.649612,147.043404,1
53,57,50,106.678548,8.649612,320.035644,1
54,57,50,57.66408,11.532816,170.109036,1
54,19,50,268.137972,8.649612,712.151388,1
59,58,50,268.137972,8.649612,732.333816,1
60,20,50,271.021176,8.649612,810.180324,1
60,20,50,271.021176,8.649612,807.29712,1
60,20,50,126.860976,8.649612,363.283704,1
64,31,50,63.430488,28.83204,504.5607,3
64,31,50,66.118422,31.621854,613.377286,3
64,30,50,80.729712,8.649612,201.82428,1
64,40,50,273.90438,8.649612,804.413916,1
64,40,50,123.977772,11.532816,340.218072,1
