[Wafer Information]
Wafer Number,13
Wafer ID,Q337727-18C6
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24101950-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,02/03/2024 08:25
End Time,02/03/2024 08:32
Inspection Time,0:06:42
Photo Time,0:08:19
Data Output Time,02/03/2024 09:19

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F99 Others,F07 Incoming microlens periphery peeling,F13 Pad area damage
13,Q337727-18C6,19802,19672,99.343501,130,154,152,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,64,50,80.729712,11.532816,239.305932,1
6,61,50,14.41602,8.649612,43.24806,1
6,72,50,161.459424,8.649612,435.363804,1
6,62,50,164.342628,11.532816,504.5607,1
6,62,50,77.846508,11.532816,239.305932,1
10,52,50,60.547284,8.649612,170.109036,1
10,51,50,63.430488,23.065632,435.363804,3
13,53,50,57.66408,25.948836,360.4005,3
29,92,50,271.021176,8.649612,729.450612,1
29,81,50,271.021176,11.532816,792.8811,1
29,81,50,271.021176,11.532816,717.917796,1
30,48,50,40.364856,8.649612,109.561752,1
30,22,50,63.430488,28.83204,441.130212,3
34,27,50,25.948836,8.649612,72.0801,1
40,108,50,43.24806,25.948836,259.48836,3
57,18,50,40.364856,31.715244,331.56846,3
65,12,50,54.780876,28.83204,369.050112,3
68,59,50,8.649612,149.926608,423.830988,1
72,48,50,17.299224,11.532816,57.66408,1
72,53,50,80.729712,11.532816,276.787584,1
72,42,50,80.729712,11.532816,299.853216,1
72,37,50,265.254768,11.532816,769.815468,1
72,31,50,77.846508,8.649612,207.590688,1
72,16,50,123.977772,8.649612,340.218072,1
72,27,50,271.021176,8.649612,758.282652,1
71,119,50,86.49612,23.065632,521.859924,3
95,59,50,268.137972,8.649612,772.698672,1
95,92,50,201.82428,11.532816,801.530712,1
94,119,50,77.846508,8.649612,219.123504,1
95,81,50,268.137972,8.649612,778.46508,1
95,70,50,268.137972,8.649612,735.21702,1
95,70,50,268.137972,11.532816,709.268184,1
95,37,50,268.137972,11.532816,789.997896,1
95,37,50,268.137972,11.532816,738.100224,1
95,37,50,271.021176,11.532816,864.9612,1
96,26,50,51.897672,8.649612,149.926608,1
95,27,50,57.66408,8.649612,149.926608,1
112,82,50,8.649612,49.014468,144.1602,1
118,114,50,46.131264,11.532816,161.459424,1
118,103,50,54.780876,8.649612,147.043404,1
