[Wafer Information]
Wafer Number,11
Wafer ID,Q337354-23F3
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24101983-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,02/04/2024 02:29
End Time,02/04/2024 02:36
Inspection Time,0:06:38
Photo Time,0:14:05
Data Output Time,02/04/2024 05:35

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F99 Others,F81 Die crack
11,Q337354-23F3,19249,19004,98.727207,245,296,296

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,64,50,77.846508,11.532816,288.3204,1
6,64,50,77.846508,11.532816,230.65632,1
6,72,50,54.780876,8.649612,161.459424,1
15,88,50,46.131264,23.065632,285.437196,3
19,39,50,95.145732,25.948836,706.38498,3
20,92,50,51.897672,20.182428,299.853216,3
29,99,50,46.131264,23.065632,308.502828,3
34,27,50,25.948836,8.649612,72.0801,1
49,19,50,80.729712,11.532816,276.787584,1
52,92,50,49.014468,8.649612,121.094568,1
56,19,50,46.131264,28.83204,285.437196,3
58,13,50,80.729712,83.612916,1389.704328,3
58,13,50,89.168772,92.045184,1790.652864,3
68,59,50,8.649612,149.926608,426.714192,1
68,98,50,80.729712,40.364856,726.567408,3
68,98,50,86.29236,48.899004,1018.72078,3
72,64,50,77.846508,8.649612,219.123504,1
72,42,50,80.729712,11.532816,265.254768,1
72,42,50,80.729712,11.532816,311.386032,1
72,42,50,77.846508,8.649612,207.590688,1
72,75,50,77.846508,11.532816,216.2403,1
72,26,50,271.021176,11.532816,902.442852,1
72,26,50,271.021176,11.532816,942.807708,1
72,26,50,92.262528,11.532816,340.218072,1
72,53,50,80.729712,11.532816,256.605156,1
73,15,50,83.612916,11.532816,320.035644,1
73,15,50,63.430488,25.948836,441.130212,3
73,15,50,5.752824,8.629236,14.34818,1
72,16,50,92.262528,8.649612,271.021176,1
82,9,50,40.364856,28.83204,276.787584,3
90,36,50,8.649612,46.131264,123.977772,1
92,22,50,8.649612,80.729712,233.539524,1
95,81,50,268.137972,8.649612,784.231488,1
95,81,50,118.211364,8.649612,331.56846,1
95,92,50,135.510588,11.532816,521.859924,1
95,70,50,268.137972,8.649612,717.917796,1
95,70,50,100.91214,8.649612,273.90438,1
95,59,50,268.137972,8.649612,769.815468,1
