[Wafer Information]
Wafer Number,23
Wafer ID,A02-Q332403-404
Job Name,X2L3QBKL_R_08_06
Model Name,EagleT
Lot Number,24101990-001R
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/02/2024 07:04
End Time,02/02/2024 07:07
Inspection Time,0:03:28
Photo Time,0:18:17
Data Output Time,02/02/2024 07:57

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling,F99 Others,F13 Pad area damage
23,A02-Q332403-404,5518,5406,97.970279,112,318,16,4,51,246,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
10,25,50,31.715244,34.598448,265.254768,3
13,46,50,40.364856,37.481652,305.619624,3
25,39,50,46.131264,23.065632,296.970012,3
25,28,50,54.780876,34.598448,377.699724,3
26,39,50,51.897672,23.065632,308.502828,3
30,19,50,40.364856,34.598448,299.853216,3
36,21,50,46.131264,23.065632,285.437196,3
40,64,50,17.299224,20.182428,83.612916,2
44,2,50,28.83204,25.948836,181.641852,2
48,20,50,20.182428,11.532816,66.313692,2
48,20,50,11.498856,8.624142,34.394988,63
69,41,50,57.66408,23.065632,334.451664,3
77,59,50,46.131264,28.83204,322.918848,3
99,27,50,20.182428,14.41602,69.196896,2
17,56,50,14.37357,106.364418,303.822394,3
18,47,50,51.744852,17.248284,203.503679,3
32,32,50,28.74714,77.617278,395.542362,3
40,21,50,54.619566,34.496568,280.892402,3
47,53,50,60.368994,20.122998,266.561157,3
74,59,50,25.872426,80.491992,461.466089,3
81,9,50,34.496568,63.243708,275.159904,3
6,40,50,2.874714,8.624142,8.598747,1
6,29,50,117.863274,22.997712,323.886137,63
7,40,50,2.874714,8.624142,8.598747,1
7,36,50,17.248284,2.874714,17.197494,1
7,36,50,8.624142,2.874714,8.598747,1
7,36,50,17.248284,2.874714,17.197494,1
7,36,50,74.742564,2.874714,74.522474,1
7,36,50,8.624142,2.874714,8.598747,1
7,36,50,8.624142,2.874714,8.598747,1
7,36,50,109.239132,2.874714,108.917462,1
7,36,50,17.248284,2.874714,17.197494,1
7,36,50,22.997712,2.874714,22.929992,1
7,36,50,120.737988,2.874714,120.382458,1
7,36,50,14.37357,2.874714,14.331245,1
7,36,50,11.498856,2.874714,11.464996,1
7,36,50,114.98856,2.874714,114.64996,1
9,21,50,2.874714,14.37357,14.331245,1
7,27,50,2.874714,8.624142,8.598747,1
10,32,50,146.610414,51.744852,415.606105,63
10,32,50,11.498856,8.624142,25.796241,63
13,33,50,2.874714,8.624142,8.598747,1
13,33,50,2.874714,8.624142,8.598747,1
15,37,50,8.624142,8.624142,20.063743,1
17,41,50,2.874714,8.624142,8.598747,1
18,11,50,2.874714,11.498856,11.464996,1
18,11,50,2.874714,8.624142,8.598747,1
18,11,50,2.874714,11.498856,11.464996,1
17,57,50,8.624142,2.874714,8.598747,1
17,57,50,17.248284,2.874714,17.197494,1
17,57,50,8.624142,2.874714,8.598747,1
21,20,50,8.624142,22.997712,31.528739,1
21,20,50,2.874714,11.498856,11.464996,1
21,20,50,8.624142,45.995424,57.32498,1
23,14,50,8.624142,2.874714,8.598747,1
23,14,50,20.122998,2.874714,20.063743,1
23,14,50,8.624142,2.874714,8.598747,1
23,14,50,155.234556,2.874714,154.777446,1
23,14,50,221.352978,2.874714,220.701173,1
23,14,50,8.624142,2.874714,8.598747,1
23,14,50,11.498856,2.874714,11.464996,1
23,14,50,11.498856,2.874714,11.464996,1
23,14,50,8.624142,2.874714,8.598747,1
23,14,50,17.248284,2.874714,17.197494,1
23,59,50,14.37357,8.624142,25.796241,1
25,12,50,8.624142,74.742564,151.911197,1
26,41,50,5.749428,14.37357,17.197494,1
29,36,50,22.997712,2.874714,22.929992,1
29,36,50,14.37357,2.874714,14.331245,1
29,36,50,37.371282,2.874714,37.261237,1
29,36,50,11.498856,2.874714,11.464996,1
29,36,50,11.498856,2.874714,11.464996,1
30,35,50,11.498856,2.874714,11.464996,1
30,35,50,8.624142,5.749428,11.464996,1
