[Wafer Information]
Wafer Number,19
Wafer ID,A04-Q332403-404
Job Name,X2L3QBKL_R_08_06
Model Name,EagleT
Lot Number,24101990-001R
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/02/2024 08:28
End Time,02/02/2024 08:32
Inspection Time,0:03:27
Photo Time,0:42:06
Data Output Time,02/02/2024 10:51

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F99 Others,F06 Incoming others,F29 Silicon powder,F07 Incoming microlens periphery peeling,F03 Incoming streaks in u-lens
19,A04-Q332403-404,5518,5218,94.563248,300,555,492,36,17,8,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
10,14,50,14.41602,43.24806,132.627384,1
10,14,50,11.498856,17.248284,48.726233,63
10,14,50,11.498856,28.74714,77.388723,1
16,57,50,17.299224,17.299224,83.612916,2
18,52,50,14.41602,20.182428,72.0801,2
21,43,50,14.41602,20.182428,72.0801,2
21,43,50,11.498856,11.498856,34.394988,63
24,37,50,20.182428,17.299224,89.379324,2
26,11,50,8.649612,11.532816,25.948836,4
30,48,50,17.299224,20.182428,89.379324,2
30,48,50,11.498856,11.498856,40.127486,63
30,46,50,14.41602,20.182428,77.846508,2
29,27,50,8.649612,8.649612,25.948836,63
34,63,50,46.131264,23.065632,268.137972,3
32,14,50,11.532816,14.41602,40.364856,1
32,14,50,14.37357,14.37357,68.789976,1
32,14,50,2.874714,11.498856,11.464996,1
32,14,50,2.874714,8.624142,8.598747,1
37,65,50,11.532816,23.065632,72.0801,2
37,65,50,11.498856,20.122998,54.458731,63
36,54,50,20.182428,14.41602,74.963304,2
36,54,50,20.122998,11.498856,65.923727,63
43,61,50,17.299224,20.182428,83.612916,2
44,26,50,69.196896,20.182428,418.06458,3
48,10,50,14.41602,17.299224,80.729712,2
48,10,50,8.624142,11.498856,31.528739,63
48,24,50,11.532816,8.649612,28.83204,4
53,4,50,43.24806,23.065632,305.619624,3
52,39,50,17.299224,20.182428,86.49612,2
63,22,50,14.41602,20.182428,80.729712,2
71,39,50,72.0801,20.182428,426.714192,3
73,60,50,14.41602,20.182428,72.0801,2
76,13,50,43.24806,25.948836,273.90438,3
80,32,50,17.299224,17.299224,86.49612,2
80,32,50,8.624142,11.498856,25.796241,63
81,39,50,17.299224,28.83204,115.32816,2
81,39,50,11.498856,22.997712,57.32498,63
82,47,50,11.532816,8.649612,31.715244,4
86,35,50,17.299224,20.182428,80.729712,2
86,35,50,8.624142,11.498856,28.66249,63
87,14,50,14.41602,20.182428,80.729712,2
89,13,50,74.963304,23.065632,455.546232,3
89,13,50,68.993136,8.624142,169.108691,3
95,39,50,11.532816,11.532816,40.364856,63
72,19,50,60.368994,8.624142,123.248707,3
0,32,50,8.624142,14.37357,28.66249,1
2,30,50,8.624142,2.874714,8.598747,1
2,30,50,22.997712,2.874714,22.929992,1
2,30,50,14.37357,2.874714,14.331245,1
2,30,50,11.498856,2.874714,11.464996,1
2,30,50,8.624142,2.874714,8.598747,1
3,33,50,5.749428,20.122998,34.394988,1
3,44,50,2.874714,11.498856,11.464996,1
3,44,50,2.874714,8.624142,8.598747,1
4,44,50,5.749428,11.498856,14.331245,1
4,44,50,5.749428,14.37357,20.063743,1
6,34,50,2.874714,14.37357,14.331245,1
5,40,50,5.749428,14.37357,20.063743,1
5,40,50,2.874714,8.624142,8.598747,1
9,43,50,2.874714,8.624142,8.598747,1
9,18,50,2.874714,11.498856,11.464996,1
7,29,50,2.874714,11.498856,11.464996,1
10,43,50,2.874714,8.624142,8.598747,1
10,49,50,17.248284,2.874714,17.197494,1
10,49,50,11.498856,2.874714,11.464996,1
10,27,50,2.874714,14.37357,14.331245,1
10,23,50,2.874714,20.122998,20.063743,1
10,36,50,11.498856,11.498856,31.528739,63
13,37,50,2.874714,8.624142,8.598747,1
13,35,50,2.874714,22.997712,22.929992,1
13,11,50,5.749428,17.248284,28.66249,1
13,11,50,2.874714,8.624142,8.598747,1
13,17,50,2.874714,14.37357,14.331245,1
14,10,50,5.749428,22.997712,25.796241,1
14,10,50,17.248284,2.874714,17.197494,1
14,15,50,8.624142,2.874714,8.598747,1
15,28,50,5.749428,8.624142,11.464996,1
16,41,50,5.749428,40.245996,42.993735,1
16,41,50,2.874714,8.624142,8.598747,1
16,55,50,2.874714,14.37357,14.331245,1
16,48,50,8.624142,2.874714,8.598747,1
16,48,50,14.37357,2.874714,14.331245,1
16,32,50,5.749428,8.624142,17.197494,1
16,28,50,2.874714,60.368994,60.191229,1
16,28,50,2.874714,8.624142,8.598747,1
18,12,50,2.874714,14.37357,14.331245,1
18,12,50,8.624142,20.122998,34.394988,1
18,12,50,8.624142,17.248284,34.394988,1
18,12,50,2.874714,8.624142,8.598747,1
19,31,50,8.624142,2.874714,8.598747,1
19,31,50,11.498856,2.874714,11.464996,1
19,31,50,11.498856,2.874714,11.464996,1
19,31,50,17.248284,2.874714,17.197494,1
19,31,50,8.624142,2.874714,8.598747,1
21,9,50,2.874714,8.624142,8.598747,1
18,41,50,2.874714,8.624142,8.598747,1
20,25,50,2.874714,14.37357,14.331245,1
21,52,50,2.874714,8.624142,8.598747,1
21,32,50,8.624142,11.498856,25.796241,1
23,45,50,8.624142,25.872426,51.592482,1
23,45,50,5.749428,25.872426,42.993735,1
23,45,50,2.874714,8.624142,8.598747,1
23,45,50,2.874714,8.624142,8.598747,1
23,45,50,5.749428,14.37357,25.796241,1
23,45,50,2.874714,8.624142,8.598747,1
23,21,50,5.749428,25.872426,31.528739,1
23,21,50,2.874714,11.498856,11.464996,1
23,60,50,2.874714,11.498856,11.464996,1
23,60,50,2.874714,8.624142,8.598747,1
24,47,50,2.874714,17.248284,17.197494,1
24,47,50,2.874714,11.498856,11.464996,1
24,47,50,2.874714,17.248284,17.197494,1
24,47,50,2.874714,14.37357,14.331245,1
24,47,50,2.874714,11.498856,11.464996,1
22,19,50,5.749428,20.122998,22.929992,1
