[Wafer Information]
Wafer Number,15
Wafer ID,A06-Q332403-404
Job Name,X2L3QBKL_R_08_06
Model Name,EagleT
Lot Number,24101990-001R
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/02/2024 09:59
End Time,02/02/2024 10:03
Inspection Time,0:03:26
Photo Time,0:23:07
Data Output Time,02/03/2024 12:13

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F99 Others,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling
15,A06-Q332403-404,5518,5365,97.227256,153,335,15,31,1,288

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
12,43,50,17.299224,20.182428,89.379324,2
12,43,50,11.498856,8.624142,28.66249,63
13,16,50,17.299224,20.182428,80.729712,2
13,16,50,11.498856,8.624142,25.796241,63
25,57,50,14.41602,20.182428,74.963304,2
25,57,50,11.498856,14.37357,42.993735,63
29,49,50,17.299224,20.182428,92.262528,2
37,55,50,17.299224,20.182428,86.49612,2
38,4,50,14.41602,20.182428,72.0801,2
40,15,50,14.41602,20.182428,89.379324,2
40,15,50,11.498856,11.498856,37.261237,63
41,0,50,40.364856,25.948836,247.955544,3
49,48,50,17.299224,20.182428,89.379324,2
49,48,50,8.624142,11.498856,28.66249,63
56,39,50,17.299224,17.299224,86.49612,2
56,39,50,8.624142,11.498856,28.66249,63
60,48,50,17.299224,20.182428,83.612916,2
60,48,50,11.498856,8.624142,28.66249,63
71,4,50,17.299224,17.299224,83.612916,2
74,42,50,37.481652,14.41602,132.627384,2
74,42,50,28.74714,8.624142,68.789976,63
81,44,50,14.41602,20.182428,72.0801,2
81,44,50,11.498856,8.624142,31.528739,63
90,20,50,20.182428,11.532816,66.313692,2
93,39,50,14.41602,20.182428,77.846508,2
3,29,50,2.874714,8.624142,8.598747,1
4,21,50,8.624142,2.874714,8.598747,1
4,21,50,20.122998,2.874714,20.063743,1
4,21,50,20.122998,2.874714,20.063743,1
4,21,50,57.49428,2.874714,57.32498,1
4,21,50,22.997712,2.874714,22.929992,1
4,21,50,40.245996,2.874714,40.127486,1
4,21,50,48.870138,2.874714,48.726233,1
4,21,50,91.990848,2.874714,91.719968,1
4,21,50,31.621854,2.874714,31.528739,1
4,21,50,14.37357,2.874714,14.331245,1
4,21,50,28.74714,2.874714,28.66249,1
4,21,50,17.248284,2.874714,17.197494,1
4,21,50,11.498856,2.874714,11.464996,1
4,21,50,40.245996,2.874714,40.127486,1
4,21,50,28.74714,2.874714,28.66249,1
4,41,50,2.874714,28.74714,28.66249,1
5,24,50,2.874714,20.122998,20.063743,1
6,32,50,8.624142,11.498856,25.796241,63
5,34,50,8.624142,2.874714,8.598747,1
5,34,50,11.498856,2.874714,11.464996,1
7,26,50,2.874714,17.248284,17.197494,1
7,19,50,2.874714,11.498856,11.464996,1
7,24,50,2.874714,8.624142,8.598747,1
6,36,50,5.749428,8.624142,14.331245,1
9,51,50,8.624142,11.498856,25.796241,63
12,53,50,2.874714,28.74714,28.66249,1
14,31,50,2.874714,11.498856,11.464996,1
14,33,50,8.624142,2.874714,8.598747,1
15,22,50,2.874714,8.624142,8.598747,1
15,41,50,8.624142,22.997712,40.127486,1
17,14,50,2.874714,11.498856,11.464996,1
17,14,50,2.874714,8.624142,8.598747,1
17,37,50,2.874714,14.37357,14.331245,1
19,18,50,25.872426,5.749428,51.592482,63
17,25,50,2.874714,11.498856,11.464996,1
20,28,50,2.874714,11.498856,11.464996,1
21,59,50,17.248284,11.498856,48.726233,63
21,34,50,2.874714,8.624142,8.598747,1
24,18,50,2.874714,17.248284,17.197494,1
23,46,50,8.624142,11.498856,25.796241,63
26,20,50,5.749428,11.498856,22.929992,63
26,20,50,8.624142,2.874714,8.598747,1
26,20,50,14.37357,2.874714,14.331245,1
26,20,50,8.624142,2.874714,8.598747,1
26,20,50,20.122998,2.874714,20.063743,1
26,20,50,103.489704,2.874714,103.184964,1
26,20,50,8.624142,2.874714,8.598747,1
26,20,50,37.371282,2.874714,37.261237,1
26,20,50,48.870138,2.874714,48.726233,1
26,20,50,11.498856,2.874714,11.464996,1
26,20,50,20.122998,2.874714,20.063743,1
26,20,50,14.37357,2.874714,14.331245,1
26,24,50,11.498856,5.749428,22.929992,63
28,24,50,2.874714,17.248284,17.197494,1
27,24,50,2.874714,11.498856,11.464996,1
28,18,50,2.874714,17.248284,17.197494,1
28,18,50,2.874714,11.498856,11.464996,1
28,18,50,2.874714,8.624142,8.598747,1
28,18,50,2.874714,8.624142,8.598747,1
28,18,50,2.874714,14.37357,14.331245,1
28,18,50,2.874714,8.624142,8.598747,1
28,18,50,2.874714,8.624142,8.598747,1
28,18,50,2.874714,11.498856,11.464996,1
28,18,50,2.874714,14.37357,14.331245,1
27,18,50,2.874714,11.498856,11.464996,1
27,18,50,2.874714,8.624142,8.598747,1
27,18,50,2.874714,8.624142,8.598747,1
29,7,50,2.874714,20.122998,20.063743,1
29,7,50,2.874714,20.122998,20.063743,1
29,19,50,2.874714,34.496568,34.394988,1
29,34,50,14.37357,2.874714,14.331245,1
29,34,50,17.248284,2.874714,17.197494,1
29,33,50,2.874714,8.624142,8.598747,1
29,24,50,2.874714,8.624142,8.598747,1
30,55,50,14.37357,2.874714,14.331245,1
30,5,50,2.874714,11.498856,11.464996,1
30,5,50,5.749428,11.498856,14.331245,1
31,5,50,5.749428,22.997712,25.796241,1
32,40,50,5.749428,22.997712,40.127486,1
32,40,50,2.874714,14.37357,14.331245,1
31,42,50,8.624142,11.498856,25.796241,63
33,17,50,2.874714,22.997712,22.929992,1
33,17,50,2.874714,31.621854,31.528739,1
33,17,50,2.874714,8.624142,8.598747,1
33,35,50,2.874714,11.498856,11.464996,1
34,17,50,8.624142,11.498856,22.929992,1
34,17,50,8.624142,8.624142,22.929992,1
34,17,50,2.874714,11.498856,11.464996,1
35,35,50,8.624142,2.874714,8.598747,1
37,12,50,2.874714,8.624142,8.598747,1
37,41,50,2.874714,17.248284,17.197494,1
39,25,50,2.874714,22.997712,22.929992,1
44,56,50,2.874714,11.498856,11.464996,1
44,8,50,2.874714,22.997712,22.929992,1
45,34,50,2.874714,8.624142,8.598747,1
47,57,50,11.498856,11.498856,28.66249,1
46,20,50,8.624142,5.749428,17.197494,1
46,20,50,11.498856,5.749428,17.197494,1
46,20,50,8.624142,2.874714,8.598747,1
46,20,50,48.870138,2.874714,48.726233,1
46,20,50,22.997712,2.874714,22.929992,1
46,20,50,8.624142,2.874714,8.598747,1
46,20,50,11.498856,2.874714,11.464996,1
46,20,50,40.245996,2.874714,40.127486,1
