[Wafer Information]
Wafer Number,25
Wafer ID,A56-Q338384-405
Job Name,X2L3QBJL_R_08_06
Model Name,EagleT
Lot Number,24102017-013
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/03/2024 03:20
End Time,02/03/2024 03:23
Inspection Time,0:03:21
Photo Time,0:06:54
Data Output Time,02/03/2024 05:23

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F99 Others,F07 Incoming microlens periphery peeling
25,A56-Q338384-405,5518,5424,98.296484,94,139,21,111,2,1,4

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
10,44,50,57.66408,49.014468,478.611864,3
10,44,50,63.243708,57.49428,733.759744,3
16,25,50,271.021176,8.649612,810.180324,1
17,25,50,271.021176,8.649612,697.735368,1
18,41,50,14.41602,14.41602,51.897672,63
20,23,50,54.780876,20.182428,314.269236,3
22,24,50,57.66408,8.649612,158.57622,1
22,60,50,54.780876,8.649612,152.809812,1
22,60,50,43.24806,17.299224,239.305932,3
24,7,50,17.299224,20.182428,86.49612,2
23,60,50,57.66408,11.532816,175.875444,1
23,60,50,271.021176,8.649612,813.063528,1
27,10,50,17.299224,20.182428,89.379324,2
28,25,50,77.846508,23.065632,484.378272,3
34,61,50,43.24806,20.182428,236.422728,3
40,41,50,14.41602,23.065632,80.729712,2
40,30,50,8.649612,80.729712,222.006708,1
42,24,50,273.90438,8.649612,807.29712,1
42,24,50,271.021176,8.649612,807.29712,1
42,24,50,271.021176,8.649612,801.530712,1
42,24,50,268.137972,8.649612,735.21702,1
42,24,50,57.66408,8.649612,152.809812,1
43,24,50,271.021176,8.649612,801.530712,1
44,25,50,46.131264,23.065632,271.021176,3
50,39,50,273.90438,8.649612,813.063528,1
50,39,50,63.430488,8.649612,190.291464,1
50,10,50,273.90438,8.649612,813.063528,1
50,10,50,271.021176,8.649612,807.29712,1
50,10,50,271.021176,8.649612,807.29712,1
50,40,50,268.137972,8.649612,798.647508,1
50,63,50,74.963304,8.649612,198.941076,1
50,63,50,123.977772,11.532816,354.634092,1
50,56,50,57.66408,20.182428,331.56846,3
51,40,50,273.90438,8.649612,804.413916,1
51,40,50,271.021176,8.649612,795.764304,1
51,40,50,268.137972,8.649612,787.114692,1
51,40,50,268.137972,8.649612,746.749836,1
56,52,50,66.313692,25.948836,455.546232,3
57,30,50,95.145732,23.065632,582.407208,3
61,52,50,98.028936,25.948836,709.268184,3
60,3,50,11.532816,11.532816,37.481652,63
63,60,50,271.021176,8.649612,807.29712,1
63,60,50,271.021176,8.649612,703.501776,1
64,26,50,57.66408,8.649612,155.693016,1
66,32,50,14.41602,20.182428,77.846508,2
70,10,50,273.90438,8.649612,781.348284,1
70,10,50,268.137972,8.649612,801.530712,1
70,59,50,271.021176,8.649612,758.282652,1
70,59,50,271.021176,8.649612,764.04906,1
70,59,50,271.021176,8.649612,792.8811,1
70,39,50,95.145732,8.649612,250.838748,1
73,40,50,273.90438,8.649612,815.946732,1
73,40,50,138.393792,8.649612,415.181376,1
71,27,50,46.131264,20.182428,247.955544,3
78,12,50,158.57622,8.649612,446.89662,1
78,12,50,123.977772,11.532816,340.218072,1
85,37,50,43.24806,23.065632,291.203604,3
88,10,50,63.430488,8.649612,187.40826,1
88,10,50,271.021176,8.649612,723.684204,1
90,39,50,273.90438,8.649612,815.946732,1
90,39,50,80.729712,8.649612,242.189136,1
90,39,50,271.021176,8.649612,709.268184,1
90,39,50,268.137972,8.649612,758.282652,1
90,39,50,271.021176,8.649612,778.46508,1
91,39,50,207.590688,8.649612,619.88886,1
91,39,50,271.021176,8.649612,769.815468,1
91,39,50,123.977772,8.649612,325.802052,1
96,17,50,43.24806,17.299224,230.65632,3
96,17,50,43.24806,17.299224,224.889912,3
94,40,50,271.021176,8.649612,810.180324,1
94,40,50,268.137972,8.649612,758.282652,1
94,27,50,46.131264,25.948836,285.437196,3
100,33,50,51.897672,8.649612,155.693016,1
99,33,50,49.014468,31.715244,394.998948,3
99,33,50,57.49428,40.245996,607.644788,3
98,42,50,51.897672,8.649612,141.276996,1
98,27,50,54.780876,23.065632,340.218072,3
35,5,50,20.122998,14.37357,80.254972,1
86,58,50,37.371282,68.993136,538.854812,3
103,31,50,54.619566,48.870138,409.873607,3
8,45,50,5.749428,2.874714,5.732498,1
13,46,50,8.624142,2.874714,8.598747,1
