[Wafer Information]
Wafer Number,21
Wafer ID,A36-Q337336-404
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,2410602-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/29/2024 04:42
End Time,01/29/2024 04:46
Inspection Time,0:03:21
Photo Time,0:03:05
Data Output Time,01/29/2024 05:20

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling,F06 Incoming others,F29 Silicon powder
21,A36-Q337336-404,5518,5484,99.383835,34,56,56

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,41,50,271.021176,8.649612,720.801,1
2,41,50,268.137972,8.649612,746.749836,1
8,20,50,54.780876,11.532816,155.693016,1
6,20,50,178.758648,8.649612,527.626332,1
10,37,50,14.41602,11.532816,43.24806,1
16,55,50,86.49612,8.649612,216.2403,1
20,12,50,72.0801,69.196896,1118.683152,2
20,12,50,94.865562,86.24142,1842.998107,3
29,33,50,80.729712,8.649612,213.357096,1
31,64,50,268.137972,8.649612,798.647508,1
30,33,50,83.612916,8.649612,213.357096,1
33,64,50,54.780876,11.532816,158.57622,1
47,20,50,271.021176,8.649612,807.29712,1
47,20,50,271.021176,8.649612,810.180324,1
47,20,50,66.313692,8.649612,196.057872,1
48,65,50,273.90438,8.649612,740.983428,1
48,65,50,271.021176,8.649612,775.581876,1
48,65,50,268.137972,8.649612,778.46508,1
48,67,50,268.137972,8.649612,709.268184,1
47,7,50,69.196896,8.649612,204.707484,1
50,42,50,271.021176,8.649612,807.29712,1
50,42,50,271.021176,8.649612,810.180324,1
50,42,50,268.137972,8.649612,801.530712,1
50,66,50,54.780876,11.532816,152.809812,1
51,42,50,268.137972,8.649612,738.100224,1
59,52,50,49.014468,37.481652,484.378272,3
66,61,50,49.014468,31.715244,429.597396,3
63,4,50,14.41602,28.83204,98.028936,2
64,31,50,83.612916,8.649612,210.473892,1
67,41,50,57.66408,8.649612,147.043404,1
70,65,50,276.787584,11.532816,827.479548,1
70,65,50,276.787584,8.649612,818.829936,1
70,65,50,273.90438,8.649612,813.063528,1
70,65,50,178.758648,8.649612,501.677496,1
70,65,50,268.137972,8.649612,706.38498,1
70,20,50,273.90438,8.649612,815.946732,1
70,20,50,271.021176,8.649612,810.180324,1
70,20,50,147.043404,8.649612,441.130212,1
71,65,50,268.137972,8.649612,712.151388,1
71,65,50,14.41602,8.649612,37.481652,1
71,65,50,123.977772,8.649612,366.166908,1
73,42,50,268.137972,8.649612,792.8811,1
73,42,50,268.137972,8.649612,746.749836,1
84,19,50,271.021176,8.649612,807.29712,1
87,41,50,271.021176,8.649612,804.413916,1
87,41,50,271.021176,8.649612,772.698672,1
87,41,50,112.444956,8.649612,322.918848,1
88,41,50,172.99224,8.649612,507.443904,1
88,41,50,57.66408,8.649612,144.1602,1
89,48,50,14.41602,20.182428,74.963304,2
91,20,50,273.90438,8.649612,789.997896,1
94,42,50,273.90438,8.649612,815.946732,1
94,42,50,271.021176,8.649612,807.29712,1
94,42,50,123.977772,8.649612,357.517296,1
26,54,50,40.245996,45.995424,407.007358,3
51,11,50,5.749428,2.874714,5.732498,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling,F06 Incoming others,F29 Silicon powder
21,A36-Q337336-404,5518,5484,99.383835,34,56,49,3,4

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,41,50,271.021176,8.649612,720.801,1
2,41,50,268.137972,8.649612,746.749836,1
8,20,50,54.780876,11.532816,155.693016,1
6,20,50,178.758648,8.649612,527.626332,1
10,37,50,14.41602,11.532816,43.24806,1
16,55,50,86.49612,8.649612,216.2403,1
20,12,50,72.0801,69.196896,1118.683152,2
20,12,50,94.865562,86.24142,1842.998107,3
29,33,50,80.729712,8.649612,213.357096,1
31,64,50,268.137972,8.649612,798.647508,1
