[Wafer Information]
Wafer Number,13
Wafer ID,Q336346-15B2
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24200052-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,02/04/2024 07:43
End Time,02/04/2024 07:50
Inspection Time,0:06:43
Photo Time,0:14:46
Data Output Time,02/04/2024 09:24

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F13 Pad area damage,F07 Incoming microlens periphery peeling,F99 Others
13,Q336346-15B2,19310,19063,98.72087,247,297,294,3

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,70,50,216.2403,11.532816,602.589636,1
6,64,50,80.729712,11.532816,299.853216,1
6,64,50,80.729712,11.532816,311.386032,1
19,51,50,63.430488,57.66408,789.997896,3
19,51,50,63.281064,69.033888,998.633328,3
23,50,50,34.598448,40.364856,386.349336,3
23,65,50,43.24806,34.598448,369.050112,3
23,65,50,46.022592,40.269768,490.707756,3
25,50,50,28.83204,72.0801,553.575168,3
25,50,50,28.76412,74.786712,594.014652,3
25,48,50,25.948836,43.24806,322.918848,3
27,100,50,23.065632,43.24806,250.838748,3
27,100,50,28.76412,51.775416,367.313408,3
30,92,50,51.897672,8.649612,135.510588,1
29,70,50,213.357096,8.649612,553.575168,1
29,48,50,268.137972,8.649612,723.684204,1
34,32,50,37.481652,40.364856,340.218072,3
34,32,50,48.899004,46.022592,502.1863,3
33,52,50,37.481652,54.780876,533.39274,3
38,21,50,28.83204,40.364856,247.955544,3
39,100,50,25.948836,54.780876,394.998948,3
39,100,50,31.640532,60.404652,496.447028,3
41,48,50,37.481652,43.24806,383.466132,3
41,48,50,43.14618,48.899004,528.013024,3
49,102,50,49.014468,8.649612,144.1602,1
47,54,50,37.481652,37.481652,383.466132,3
55,17,50,37.481652,31.715244,282.553992,3
55,17,50,46.022592,37.393356,421.836492,3
56,49,50,25.948836,8.649612,69.196896,1
57,10,50,34.598448,40.364856,308.502828,3
57,10,50,40.269768,48.899004,476.359576,3
68,103,50,8.649612,149.926608,449.779824,1
68,103,50,8.649612,60.547284,175.875444,1
68,59,50,8.649612,149.926608,444.013416,1
68,70,50,8.649612,149.926608,449.779824,1
72,108,50,77.846508,8.649612,207.590688,1
72,97,50,77.846508,8.649612,219.123504,1
72,105,50,80.729712,11.532816,233.539524,1
72,86,50,80.729712,11.532816,259.48836,1
72,53,50,77.846508,11.532816,236.422728,1
72,34,50,43.24806,37.481652,423.830988,3
72,34,50,74.786712,80.539536,1222.464936,3
74,115,50,31.715244,43.24806,366.166908,3
74,115,50,37.393356,48.899004,487.83812,3
74,115,50,5.752824,8.629236,14.34818,1
73,48,50,57.66408,8.649612,147.043404,1
76,62,50,34.598448,43.24806,343.101276,3
81,104,50,25.948836,43.24806,262.371564,3
81,104,50,31.640532,54.651828,424.706128,3
93,87,50,37.481652,43.24806,363.283704,3
93,87,50,46.022592,48.899004,516.53448,3
95,59,50,268.137972,8.649612,746.749836,1
95,59,50,265.254768,8.649612,717.917796,1
95,59,50,40.364856,8.649612,118.211364,1
95,48,50,268.137972,8.649612,787.114692,1
94,9,50,80.729712,11.532816,242.189136,1
95,37,50,268.137972,8.649612,792.8811,1
94,4,50,201.82428,8.649612,518.97672,1
99,122,50,43.24806,28.83204,311.386032,3
101,69,50,40.364856,34.598448,357.517296,3
101,69,50,46.022592,46.022592,550.970112,3
115,115,50,28.83204,8.649612,69.196896,1
113,44,50,31.715244,34.598448,288.3204,3
114,11,50,8.649612,83.612916,219.123504,1
116,64,50,43.24806,8.649612,121.094568,1
118,59,50,57.66408,8.649612,149.926608,1
119,98,50,74.963304,11.532816,224.889912,1
118,48,50,54.780876,8.649612,135.510588,1
128,119,50,43.24806,31.715244,415.181376,3
134,103,50,8.649612,152.809812,449.779824,1
134,114,50,8.649612,152.809812,397.882152,1
134,114,50,8.649612,86.49612,247.955544,1
138,108,50,80.729712,8.649612,224.889912,1
137,25,50,57.66408,8.649612,149.926608,1
137,25,50,167.225832,8.649612,435.363804,1
