[Wafer Information]
Wafer Number,11
Wafer ID,Q336346-17A0
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24200055-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,02/04/2024 01:25
End Time,02/04/2024 01:32
Inspection Time,0:06:42
Photo Time,0:14:29
Data Output Time,02/04/2024 02:55

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling,F99 Others,F13 Pad area damage
11,Q336346-17A0,19802,19572,98.838501,230,303,301,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,70,50,224.889912,11.532816,689.085756,1
6,64,50,80.729712,11.532816,302.73642,1
21,72,50,112.444956,196.057872,2886.087204,3
21,72,50,120.809304,204.225252,3475.129196,3
25,33,50,51.897672,28.83204,377.699724,3
23,45,50,43.24806,34.598448,360.4005,3
23,45,50,51.775416,40.269768,530.88266,3
29,59,50,268.137972,8.649612,729.450612,1
28,36,50,46.131264,25.948836,299.853216,3
29,37,50,268.137972,8.649612,712.151388,1
35,105,50,43.24806,20.182428,236.422728,3
36,48,50,54.780876,43.24806,484.378272,3
35,30,50,46.131264,31.715244,369.050112,3
36,33,50,40.364856,40.364856,374.81652,3
40,33,50,49.014468,28.83204,325.802052,3
41,36,50,51.897672,25.948836,294.086808,3
53,76,50,167.225832,11.532816,513.210312,1
50,70,50,51.897672,8.649612,135.510588,1
52,37,50,54.780876,8.649612,144.1602,1
53,16,50,49.014468,25.948836,328.685256,3
55,20,50,49.014468,23.065632,302.73642,3
57,111,50,57.66408,23.065632,351.750888,3
61,116,50,43.24806,23.065632,273.90438,3
63,116,50,51.897672,20.182428,288.3204,3
63,19,50,51.897672,25.948836,360.4005,3
64,10,50,43.24806,25.948836,322.918848,3
72,86,50,80.729712,11.532816,262.371564,1
72,86,50,80.729712,11.532816,311.386032,1
73,35,50,31.715244,43.24806,334.451664,3
73,35,50,40.269768,48.899004,447.663216,3
74,108,50,34.598448,49.014468,392.115744,3
