[Wafer Information]
Wafer Number,11
Wafer ID,Q337336-02E5
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24200067-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,02/04/2024 10:33
End Time,02/04/2024 10:40
Inspection Time,0:06:44
Photo Time,0:09:34
Data Output Time,02/04/2024 11:33

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F99 Others,F29 Silicon powder,F06 Incoming others,F13 Pad area damage,F07 Incoming microlens periphery peeling
11,Q337336-02E5,19695,19527,99.146992,168,213,211,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,64,50,80.729712,11.532816,299.853216,1
6,64,50,80.729712,11.532816,311.386032,1
6,70,50,213.357096,11.532816,599.706432,1
10,51,50,164.342628,11.532816,518.97672,1
15,84,50,28.83204,17.299224,121.094568,1
15,84,50,37.393356,14.38206,152.090708,1
15,84,50,20.134884,17.258472,68.871264,1
18,52,50,60.547284,25.948836,403.64856,3
19,47,50,14.41602,37.481652,106.678548,1
19,47,50,74.786712,80.539536,909.674612,3
19,47,50,28.76412,48.899004,335.747412,1
30,92,50,54.780876,8.649612,147.043404,1
29,59,50,268.137972,8.649612,781.348284,1
29,59,50,271.021176,8.649612,769.815468,1
33,104,50,69.196896,20.182428,420.947784,3
44,22,50,43.24806,25.948836,320.035644,3
47,51,50,43.24806,31.715244,311.386032,3
47,51,50,48.899004,40.269768,484.968484,3
48,22,50,8.649612,80.729712,236.422728,1
52,37,50,54.780876,8.649612,158.57622,1
50,70,50,109.561752,11.532816,345.98448,1
56,60,50,25.948836,8.649612,63.430488,1
59,17,50,49.014468,23.065632,314.269236,3
60,11,50,43.24806,25.948836,250.838748,3
65,14,50,51.897672,25.948836,337.334868,3
68,103,50,8.649612,149.926608,446.89662,1
68,103,50,8.649612,43.24806,129.74418,1
68,81,50,8.649612,149.926608,435.363804,1
68,70,50,8.649612,149.926608,449.779824,1
68,59,50,8.649612,149.926608,432.4806,1
72,119,50,77.846508,11.532816,256.605156,1
72,119,50,80.729712,11.532816,273.90438,1
72,119,50,77.846508,8.649612,227.773116,1
72,86,50,80.729712,11.532816,259.48836,1
72,92,50,147.043404,11.532816,452.663028,1
72,115,50,23.065632,8.649612,57.66408,1
72,115,50,268.137972,8.649612,766.932264,1
76,117,50,14.41602,8.649612,43.24806,1
76,117,50,167.225832,8.649612,490.14468,1
81,14,50,51.897672,23.065632,320.035644,3
87,8,50,43.24806,25.948836,262.371564,3
92,121,50,8.649612,80.729712,222.006708,1
95,92,50,132.627384,8.649612,380.582928,1
96,114,50,51.897672,11.532816,147.043404,1
95,81,50,268.137972,8.649612,795.764304,1
95,81,50,268.137972,8.649612,772.698672,1
95,81,50,268.137972,11.532816,726.567408,1
95,59,50,271.021176,11.532816,810.180324,1
95,59,50,268.137972,11.532816,864.9612,1
95,59,50,60.547284,8.649612,178.758648,1
95,37,50,268.137972,8.649612,758.282652,1
95,70,50,271.021176,8.649612,795.764304,1
95,70,50,271.021176,8.649612,758.282652,1
95,70,50,268.137972,11.532816,738.100224,1
94,9,50,80.729712,11.532816,259.48836,1
94,9,50,80.729712,11.532816,311.386032,1
94,16,50,250.838748,8.649612,743.866632,1
94,16,50,123.977772,8.649612,320.035644,1
94,27,50,123.977772,8.649612,348.867684,1
95,115,50,40.364856,8.649612,118.211364,1
112,60,50,8.649612,54.780876,141.276996,1
114,66,50,8.649612,80.729712,239.305932,1
114,11,50,8.649612,80.729712,216.2403,1
116,81,50,236.422728,8.649612,642.954492,1
116,81,50,123.977772,11.532816,331.56846,1
119,98,50,69.196896,11.532816,201.82428,1
118,59,50,57.66408,11.532816,175.875444,1
116,92,50,123.977772,11.532816,374.81652,1
119,120,50,80.729712,11.532816,247.955544,1
117,103,50,271.021176,8.649612,738.100224,1
118,26,50,49.014468,8.649612,132.627384,1
118,15,50,54.780876,8.649612,149.926608,1
117,16,50,54.780876,8.649612,141.276996,1
117,16,50,37.393356,115.05648,975.67624,3
117,16,50,31.640532,46.022592,275.485056,3
125,8,50,60.547284,28.83204,389.23254,3
131,121,50,37.481652,31.715244,285.437196,3
134,103,50,8.649612,152.809812,452.663028,1
134,81,50,8.649612,152.809812,449.779824,1
134,97,50,8.649612,83.612916,242.189136,1
134,92,50,8.649612,149.926608,449.779824,1
138,108,50,80.729712,11.532816,285.437196,1
138,114,50,51.897672,11.532816,164.342628,1
137,25,50,57.66408,8.649612,152.809812,1
138,93,50,268.137972,8.649612,738.100224,1
139,70,50,115.32816,8.649612,311.386032,1
139,70,50,57.66408,8.649612,158.57622,1
139,81,50,40.364856,8.649612,109.561752,1
143,106,50,20.182428,43.24806,259.48836,3
160,112,50,69.196896,20.182428,409.414968,3
161,70,50,268.137972,8.649612,778.46508,1
161,70,50,28.83204,8.649612,80.729712,1
161,59,50,138.393792,11.532816,397.882152,1
161,81,50,271.021176,8.649612,798.647508,1
161,81,50,268.137972,11.532816,784.231488,1
160,114,50,63.430488,43.24806,559.341576,3
161,92,50,268.137972,8.649612,715.034592,1
161,92,50,224.889912,8.649612,614.122452,1
160,20,50,72.0801,8.649612,201.82428,1
160,49,50,37.481652,8.649612,100.91214,1
166,17,50,57.66408,25.948836,377.699724,3
168,19,50,63.430488,28.83204,467.079048,3
173,25,50,51.897672,25.948836,314.269236,3
181,27,50,46.131264,25.948836,288.3204,3
184,37,50,57.66408,8.649612,152.809812,1
184,48,50,54.780876,8.649612,149.926608,1
184,59,50,54.780876,8.649612,138.393792,1
188,93,50,25.948836,8.649612,69.196896,1
188,82,50,28.83204,8.649612,77.846508,1
188,60,50,28.83204,8.649612,80.729712,1
191,94,50,54.780876,23.065632,320.035644,3
191,52,50,46.131264,28.83204,291.203604,3
192,88,50,74.963304,23.065632,449.779824,3
194,87,50,51.897672,20.182428,322.918848,3
203,45,50,74.963304,11.532816,230.65632,1
203,62,50,77.846508,11.532816,236.422728,1
203,62,50,46.131264,11.532816,144.1602,1
203,62,50,40.364856,37.481652,328.685256,3
203,49,50,77.846508,11.532816,222.006708,1
203,49,50,80.729712,11.532816,247.955544,1
203,49,50,28.83204,11.532816,89.379324,1
203,49,50,34.598448,8.649612,98.028936,1
203,49,50,46.131264,28.83204,305.619624,3
203,69,50,80.729712,11.532816,273.90438,1
203,64,50,66.313692,23.065632,441.130212,3
31,60,50,25.887708,57.52824,352.965228,3
31,60,50,28.76412,63.281064,338.617048,1
52,102,50,17.258472,83.415948,298.442144,3
58,20,50,17.258472,25.887708,123.394348,1
58,20,50,25.887708,20.134884,97.567624,1
59,24,50,17.258472,51.775416,117.655076,3
67,119,50,46.022592,46.022592,530.88266,3
90,12,50,43.14618,48.899004,507.925572,3
96,117,50,20.134884,89.168772,289.833236,3
121,113,50,54.651828,23.011296,344.35632,3
124,119,50,60.404652,20.134884,338.617048,3
124,87,50,40.269768,17.258472,169.308524,1
124,87,50,14.38206,14.38206,48.783812,1
166,18,50,17.258472,51.775416,278.354692,3
198,77,50,46.022592,54.651828,525.143388,3
9,39,50,11.505648,2.876412,11.478544,1
19,88,50,8.629236,11.505648,28.69636,1
24,29,50,8.629236,31.640532,71.7409,1
22,33,50,28.76412,43.14618,255.397604,1
27,90,50,14.38206,14.38206,54.523084,1
27,60,50,8.629236,5.752824,11.478544,1
28,24,50,8.629236,2.876412,8.608908,1
37,30,50,23.011296,14.38206,48.783812,1
41,93,50,2.876412,11.505648,11.478544,1
42,104,50,14.38206,23.011296,77.480172,1
52,71,50,5.752824,46.022592,83.219444,1
53,72,50,8.629236,2.876412,8.608908,1
53,105,50,8.629236,2.876412,8.608908,1
53,105,50,11.505648,2.876412,11.478544,1
53,100,50,8.629236,17.258472,45.914176,1
57,10,50,2.876412,8.629236,8.608908,1
68,63,50,2.876412,17.258472,17.217816,1
70,56,50,2.876412,8.629236,8.608908,1
75,72,50,11.505648,2.876412,11.478544,1
75,72,50,8.629236,2.876412,8.608908,1
