[Wafer Information]
Wafer Number,13
Wafer ID,Q337336-03E0
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24200067-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,02/04/2024 10:13
End Time,02/04/2024 10:20
Inspection Time,0:06:42
Photo Time,0:11:10
Data Output Time,02/04/2024 01:07

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F99 Others,F06 Incoming others,F07 Incoming microlens periphery peeling
13,Q337336-03E0,19694,19503,99.030161,191,249,249

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,73,50,164.342628,11.532816,507.443904,1
6,73,50,77.846508,11.532816,233.539524,1
6,64,50,80.729712,11.532816,282.553992,1
6,64,50,80.729712,11.532816,314.269236,1
18,91,50,49.014468,23.065632,296.970012,3
21,61,50,40.364856,69.196896,769.815468,3
21,61,50,43.14618,74.786712,912.544248,3
21,61,50,2.876412,11.505648,11.478544,1
21,61,50,5.752824,17.258472,22.957088,1
28,101,50,54.780876,20.182428,320.035644,3
30,92,50,51.897672,11.532816,144.1602,1
30,39,50,43.24806,25.948836,265.254768,3
34,104,50,25.948836,8.649612,72.0801,1
34,51,50,46.131264,20.182428,273.90438,3
48,22,50,8.649612,80.729712,236.422728,1
50,70,50,92.262528,11.532816,259.48836,1
52,26,50,40.364856,8.649612,103.795344,1
61,116,50,54.780876,23.065632,325.802052,3
68,92,50,8.649612,152.809812,444.013416,1
68,81,50,8.649612,149.926608,449.779824,1
68,59,50,8.649612,149.926608,438.247008,1
68,70,50,8.649612,149.926608,446.89662,1
71,111,50,43.24806,23.065632,256.605156,3
72,92,50,167.225832,11.532816,591.05682,1
72,86,50,23.065632,11.532816,72.0801,1
71,34,50,46.131264,11.532816,135.510588,1
72,71,50,268.137972,8.649612,715.034592,1
72,115,50,268.137972,8.649612,729.450612,1
75,10,50,54.780876,8.649612,155.693016,1
96,114,50,51.897672,11.532816,170.109036,1
95,103,50,271.021176,11.532816,712.151388,1
95,103,50,57.66408,8.649612,161.459424,1
95,70,50,271.021176,8.649612,795.764304,1
95,70,50,268.137972,11.532816,729.450612,1
95,59,50,271.021176,11.532816,841.895568,1
95,59,50,271.021176,11.532816,850.54518,1
95,59,50,54.780876,11.532816,172.99224,1
95,37,50,253.721952,11.532816,798.647508,1
95,48,50,268.137972,8.649612,752.516244,1
95,48,50,167.225832,8.649612,464.195844,1
94,5,50,184.525056,8.649612,481.495068,1
94,27,50,123.977772,8.649612,331.56846,1
95,104,50,271.021176,8.649612,764.04906,1
