[Wafer Information]
Wafer Number,9
Wafer ID,Q338384-16B4
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24200205-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,02/04/2024 10:05
End Time,02/04/2024 10:12
Inspection Time,0:06:42
Photo Time,0:16:23
Data Output Time,02/05/2024 02:13

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling,F29 Silicon powder
9,Q338384-16B4,19576,19327,98.728034,249,312,312

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,64,50,80.729712,11.532816,302.73642,1
6,64,50,54.780876,11.532816,216.2403,1
6,70,50,178.758648,11.532816,487.261476,1
68,59,50,8.649612,149.926608,449.779824,1
68,48,50,8.649612,149.926608,446.89662,1
68,49,50,8.649612,152.809812,423.830988,1
68,70,50,8.649612,149.926608,449.779824,1
72,97,50,80.729712,11.532816,305.619624,1
72,97,50,80.729712,11.532816,273.90438,1
72,92,50,98.028936,11.532816,345.98448,1
72,82,50,271.021176,8.649612,709.268184,1
72,82,50,5.752824,8.629236,14.34818,1
72,104,50,271.021176,8.649612,781.348284,1
72,71,50,271.021176,8.649612,720.801,1
76,117,50,164.342628,8.649612,487.261476,1
73,48,50,37.481652,8.649612,103.795344,1
73,48,50,20.182428,8.649612,46.131264,1
95,37,50,268.137972,11.532816,804.413916,1
95,103,50,268.137972,8.649612,732.333816,1
95,48,50,268.137972,8.649612,789.997896,1
95,48,50,170.109036,8.649612,455.546232,1
95,48,50,8.629236,8.629236,22.957088,1
95,59,50,271.021176,11.532816,807.29712,1
95,59,50,268.137972,11.532816,815.946732,1
95,59,50,40.364856,8.649612,118.211364,1
95,70,50,268.137972,8.649612,738.100224,1
95,70,50,268.137972,8.649612,784.231488,1
95,70,50,268.137972,11.532816,712.151388,1
95,70,50,2.876412,8.629236,8.608908,1
95,115,50,109.561752,8.649612,311.386032,1
115,115,50,25.948836,8.649612,72.0801,1
116,92,50,123.977772,8.649612,351.750888,1
118,26,50,43.24806,11.532816,118.211364,1
118,15,50,51.897672,8.649612,138.393792,1
122,27,50,28.83204,8.649612,77.846508,1
134,103,50,8.649612,152.809812,449.779824,1
134,92,50,8.649612,152.809812,449.779824,1
134,81,50,8.649612,152.809812,452.663028,1
138,108,50,80.729712,11.532816,247.955544,1
139,81,50,57.66408,8.649612,152.809812,1
161,107,50,77.846508,11.532816,239.305932,1
161,103,50,271.021176,8.649612,807.29712,1
161,103,50,268.137972,8.649612,755.399448,1
161,103,50,268.137972,8.649612,691.96896,1
161,103,50,20.134884,11.505648,66.001628,1
160,31,50,77.846508,11.532816,230.65632,1
160,31,50,80.729712,11.532816,291.203604,1
160,31,50,80.729712,8.649612,236.422728,1
161,61,50,80.729712,8.649612,201.82428,1
161,70,50,268.137972,8.649612,789.997896,1
161,81,50,268.137972,11.532816,847.661976,1
161,81,50,262.371564,11.532816,876.494016,1
161,59,50,80.729712,8.649612,242.189136,1
161,92,50,268.137972,8.649612,795.764304,1
161,92,50,268.137972,8.649612,772.698672,1
161,92,50,161.459424,8.649612,435.363804,1
160,15,50,230.65632,8.649612,602.589636,1
160,15,50,11.505648,8.629236,22.957088,1
160,20,50,77.846508,8.649612,222.006708,1
160,20,50,77.846508,8.649612,233.539524,1
164,20,50,77.846508,8.649612,233.539524,1
164,53,50,80.729712,8.649612,233.539524,1
180,38,50,80.729712,11.532816,230.65632,1
180,30,50,80.729712,11.532816,282.553992,1
184,92,50,54.780876,8.649612,155.693016,1
184,37,50,23.065632,8.649612,60.547284,1
184,51,50,164.342628,11.532816,504.5607,1
188,93,50,25.948836,8.649612,74.963304,1
188,82,50,25.948836,8.649612,72.0801,1
187,38,50,167.225832,11.532816,579.524004,1
187,38,50,83.612916,11.532816,279.670788,1
190,87,50,49.014468,23.065632,317.15244,3
201,66,50,63.430488,31.715244,498.794292,3
