[Wafer Information]
Wafer Number,11
Wafer ID,Q338384-20A2
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24200208-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,02/04/2024 02:58
End Time,02/04/2024 03:04
Inspection Time,0:06:41
Photo Time,0:14:36
Data Output Time,02/04/2024 03:51

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F99 Others,F06 Incoming others,F29 Silicon powder,F07 Incoming microlens periphery peeling
11,Q338384-20A2,19481,19246,98.793696,235,278,278

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
14,61,50,8.649612,40.364856,95.145732,1
14,61,50,77.663124,57.52824,611.232468,3
14,61,50,60.404652,20.134884,206.613792,63
14,61,50,11.505648,17.258472,66.001628,1
14,61,50,28.76412,51.775416,393.140132,1
14,66,50,118.211364,138.393792,2718.861372,3
14,66,50,126.562128,152.449836,3357.47412,3
28,53,50,80.729712,8.649612,227.773116,1
46,93,50,8.649612,54.780876,144.1602,1
51,37,50,268.137972,11.532816,804.413916,1
51,37,50,271.021176,11.532816,856.311588,1
51,37,50,268.137972,11.532816,876.494016,1
52,70,50,54.780876,11.532816,178.758648,1
52,92,50,54.780876,8.649612,141.276996,1
51,59,50,268.137972,8.649612,752.516244,1
51,59,50,268.137972,8.649612,729.450612,1
51,59,50,271.021176,11.532816,749.63304,1
51,59,50,17.299224,8.649612,43.24806,1
51,26,50,268.137972,11.532816,781.348284,1
51,26,50,271.021176,11.532816,735.21702,1
51,26,50,121.094568,8.649612,334.451664,1
51,15,50,268.137972,8.649612,732.333816,1
51,27,50,230.65632,8.649612,611.239248,1
56,104,50,25.948836,8.649612,66.313692,1
74,26,50,57.66408,11.532816,170.109036,1
90,48,50,8.649612,149.926608,400.765356,1
95,114,50,268.137972,11.532816,945.690912,1
95,114,50,17.299224,11.532816,57.66408,1
94,86,50,77.846508,8.649612,222.006708,1
95,103,50,60.547284,11.532816,233.539524,1
94,70,50,135.510588,8.649612,380.582928,1
95,37,50,57.66408,8.649612,152.809812,1
117,59,50,268.137972,8.649612,729.450612,1
117,59,50,268.137972,8.649612,740.983428,1
118,103,50,57.66408,8.649612,152.809812,1
118,92,50,57.66408,11.532816,161.459424,1
117,37,50,268.137972,8.649612,761.165856,1
117,37,50,216.2403,8.649612,617.005656,1
117,93,50,57.66408,8.649612,155.693016,1
122,104,50,28.83204,8.649612,86.49612,1
122,115,50,28.83204,8.649612,74.963304,1
123,44,50,28.83204,49.014468,383.466132,3
123,44,50,40.269768,57.52824,605.493196,3
137,113,50,80.729712,11.532816,268.137972,1
138,70,50,123.977772,8.649612,340.218072,1
140,37,50,57.66408,8.649612,164.342628,1
140,26,50,57.66408,8.649612,167.225832,1
144,49,50,25.948836,8.649612,72.0801,1
144,27,50,31.715244,8.649612,83.612916,1
144,27,50,49.014468,8.649612,132.627384,1
156,103,50,8.649612,152.809812,452.663028,1
156,70,50,8.649612,152.809812,412.298172,1
160,97,50,80.729712,8.649612,230.65632,1
160,97,50,77.846508,8.649612,222.006708,1
160,86,50,80.729712,11.532816,294.086808,1
160,108,50,80.729712,11.532816,276.787584,1
160,92,50,164.342628,11.532816,559.341576,1
159,19,50,77.846508,11.532816,271.021176,1
159,19,50,80.729712,11.532816,273.90438,1
159,16,50,25.948836,11.532816,80.729712,1
160,82,50,268.137972,8.649612,717.917796,1
160,93,50,271.021176,8.649612,732.333816,1
160,93,50,271.021176,8.649612,738.100224,1
163,54,50,80.729712,11.532816,239.305932,1
161,59,50,57.66408,11.532816,213.357096,1
163,20,50,80.729712,11.532816,245.07234,1
163,18,50,46.131264,11.532816,158.57622,1
179,84,50,89.379324,8.649612,239.305932,1
183,48,50,190.291464,8.649612,570.874392,1
183,50,50,80.729712,8.649612,213.357096,1
183,70,50,271.021176,11.532816,1035.070236,1
183,70,50,271.021176,11.532816,1046.603052,1
183,70,50,126.860976,11.532816,498.794292,1
183,81,50,271.021176,8.649612,752.516244,1
183,81,50,268.137972,8.649612,758.282652,1
187,93,50,23.065632,11.532816,83.612916,1
191,49,50,8.649612,17.299224,46.131264,1
191,49,50,11.505648,23.011296,57.39272,1
202,51,50,77.846508,11.532816,265.254768,1
202,42,50,167.225832,11.532816,467.079048,1
202,42,50,77.846508,11.532816,236.422728,1
202,71,50,54.780876,23.065632,369.050112,3
206,67,50,46.131264,8.649612,126.860976,1
10,44,50,11.505648,14.38206,51.653448,1
10,44,50,8.629236,2.876412,8.608908,1
11,53,50,11.505648,20.134884,77.480172,1
11,53,50,11.505648,11.505648,34.435632,1
11,53,50,8.629236,2.876412,8.608908,1
25,35,50,92.045184,60.404652,625.580648,3
45,20,50,28.76412,51.775416,307.051052,3
47,49,50,8.629236,25.887708,60.262356,1
94,80,50,5.752824,17.258472,34.435632,1
98,72,50,46.022592,48.899004,605.493196,3
109,80,50,48.899004,40.269768,450.532852,3
115,121,50,57.52824,48.899004,338.617048,3
116,0,50,17.258472,54.651828,212.353064,3
138,107,50,54.651828,28.76412,450.532852,3
145,113,50,51.775416,37.393356,522.273752,3
157,105,50,20.134884,63.281064,312.790324,3
166,19,50,40.269768,48.899004,384.531224,3
1,71,50,25.887708,5.752824,34.435632,1
4,71,50,11.505648,2.876412,11.478544,1
4,60,50,8.629236,2.876412,8.608908,1
4,60,50,17.258472,14.38206,68.871264,1
4,60,50,17.258472,23.011296,91.828352,1
7,74,50,11.505648,5.752824,17.217816,1
7,74,50,8.629236,2.876412,8.608908,1
6,53,50,28.76412,31.640532,203.744156,1
7,75,50,5.752824,8.629236,17.217816,1
8,84,50,8.629236,5.752824,11.478544,1
8,84,50,8.629236,2.876412,8.608908,1
8,38,50,8.629236,11.505648,25.826724,1
9,71,50,40.269768,8.629236,97.567624,1
8,70,50,20.134884,2.876412,20.087452,1
8,42,50,2.876412,11.505648,11.478544,1
10,71,50,100.67442,8.629236,183.656704,1
10,71,50,8.629236,2.876412,8.608908,1
10,71,50,57.52824,5.752824,63.131992,1
10,71,50,17.258472,2.876412,17.217816,1
10,61,50,5.752824,8.629236,14.34818,1
10,61,50,5.752824,8.629236,14.34818,1
10,61,50,8.629236,5.752824,14.34818,1
10,87,50,8.629236,8.629236,20.087452,1
15,71,50,11.505648,2.876412,11.478544,1
16,33,50,28.76412,48.899004,330.00814,1
19,80,50,5.752824,8.629236,11.478544,1
19,44,50,8.629236,8.629236,17.217816,1
26,71,50,8.629236,2.876412,8.608908,1
26,87,50,54.651828,2.876412,54.523084,1
30,71,50,8.629236,11.505648,22.957088,1
29,71,50,14.38206,8.629236,37.305268,1
29,82,50,14.38206,11.505648,43.04454,1
30,93,50,5.752824,8.629236,14.34818,1
44,112,50,2.876412,14.38206,14.34818,1
44,112,50,2.876412,11.505648,11.478544,1
46,109,50,31.640532,2.876412,31.565996,1
46,108,50,37.393356,2.876412,37.305268,1
48,71,50,11.505648,2.876412,11.478544,1
49,83,50,23.011296,2.876412,22.957088,1
49,76,50,14.38206,5.752824,25.826724,1
49,76,50,8.629236,5.752824,11.478544,1
50,25,50,5.752824,8.629236,14.34818,1
50,37,50,8.629236,8.629236,25.826724,1
50,70,50,8.629236,11.505648,28.69636,1
52,73,50,8.629236,2.876412,8.608908,1
52,114,50,25.887708,2.876412,25.826724,1
53,61,50,8.629236,2.876412,8.608908,1
52,60,50,8.629236,11.505648,22.957088,1
53,72,50,8.629236,2.876412,8.608908,1
52,37,50,8.629236,2.876412,8.608908,1
59,71,50,11.505648,2.876412,11.478544,1
63,71,50,17.258472,2.876412,17.217816,1
66,71,50,14.38206,2.876412,14.34818,1
68,76,50,31.640532,2.876412,31.565996,1
68,49,50,5.752824,8.629236,11.478544,1
70,109,50,14.38206,2.876412,14.34818,1
70,98,50,17.258472,2.876412,17.217816,1
71,111,50,8.629236,2.876412,8.608908,1
71,72,50,17.258472,2.876412,17.217816,1
70,43,50,40.269768,2.876412,40.174904,1
71,76,50,20.134884,2.876412,20.087452,1
71,28,50,20.134884,2.876412,20.087452,1
72,60,50,8.629236,11.505648,25.826724,1
74,84,50,8.629236,5.752824,14.34818,1
74,84,50,8.629236,2.876412,8.608908,1
74,81,50,11.505648,2.876412,11.478544,1
73,85,50,11.505648,5.752824,20.087452,1
76,85,50,2.876412,8.629236,8.608908,1
75,118,50,8.629236,2.876412,8.608908,1
78,70,50,17.258472,5.752824,25.826724,1
84,44,50,14.38206,2.876412,14.34818,1
85,44,50,25.887708,5.752824,43.04454,1
88,90,50,2.876412,14.38206,14.34818,1
90,108,50,34.516944,2.876412,34.435632,1
90,107,50,20.134884,2.876412,20.087452,1
90,120,50,28.76412,2.876412,28.69636,1
90,76,50,31.640532,2.876412,31.565996,1
88,9,50,28.76412,25.887708,157.82998,1
90,2,50,17.258472,2.876412,17.217816,1
91,45,50,5.752824,34.516944,45.914176,1
92,77,50,5.752824,8.629236,14.34818,1
92,119,50,20.134884,2.876412,20.087452,1
94,118,50,51.775416,2.876412,51.653448,1
96,81,50,40.269768,2.876412,40.174904,1
98,118,50,8.629236,5.752824,11.478544,1
