[Wafer Information]
Wafer Number,11
Wafer ID,Q338384-23F6
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24200211-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,02/04/2024 04:09
End Time,02/04/2024 04:16
Inspection Time,0:06:44
Photo Time,0:10:29
Data Output Time,02/04/2024 06:12

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder,F07 Incoming microlens periphery peeling,F99 Others
11,Q338384-23F6,19717,19544,99.122585,173,209,209

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,64,50,49.014468,11.532816,187.40826,1
25,94,50,40.364856,37.481652,452.663028,3
25,94,50,48.899004,48.899004,677.234096,3
30,92,50,51.897672,11.532816,144.1602,1
50,70,50,80.729712,8.649612,230.65632,1
68,81,50,8.649612,149.926608,441.130212,1
66,54,50,40.364856,28.83204,291.203604,3
66,54,50,48.899004,37.393356,441.923944,3
68,59,50,8.649612,149.926608,403.64856,1
68,59,50,5.752824,20.134884,34.435632,1
68,59,50,2.876412,11.505648,11.478544,1
68,70,50,8.649612,149.926608,449.779824,1
72,92,50,233.539524,11.532816,755.399448,1
72,97,50,80.729712,8.649612,230.65632,1
72,86,50,72.0801,8.649612,207.590688,1
76,24,50,40.364856,37.481652,377.699724,3
76,24,50,48.899004,43.14618,585.405744,3
82,123,50,40.364856,20.182428,222.006708,3
91,122,50,49.014468,40.364856,449.779824,3
91,48,50,57.66408,51.897672,648.7209,3
91,48,50,63.281064,63.281064,932.6317,3
96,114,50,51.897672,11.532816,190.291464,1
95,59,50,268.137972,8.649612,789.997896,1
95,59,50,268.137972,8.649612,752.516244,1
95,59,50,43.24806,8.649612,121.094568,1
95,70,50,268.137972,8.649612,784.231488,1
95,70,50,268.137972,8.649612,712.151388,1
95,92,50,271.021176,11.532816,870.727608,1
95,92,50,271.021176,11.532816,965.87334,1
95,92,50,268.137972,11.532816,968.756544,1
95,92,50,224.889912,11.532816,827.479548,1
95,48,50,268.137972,8.649612,772.698672,1
95,48,50,126.860976,8.649612,360.4005,1
95,37,50,190.291464,11.532816,570.874392,1
94,26,50,123.977772,8.649612,334.451664,1
96,60,50,72.0801,49.014468,743.866632,3
96,60,50,77.663124,57.52824,1041.677868,3
95,115,50,54.780876,8.649612,141.276996,1
99,123,50,57.66408,20.182428,322.918848,3
113,97,50,28.83204,40.364856,247.955544,3
116,92,50,95.145732,11.532816,268.137972,1
118,87,50,57.66408,8.649612,147.043404,1
118,26,50,37.481652,8.649612,106.678548,1
119,119,50,49.014468,23.065632,331.56846,3
127,113,50,43.24806,23.065632,285.437196,3
132,114,50,46.131264,31.715244,348.867684,3
133,115,50,25.948836,46.131264,322.918848,3
134,114,50,8.649612,152.809812,449.779824,1
134,103,50,8.649612,149.926608,449.779824,1
134,81,50,8.649612,152.809812,438.247008,1
134,92,50,8.649612,149.926608,406.531764,1
138,114,50,224.889912,8.649612,611.239248,1
138,108,50,69.196896,11.532816,216.2403,1
137,59,50,34.598448,37.481652,296.970012,3
137,59,50,46.022592,46.022592,470.620304,3
139,112,50,43.24806,20.182428,242.189136,3
141,104,50,51.897672,20.182428,314.269236,3
145,103,50,46.131264,20.182428,288.3204,3
145,106,50,77.846508,20.182428,516.093516,3
156,103,50,43.24806,20.182428,294.086808,3
156,18,50,132.627384,11.532816,403.64856,1
159,103,50,40.364856,34.598448,366.166908,3
161,70,50,268.137972,8.649612,778.46508,1
161,70,50,49.014468,8.649612,132.627384,1
161,59,50,123.977772,8.649612,360.4005,1
161,81,50,271.021176,8.649612,801.530712,1
161,81,50,271.021176,8.649612,784.231488,1
160,15,50,60.547284,8.649612,172.99224,1
160,31,50,77.846508,8.649612,233.539524,1
160,20,50,80.729712,8.649612,227.773116,1
160,20,50,80.729712,8.649612,233.539524,1
165,104,50,80.729712,11.532816,224.889912,1
164,100,50,60.547284,20.182428,383.466132,3
184,48,50,57.66408,11.532816,155.693016,1
183,31,50,80.729712,11.532816,256.605156,1
184,79,50,46.131264,25.948836,322.918848,3
184,80,50,100.91214,23.065632,645.837696,3
184,88,50,43.24806,23.065632,299.853216,3
184,91,50,51.897672,23.065632,337.334868,3
188,93,50,25.948836,8.649612,72.0801,1
186,70,50,77.846508,23.065632,484.378272,3
188,60,50,28.83204,8.649612,80.729712,1
190,90,50,51.897672,23.065632,322.918848,3
195,41,50,51.897672,60.547284,697.735368,3
195,41,50,57.52824,86.29236,1208.116756,3
196,74,50,43.24806,20.182428,259.48836,3
