[Wafer Information]
Wafer Number,13
Wafer ID,Q338963-03A4
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24200244-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,02/04/2024 06:45
End Time,02/04/2024 06:52
Inspection Time,0:06:33
Photo Time,0:13:55
Data Output Time,02/04/2024 08:26

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F13 Pad area damage
13,Q338963-03A4,18759,18562,98.949837,197,297,291,6

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
7,70,50,144.1602,8.649612,392.115744,1
26,44,50,8.649612,80.729712,230.65632,1
30,81,50,54.780876,8.649612,155.693016,1
43,23,50,43.24806,25.948836,262.371564,3
43,23,50,51.775416,37.393356,464.881032,3
47,103,50,28.83204,23.065632,181.641852,1
47,103,50,40.269768,14.38206,198.004884,1
47,103,50,40.269768,14.38206,177.917432,1
47,103,50,28.76412,28.76412,238.179788,1
47,103,50,28.76412,28.76412,223.831608,1
68,48,50,8.649612,149.926608,449.779824,1
68,37,50,8.649612,149.926608,449.779824,1
68,26,50,8.649612,149.926608,449.779824,1
68,27,50,8.649612,155.693016,415.181376,1
68,21,50,8.649612,80.729712,219.123504,1
68,9,50,8.649612,80.729712,242.189136,1
73,103,50,247.955544,11.532816,893.79324,1
72,59,50,265.254768,8.649612,729.450612,1
72,70,50,268.137972,11.532816,1026.420624,1
72,70,50,271.021176,11.532816,977.406156,1
72,53,50,80.729712,11.532816,268.137972,1
72,53,50,80.729712,11.532816,308.502828,1
72,42,50,40.364856,11.532816,109.561752,1
72,48,50,158.57622,11.532816,533.39274,1
72,31,50,40.364856,11.532816,126.860976,1
90,25,50,8.649612,63.430488,161.459424,1
96,114,50,54.780876,8.649612,152.809812,1
96,70,50,49.014468,11.532816,144.1602,1
96,92,50,34.598448,8.649612,83.612916,1
96,81,50,51.897672,8.649612,144.1602,1
95,37,50,271.021176,8.649612,775.581876,1
95,37,50,271.021176,8.649612,715.034592,1
95,37,50,268.137972,8.649612,758.282652,1
95,15,50,268.137972,8.649612,787.114692,1
95,15,50,268.137972,11.532816,766.932264,1
95,15,50,152.809812,11.532816,446.89662,1
95,15,50,14.38206,11.505648,34.435632,1
100,93,50,28.83204,8.649612,80.729712,1
100,93,50,25.948836,8.649612,63.430488,1
114,16,50,80.729712,11.532816,250.838748,1
114,11,50,8.649612,80.729712,239.305932,1
119,109,50,167.225832,8.649612,464.195844,1
119,109,50,80.729712,8.649612,233.539524,1
116,48,50,123.977772,8.649612,348.867684,1
116,37,50,201.82428,11.532816,573.757596,1
116,37,50,123.977772,8.649612,348.867684,1
118,37,50,46.131264,8.649612,123.977772,1
122,27,50,28.83204,8.649612,74.963304,1
134,70,50,8.649612,152.809812,452.663028,1
134,48,50,8.649612,152.809812,452.663028,1
134,59,50,8.649612,149.926608,392.115744,1
134,37,50,8.649612,152.809812,452.663028,1
134,26,50,8.649612,149.926608,392.115744,1
134,9,50,8.649612,80.729712,236.422728,1
138,114,50,123.977772,8.649612,337.334868,1
138,97,50,77.846508,8.649612,233.539524,1
138,75,50,80.729712,11.532816,271.021176,1
138,75,50,80.729712,11.532816,276.787584,1
138,86,50,77.846508,8.649612,224.889912,1
138,81,50,256.605156,11.532816,980.28936,1
138,64,50,80.729712,11.532816,282.553992,1
136,22,50,8.649612,54.780876,158.57622,1
141,21,50,80.729712,11.532816,259.48836,1
141,21,50,164.342628,8.649612,449.779824,1
141,21,50,80.729712,8.649612,219.123504,1
139,26,50,72.0801,8.649612,207.590688,1
157,64,50,57.66408,8.649612,152.809812,1
161,92,50,271.021176,11.532816,974.522952,1
161,92,50,34.598448,11.532816,138.393792,1
161,81,50,268.137972,11.532816,810.180324,1
161,81,50,268.137972,11.532816,853.428384,1
161,81,50,271.021176,11.532816,853.428384,1
161,81,50,170.109036,11.532816,657.370512,1
162,113,50,28.83204,11.532816,95.145732,1
161,48,50,268.137972,8.649612,795.764304,1
161,48,50,268.137972,8.649612,795.764304,1
161,48,50,193.174668,11.532816,573.757596,1
161,26,50,271.021176,8.649612,795.764304,1
161,15,50,268.137972,8.649612,787.114692,1
165,82,50,63.430488,11.532816,184.525056,1
168,69,50,57.66408,49.014468,599.706432,3
168,69,50,66.157476,57.52824,855.151528,3
174,22,50,54.780876,40.364856,556.458372,3
181,93,50,83.612916,11.532816,239.305932,1
180,60,50,89.379324,11.532816,273.90438,1
180,33,50,8.649612,80.729712,233.539524,1
182,81,50,83.612916,11.532816,322.918848,1
182,70,50,98.028936,11.532816,265.254768,1
182,70,50,14.38206,14.38206,43.04454,1
186,89,50,63.430488,31.715244,501.677496,3
193,34,50,60.547284,40.364856,521.859924,3
200,70,50,8.649612,149.926608,449.779824,1
200,64,50,8.649612,83.612916,245.07234,1
8,85,50,80.539536,23.011296,352.965228,3
7,83,50,63.281064,31.640532,439.054308,3
8,44,50,14.38206,54.651828,192.265612,3
21,53,50,43.14618,48.899004,378.791952,3
56,111,50,17.258472,23.011296,109.046168,1
56,111,50,14.38206,23.011296,66.001628,1
64,107,50,31.640532,17.258472,132.003256,1
80,121,50,23.011296,14.38206,94.697988,1
96,118,50,40.269768,48.899004,258.26724,3
140,117,50,31.640532,46.022592,189.395976,3
147,13,50,25.887708,63.281064,413.227584,3
169,102,50,83.415948,25.887708,634.189556,3
196,81,50,80.539536,23.011296,396.009768,63
196,76,50,51.775416,20.134884,252.527968,3
199,59,50,28.76412,48.899004,246.788696,3
6,71,50,14.38206,5.752824,25.826724,1
8,71,50,8.629236,11.505648,25.826724,1
15,59,50,11.505648,11.505648,34.435632,1
17,43,50,2.876412,8.629236,8.608908,1
19,95,50,5.752824,8.629236,17.217816,1
23,30,50,2.876412,28.76412,28.69636,1
26,102,50,14.38206,8.629236,31.565996,1
29,59,50,5.752824,8.629236,11.478544,1
31,72,50,8.629236,2.876412,8.608908,1
30,95,50,25.887708,11.505648,68.871264,1
29,27,50,14.38206,11.505648,45.914176,1
35,101,50,28.76412,14.38206,97.567624,1
37,106,50,5.752824,8.629236,11.478544,1
44,112,50,2.876412,8.629236,8.608908,1
44,112,50,2.876412,40.269768,40.174904,1
45,47,50,5.752824,11.505648,20.087452,1
47,89,50,11.505648,2.876412,11.478544,1
52,71,50,5.752824,11.505648,20.087452,1
51,70,50,14.38206,14.38206,48.783812,1
52,93,50,8.629236,11.505648,22.957088,1
52,84,50,8.629236,2.876412,8.608908,1
50,26,50,11.505648,14.38206,34.435632,1
52,60,50,8.629236,11.505648,25.826724,1
52,16,50,8.629236,11.505648,22.957088,1
53,50,50,8.629236,2.876412,8.608908,1
58,29,50,5.752824,8.629236,11.478544,1
68,114,50,11.505648,17.258472,45.914176,1
74,93,50,8.629236,11.505648,25.826724,1
74,82,50,8.629236,11.505648,20.087452,1
73,48,50,8.629236,11.505648,25.826724,1
74,71,50,8.629236,8.629236,20.087452,1
75,50,50,11.505648,2.876412,11.478544,1
74,27,50,5.752824,8.629236,17.217816,1
73,37,50,11.505648,8.629236,25.826724,1
91,67,50,14.38206,2.876412,14.34818,1
97,123,50,8.629236,8.629236,20.087452,1
95,81,50,2.876412,8.629236,8.608908,1
96,71,50,5.752824,11.505648,14.34818,1
95,80,50,23.011296,2.876412,22.957088,1
110,24,50,8.629236,5.752824,11.478544,1
112,96,50,2.876412,20.134884,20.087452,1
112,96,50,8.629236,5.752824,14.34818,1
112,96,50,8.629236,8.629236,14.34818,1
112,96,50,5.752824,11.505648,20.087452,1
112,96,50,2.876412,23.011296,22.957088,1
112,96,50,5.752824,31.640532,37.305268,1
112,107,50,2.876412,54.651828,54.523084,1
112,107,50,5.752824,8.629236,11.478544,1
112,118,50,5.752824,66.157476,103.306896,1
112,118,50,5.752824,8.629236,14.34818,1
112,118,50,5.752824,63.281064,77.480172,1
112,85,50,5.752824,109.303656,143.4818,1
112,85,50,5.752824,8.629236,11.478544,1
112,85,50,5.752824,63.281064,74.610536,1
