[Wafer Information]
Wafer Number,3
Wafer ID,P2YG22.00020
Job Name,SC520XS_B_12_01
Model Name,EagleT
Lot Number,MOLT23C01645
Description,
Wafer Size(mm),300
Die Size XY(um),X,5289.613,Y,6945.336
Chip Num. XY,X,41,Y,53
Wafer Thickness(um),0

[INSP]
Start Time,12/20/2023 10:06
End Time,12/20/2023 10:12
Inspection Time,0:05:43
Photo Time,0:06:55
Data Output Time,01/03/2024 11:36

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F13 Pad area damage,F33 Black Foreign material,F38 White Foreign material
3,P2YG22.00020,1534,1469,95.762712,65,91,5,69,17

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
27,3,88,25.826724,31.565996,763.323176,2
41,29,88,27.261542,33.718223,815.694033,2
43,33,88,24.391906,19.370043,499.316664,2
48,13,88,21.52227,15.065589,375.204907,2
48,13,88,25.109315,59.544947,1317.162924,2
48,13,88,5.739272,16.500407,66.001628,1
48,13,88,0.717409,1.434818,1.434818,1
48,13,88,1.434818,2.152227,3.587045,1
2,14,88,1.434818,0.717409,1.434818,1
3,16,88,20.087452,29.413769,471.337713,1
3,16,88,4.304454,5.021863,17.935225,1
3,16,88,5.021863,8.608908,40.892313,1
5,23,88,2.152227,3.587045,7.891499,1
6,30,88,1.434818,1.434818,2.152227,1
8,27,88,4.304454,5.739272,25.109315,1
10,11,88,8.608908,10.043726,95.415397,1
11,27,88,3.587045,4.304454,17.217816,1
11,25,88,20.087452,17.935225,310.638097,1
11,12,88,2.152227,2.869636,8.608908,1
12,35,88,9.326317,12.913362,117.655076,1
13,36,88,6.456681,9.326317,63.131992,1
13,3,88,0.717409,2.152227,2.152227,1
13,6,88,6.456681,10.043726,71.7409,1
15,37,88,7.891499,7.17409,59.544947,1
15,8,88,5.739272,8.608908,56.675311,1
17,28,88,10.761135,11.478544,135.590301,1
17,13,88,22.957088,22.957088,506.490754,1
17,13,88,2.152227,1.434818,2.869636,1
17,13,88,0.717409,2.152227,2.152227,1
17,13,88,5.739272,9.326317,33.718223,1
17,13,88,0.717409,1.434818,1.434818,1
17,13,88,0.717409,1.434818,1.434818,1
17,13,88,1.434818,1.434818,2.869636,1
17,13,88,1.434818,1.434818,2.152227,1
17,13,88,1.434818,1.434818,2.869636,1
