[Wafer Information]
Wafer Number,23
Wafer ID,A79-Q336309-351
Job Name,X2L3QBJL_R_08_QB1
Model Name,EagleT
Lot Number,MOLT23C01764-002
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/04/2024 04:15
End Time,01/04/2024 04:16
Inspection Time,0:00:26
Photo Time,0:01:35
Data Output Time,01/04/2024 05:36

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling
23,A79-Q336309-351,340,338,99.411765,2,14,4,6,4

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
14,31,50,14.41602,28.83204,109.561752,1
50,36,50,2220.06708,2713.094964,352941.651252,1
50,36,50,2107.622124,2655.430884,1066895.041752,3
50,36,50,397.882152,423.830988,57779.40816,2
50,36,50,397.882152,126.860976,16797.546504,2
50,36,50,2220.06708,3128.27634,211834.764288,1
50,36,50,2107.622124,3073.495464,1336414.068468,3
50,36,50,634.30488,201.82428,26562.958452,2
50,36,50,397.882152,426.714192,57615.065532,2
50,36,50,112.444956,43.24806,1147.515192,3
50,36,50,2220.06708,92.262528,31692.178368,1
50,36,50,631.421676,34.598448,6582.354732,3
50,36,50,455.546232,37.481652,5117.6871,3
50,36,50,415.181376,34.598448,4373.820468,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling
23,A79-Q336309-351,340,340,100,0,0,0

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
14,31,Pass,14.41602,28.83204,109.561752,1
50,36,Pass,2220.06708,2713.094964,352941.651252,1
50,36,Pass,2107.622124,2655.430884,1066895.041752,3
50,36,Pass,397.882152,423.830988,57779.40816,2
50,36,Pass,397.882152,126.860976,16797.546504,2
50,36,Pass,2220.06708,3128.27634,211834.764288,1
50,36,Pass,2107.622124,3073.495464,1336414.068468,3
50,36,Pass,634.30488,201.82428,26562.958452,2
50,36,Pass,397.882152,426.714192,57615.065532,2
50,36,Pass,112.444956,43.24806,1147.515192,3
50,36,Pass,2220.06708,92.262528,31692.178368,1
50,36,Pass,631.421676,34.598448,6582.354732,3
50,36,Pass,455.546232,37.481652,5117.6871,3
50,36,Pass,415.181376,34.598448,4373.820468,3

