[Wafer Information]
Wafer Number,15
Wafer ID,A24-Q335548-351
Job Name,X2L3QBKL_R_08_QB1
Model Name,EagleT
Lot Number,MOLT23C02003-002
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/17/2024 12:49
End Time,01/17/2024 12:50
Inspection Time,0:00:25
Photo Time,0:01:57
Data Output Time,01/17/2024 12:53

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F13 Pad area damage
15,A24-Q335548-351,340,313,92.058824,27,27,26,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,31,50,11.532816,8.649612,25.948836,4
9,31,50,8.649612,11.532816,25.948836,4
19,32,50,8.649612,14.41602,34.598448,4
24,32,50,11.532816,8.649612,28.83204,4
27,31,50,8.649612,11.532816,31.715244,4
31,32,50,5.766408,14.41602,28.83204,4
34,32,50,8.649612,11.532816,25.948836,4
35,32,50,8.649612,11.532816,25.948836,4
37,32,50,8.649612,11.532816,28.83204,4
50,16,50,8.649612,17.299224,37.481652,4
50,56,50,8.649612,11.532816,25.948836,4
49,28,50,8.649612,11.532816,25.948836,4
49,23,50,14.41602,51.897672,147.043404,4
50,50,50,8.649612,11.532816,25.948836,4
50,42,50,11.532816,8.649612,25.948836,4
49,65,50,11.532816,14.41602,43.24806,4
50,18,50,11.532816,8.649612,25.948836,4
49,7,50,11.532816,8.649612,25.948836,4
48,32,50,11.532816,8.649612,23.065632,4
50,43,50,49.014468,20.182428,291.203604,3
58,32,50,11.532816,11.532816,31.715244,4
62,32,50,8.649612,17.299224,43.24806,4
66,32,50,11.532816,11.532816,28.83204,4
70,31,50,5.766408,11.532816,23.065632,4
76,31,50,5.766408,11.532816,23.065632,4
90,32,50,8.649612,11.532816,25.948836,4
92,31,50,11.532816,17.299224,46.131264,4

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F13 Pad area damage
15,A24-Q335548-351,340,340,100,0,0,0

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,31,Pass,11.532816,8.649612,25.948836,4
9,31,Pass,8.649612,11.532816,25.948836,4
19,32,Pass,8.649612,14.41602,34.598448,4
24,32,Pass,11.532816,8.649612,28.83204,4
27,31,Pass,8.649612,11.532816,31.715244,4
31,32,Pass,5.766408,14.41602,28.83204,4
34,32,Pass,8.649612,11.532816,25.948836,4
35,32,Pass,8.649612,11.532816,25.948836,4
37,32,Pass,8.649612,11.532816,28.83204,4
50,16,Pass,8.649612,17.299224,37.481652,4
50,56,Pass,8.649612,11.532816,25.948836,4
49,28,Pass,8.649612,11.532816,25.948836,4
49,23,Pass,14.41602,51.897672,147.043404,4
50,50,Pass,8.649612,11.532816,25.948836,4
50,42,Pass,11.532816,8.649612,25.948836,4
49,65,Pass,11.532816,14.41602,43.24806,4
50,18,Pass,11.532816,8.649612,25.948836,4
49,7,Pass,11.532816,8.649612,25.948836,4
48,32,Pass,11.532816,8.649612,23.065632,4
50,43,Pass,49.014468,20.182428,291.203604,3
58,32,Pass,11.532816,11.532816,31.715244,4
62,32,Pass,8.649612,17.299224,43.24806,4
66,32,Pass,11.532816,11.532816,28.83204,4
70,31,Pass,5.766408,11.532816,23.065632,4
76,31,Pass,5.766408,11.532816,23.065632,4
90,32,Pass,8.649612,11.532816,25.948836,4
92,31,Pass,11.532816,17.299224,46.131264,4

