[Wafer Information]
Wafer Number,23
Wafer ID,A47-Q336861-352
Job Name,X2L3QBKL_R_08_QB1
Model Name,EagleT
Lot Number,MOLT23C02144-002
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/03/2024 02:00
End Time,01/03/2024 02:01
Inspection Time,0:00:25
Photo Time,0:01:26
Data Output Time,01/03/2024 03:51

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F13 Pad area damage
23,A47-Q336861-352,340,316,92.941176,24,26,26

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
46,31,50,8.649612,23.065632,54.780876,4
47,31,50,8.649612,23.065632,51.897672,4
49,67,50,8.649612,23.065632,46.131264,4
50,65,50,8.649612,23.065632,46.131264,4
49,42,50,8.649612,23.065632,51.897672,4
49,42,50,20.182428,5.766408,40.364856,4
50,42,50,8.649612,23.065632,49.014468,4
49,65,50,8.649612,23.065632,46.131264,4
49,55,50,8.649612,20.182428,40.364856,4
51,31,50,8.649612,23.065632,49.014468,4
51,32,50,8.649612,20.182428,49.014468,4
51,32,50,8.649612,23.065632,60.547284,4
52,32,50,8.649612,23.065632,54.780876,4
53,32,50,8.649612,23.065632,51.897672,4
55,32,50,8.649612,20.182428,54.780876,4
54,32,50,8.649612,23.065632,51.897672,4
56,32,50,8.649612,20.182428,46.131264,4
57,32,50,8.649612,20.182428,51.897672,4
96,31,50,8.649612,23.065632,57.66408,4
98,31,50,11.532816,25.948836,83.612916,4
97,31,50,8.649612,23.065632,51.897672,4
99,31,50,8.649612,23.065632,54.780876,4
100,31,50,8.649612,25.948836,66.313692,4
103,31,50,8.649612,23.065632,51.897672,4
101,31,50,8.649612,25.948836,66.313692,4
102,31,50,8.649612,25.948836,66.313692,4

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F13 Pad area damage
23,A47-Q336861-352,340,340,100,0,0,0

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
46,31,Pass,8.649612,23.065632,54.780876,4
47,31,Pass,8.649612,23.065632,51.897672,4
49,67,Pass,8.649612,23.065632,46.131264,4
50,65,Pass,8.649612,23.065632,46.131264,4
49,42,Pass,8.649612,23.065632,51.897672,4
49,42,Pass,20.182428,5.766408,40.364856,4
50,42,Pass,8.649612,23.065632,49.014468,4
49,65,Pass,8.649612,23.065632,46.131264,4
49,55,Pass,8.649612,20.182428,40.364856,4
51,31,Pass,8.649612,23.065632,49.014468,4
51,32,Pass,8.649612,20.182428,49.014468,4
51,32,Pass,8.649612,23.065632,60.547284,4
52,32,Pass,8.649612,23.065632,54.780876,4
53,32,Pass,8.649612,23.065632,51.897672,4
55,32,Pass,8.649612,20.182428,54.780876,4
54,32,Pass,8.649612,23.065632,51.897672,4
56,32,Pass,8.649612,20.182428,46.131264,4
57,32,Pass,8.649612,20.182428,51.897672,4
96,31,Pass,8.649612,23.065632,57.66408,4
98,31,Pass,11.532816,25.948836,83.612916,4
97,31,Pass,8.649612,23.065632,51.897672,4
99,31,Pass,8.649612,23.065632,54.780876,4
100,31,Pass,8.649612,25.948836,66.313692,4
103,31,Pass,8.649612,23.065632,51.897672,4
101,31,Pass,8.649612,25.948836,66.313692,4
102,31,Pass,8.649612,25.948836,66.313692,4

