[Wafer Information]
Wafer Number,7
Wafer ID,A87-Q335673-352
Job Name,X2L3QBJL_R_08_QB1
Model Name,EagleT
Lot Number,MOLT23C02468-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/06/2024 05:27
End Time,01/06/2024 05:27
Inspection Time,0:00:25
Photo Time,0:00:41
Data Output Time,01/06/2024 05:32

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F13 Pad area damage
7,A87-Q335673-352,340,330,97.058824,10,10,10

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
29,32,50,17.299224,5.766408,34.598448,4
39,31,50,23.065632,8.649612,54.780876,4
40,31,50,23.065632,8.649612,54.780876,4
41,31,50,20.182428,8.649612,49.014468,4
43,31,50,20.182428,8.649612,51.897672,4
42,31,50,20.182428,8.649612,43.24806,4
46,31,50,20.182428,8.649612,46.131264,4
50,42,50,20.182428,8.649612,49.014468,4
49,42,50,23.065632,8.649612,57.66408,4
50,3,50,20.182428,8.649612,54.780876,4

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F13 Pad area damage
7,A87-Q335673-352,340,340,100,0,0,0

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
29,32,Pass,17.299224,5.766408,34.598448,4
39,31,Pass,23.065632,8.649612,54.780876,4
40,31,Pass,23.065632,8.649612,54.780876,4
41,31,Pass,20.182428,8.649612,49.014468,4
43,31,Pass,20.182428,8.649612,51.897672,4
42,31,Pass,20.182428,8.649612,43.24806,4
46,31,Pass,20.182428,8.649612,46.131264,4
50,42,Pass,20.182428,8.649612,49.014468,4
49,42,Pass,23.065632,8.649612,57.66408,4
50,3,Pass,20.182428,8.649612,54.780876,4

