[Wafer Information]
Wafer Number,25
Wafer ID,A67-Q335961-402
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,MOLT24101025
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/21/2024 01:18
End Time,01/21/2024 01:22
Inspection Time,0:03:25
Photo Time,0:04:49
Data Output Time,01/21/2024 03:59

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling,F99 Others
25,A67-Q335961-402,5518,5475,99.220732,43,63,62,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,23,50,49.014468,8.649612,141.276996,1
13,50,50,80.729712,8.649612,210.473892,1
22,22,50,273.90438,8.649612,818.829936,1
22,22,50,253.721952,8.649612,761.165856,1
25,23,50,123.977772,8.649612,369.050112,1
23,22,50,43.24806,8.649612,123.977772,1
23,22,50,273.90438,8.649612,815.946732,1
23,22,50,92.262528,8.649612,259.48836,1
33,39,50,271.021176,8.649612,781.348284,1
33,39,50,271.021176,8.649612,792.8811,1
33,39,50,273.90438,8.649612,804.413916,1
34,39,50,271.021176,8.649612,775.581876,1
40,63,50,216.2403,8.649612,645.837696,1
40,63,50,271.021176,8.649612,789.997896,1
43,41,50,49.014468,8.649612,126.860976,1
44,41,50,54.780876,8.649612,144.1602,1
46,23,50,273.90438,8.649612,798.647508,1
46,23,50,271.021176,8.649612,784.231488,1
47,62,50,273.90438,8.649612,784.231488,1
47,62,50,271.021176,8.649612,807.29712,1
47,24,50,57.66408,8.649612,167.225832,1
53,7,50,193.174668,8.649612,579.524004,1
53,61,50,271.021176,8.649612,807.29712,1
53,61,50,273.90438,8.649612,813.063528,1
54,39,50,230.65632,8.649612,689.085756,1
54,39,50,57.66408,11.532816,167.225832,1
57,8,50,271.021176,8.649612,789.997896,1
60,63,50,271.021176,8.649612,758.282652,1
62,63,50,40.364856,8.649612,100.91214,1
64,41,50,57.66408,8.649612,167.225832,1
64,41,50,273.90438,8.649612,804.413916,1
64,41,50,123.977772,11.532816,371.933316,1
66,41,50,57.66408,8.649612,167.225832,1
70,64,50,54.780876,8.649612,152.809812,1
73,7,50,273.90438,8.649612,810.180324,1
73,7,50,271.021176,8.649612,810.180324,1
73,39,50,276.787584,8.649612,818.829936,1
74,61,50,271.021176,8.649612,749.63304,1
74,39,50,271.021176,8.649612,810.180324,1
74,39,50,271.021176,8.649612,792.8811,1
74,39,50,126.860976,8.649612,351.750888,1
77,8,50,271.021176,8.649612,804.413916,1
77,8,50,271.021176,8.649612,749.63304,1
84,41,50,273.90438,8.649612,726.567408,1
84,15,50,80.729712,8.649612,227.773116,1
87,32,50,80.729712,8.649612,204.707484,1
88,40,50,193.174668,8.649612,567.991188,1
88,40,50,115.32816,8.649612,320.035644,1
90,40,50,43.24806,8.649612,126.860976,1
90,24,50,273.90438,8.649612,703.501776,1
90,24,50,123.977772,8.649612,308.502828,1
98,31,50,80.729712,8.649612,207.590688,1
53,38,50,40.245996,45.995424,200.63743,3
5,25,50,31.621854,2.874714,31.528739,1
9,30,50,8.624142,2.874714,8.598747,1
14,47,50,14.37357,2.874714,14.331245,1
14,47,50,8.624142,2.874714,8.598747,1
36,16,50,14.37357,2.874714,14.331245,1
36,16,50,37.371282,2.874714,37.261237,1
50,18,50,5.749428,2.874714,5.732498,1
74,24,50,5.749428,2.874714,5.732498,1
77,17,50,28.74714,2.874714,28.66249,1
81,56,50,2.874714,5.749428,5.732498,1

[After Review]
