[Wafer Information]
Wafer Number,23
Wafer ID,A68-Q335961-402
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,MOLT24101025
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/21/2024 01:28
End Time,01/21/2024 01:32
Inspection Time,0:03:22
Photo Time,0:03:39
Data Output Time,01/21/2024 03:21

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F99 Others
23,A68-Q335961-402,5518,5468,99.093875,50,64,28,34,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,28,50,43.24806,23.065632,262.371564,3
7,27,50,46.131264,23.065632,268.137972,3
8,47,50,271.021176,8.649612,804.413916,1
8,47,50,268.137972,8.649612,740.983428,1
9,47,50,28.83204,8.649612,80.729712,1
9,47,50,271.021176,8.649612,787.114692,1
9,25,50,66.313692,25.948836,449.779824,3
11,20,50,40.364856,28.83204,262.371564,3
12,52,50,43.24806,25.948836,271.021176,3
12,19,50,43.24806,20.182428,247.955544,3
15,46,50,72.0801,23.065632,478.611864,3
17,50,50,63.430488,20.182428,369.050112,3
20,46,50,230.65632,8.649612,691.96896,1
20,46,50,57.66408,8.649612,170.109036,1
29,38,50,51.897672,23.065632,305.619624,3
30,47,50,273.90438,8.649612,761.165856,1
30,47,50,271.021176,8.649612,729.450612,1
31,52,50,49.014468,20.182428,276.787584,3
32,27,50,37.481652,28.83204,247.955544,3
33,24,50,271.021176,8.649612,810.180324,1
33,24,50,273.90438,8.649612,775.581876,1
33,24,50,273.90438,8.649612,807.29712,1
33,24,50,37.481652,8.649612,112.444956,1
36,27,50,273.90438,8.649612,717.917796,1
36,27,50,121.094568,8.649612,320.035644,1
40,42,50,54.780876,23.065632,328.685256,3
43,55,50,51.897672,28.83204,334.451664,3
44,52,50,60.547284,23.065632,386.349336,3
43,42,50,40.364856,28.83204,282.553992,3
43,5,50,14.41602,20.182428,74.963304,2
48,57,50,49.014468,23.065632,314.269236,3
48,63,50,80.729712,23.065632,472.845456,3
50,47,50,250.838748,8.649612,674.669736,1
53,45,50,271.021176,8.649612,807.29712,1
53,45,50,271.021176,8.649612,810.180324,1
53,45,50,80.729712,8.649612,242.189136,1
53,26,50,273.90438,8.649612,787.114692,1
54,42,50,49.014468,23.065632,288.3204,3
54,38,50,63.430488,34.598448,550.691964,3
54,38,50,63.243708,22.997712,312.421141,3
54,24,50,123.977772,8.649612,366.166908,1
56,24,50,43.24806,8.649612,115.32816,1
56,25,50,273.90438,8.649612,815.946732,1
56,25,50,187.40826,8.649612,562.22478,1
56,46,50,37.481652,28.83204,239.305932,3
58,52,50,20.182428,17.299224,92.262528,2
59,46,50,43.24806,25.948836,294.086808,3
59,34,50,57.66408,28.83204,446.89662,3
59,34,50,51.744852,14.37357,214.968675,3
62,55,50,43.24806,23.065632,322.918848,3
69,63,50,40.364856,25.948836,291.203604,3
76,24,50,37.481652,8.649612,109.561752,1
74,45,50,271.021176,8.649612,810.180324,1
77,38,50,40.364856,28.83204,311.386032,3
79,49,50,5.766408,11.532816,23.065632,1
84,46,50,193.174668,8.649612,516.093516,1
95,48,50,54.780876,20.182428,340.218072,3
95,47,50,14.41602,8.649612,40.364856,1
95,47,50,123.977772,8.649612,354.634092,1
101,25,50,268.137972,8.649612,804.413916,1
19,52,50,8.624142,2.874714,8.598747,1
47,64,50,2.874714,5.749428,5.732498,1
71,29,50,20.122998,2.874714,20.063743,1
93,29,50,20.122998,2.874714,20.063743,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F99 Others
23,A68-Q335961-402,5518,5489,99.474447,29,31,28,2,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,28,50,43.24806,23.065632,262.371564,3
7,27,50,46.131264,23.065632,268.137972,3
8,47,Pass,271.021176,8.649612,804.413916,1
8,47,Pass,268.137972,8.649612,740.983428,1
9,47,Pass,28.83204,8.649612,80.729712,1
9,47,Pass,271.021176,8.649612,787.114692,1
9,25,50,66.313692,25.948836,449.779824,3
11,20,50,40.364856,28.83204,262.371564,3
12,52,50,43.24806,25.948836,271.021176,3
