[Wafer Information]
Wafer Number,13
Wafer ID,A73-Q335961-402
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,MOLT24101025
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/21/2024 02:44
End Time,01/21/2024 02:47
Inspection Time,0:03:21
Photo Time,0:01:52
Data Output Time,01/21/2024 03:55

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F99 Others,F29 Silicon powder,F06 Incoming others
13,A73-Q335961-402,5518,5474,99.20261,44,56,37,14,5

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,29,50,271.021176,8.649612,778.46508,1
6,29,50,271.021176,8.649612,810.180324,1
6,29,50,57.66408,8.649612,161.459424,1
15,35,50,51.897672,28.83204,328.685256,3
16,36,50,43.24806,25.948836,291.203604,3
19,55,50,928.391688,8.649612,2433.424176,1
20,11,50,17.299224,23.065632,100.91214,2
20,37,50,28.83204,8.649612,74.963304,1
20,37,50,20.182428,8.649612,49.014468,1
26,29,50,271.021176,8.649612,798.647508,1
28,29,50,54.780876,8.649612,158.57622,1
28,39,50,14.41602,11.532816,46.131264,1
28,39,50,22.997712,14.37357,103.184964,1
30,21,50,43.24806,31.715244,285.437196,3
30,25,50,49.014468,23.065632,285.437196,3
35,20,50,57.66408,28.83204,455.546232,3
35,20,50,54.619566,14.37357,214.968675,3
37,18,50,14.41602,20.182428,66.313692,2
39,11,50,271.021176,8.649612,807.29712,1
39,11,50,271.021176,8.649612,810.180324,1
37,12,50,103.795344,8.649612,311.386032,1
39,12,50,54.780876,8.649612,161.459424,1
37,28,50,20.182428,8.649612,54.780876,1
37,28,50,126.860976,8.649612,366.166908,1
40,11,50,271.021176,8.649612,804.413916,1
40,11,50,123.977772,8.649612,357.517296,1
44,6,50,40.364856,25.948836,294.086808,3
45,9,50,17.299224,20.182428,95.145732,2
50,55,50,158.57622,8.649612,472.845456,1
54,16,50,57.66408,28.83204,409.414968,3
56,38,50,57.66408,11.532816,170.109036,1
59,12,50,207.590688,8.649612,619.88886,1
59,11,50,57.66408,8.649612,149.926608,1
60,11,50,144.1602,8.649612,429.597396,1
61,30,50,66.313692,8.649612,184.525056,1
