[Wafer Information]
Wafer Number,25
Wafer ID,A45-Q337362-402
Job Name,X2L3QBJL_R_08_QB1
Model Name,EagleT
Lot Number,MOLT24101103-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/23/2024 06:25
End Time,01/23/2024 06:25
Inspection Time,0:00:24
Photo Time,0:07:27
Data Output Time,01/23/2024 08:22

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F13 Pad area damage
25,A45-Q337362-402,340,213,62.647059,127,150,149,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
1,32,50,25.948836,8.649612,66.313692,4
0,32,50,23.065632,8.649612,57.66408,4
3,32,50,23.065632,8.649612,60.547284,4
4,32,50,23.065632,8.649612,57.66408,4
2,32,50,23.065632,8.649612,57.66408,4
7,31,50,20.182428,8.649612,49.014468,4
6,32,50,25.948836,8.649612,63.430488,4
7,32,50,23.065632,8.649612,57.66408,4
8,32,50,23.065632,8.649612,57.66408,4
5,32,50,23.065632,8.649612,60.547284,4
10,32,50,25.948836,8.649612,60.547284,4
11,32,50,23.065632,8.649612,60.547284,4
9,32,50,25.948836,8.649612,69.196896,4
12,32,50,23.065632,8.649612,51.897672,4
15,32,50,23.065632,8.649612,60.547284,4
14,31,50,23.065632,8.649612,51.897672,4
16,32,50,23.065632,8.649612,51.897672,4
17,32,50,20.182428,8.649612,49.014468,4
19,32,50,23.065632,8.649612,54.780876,4
20,32,50,25.948836,8.649612,60.547284,4
27,31,50,8.649612,20.182428,46.131264,4
28,32,50,23.065632,8.649612,54.780876,4
29,32,50,25.948836,8.649612,72.0801,4
31,32,50,23.065632,8.649612,60.547284,4
30,32,50,23.065632,8.649612,54.780876,4
31,31,50,8.649612,17.299224,40.364856,4
32,31,50,8.649612,23.065632,54.780876,4
34,32,50,25.948836,8.649612,60.547284,4
32,32,50,23.065632,8.649612,57.66408,4
33,31,50,8.649612,20.182428,43.24806,4
35,32,50,25.948836,8.649612,57.66408,4
35,31,50,11.532816,23.065632,72.0801,4
36,31,50,8.649612,23.065632,63.430488,4
36,31,50,5.766408,20.182428,40.364856,4
39,32,50,20.182428,11.532816,63.430488,4
36,32,50,23.065632,8.649612,66.313692,4
37,32,50,23.065632,8.649612,60.547284,4
39,31,50,8.649612,23.065632,57.66408,4
40,31,50,8.649612,23.065632,57.66408,4
