[Wafer Information]
Wafer Number,21
Wafer ID,A69-Q337362-402
Job Name,X2L3QBJL_R_08_QB1
Model Name,EagleT
Lot Number,MOLT24101112-003
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/22/2024 09:45
End Time,01/22/2024 09:45
Inspection Time,0:00:25
Photo Time,0:01:26
Data Output Time,01/22/2024 10:07

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F13 Pad area damage
21,A69-Q337362-402,340,319,93.823529,21,24,24

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
10,32,50,8.649612,23.065632,57.66408,4
10,32,50,20.182428,8.649612,43.24806,4
12,32,50,8.649612,25.948836,63.430488,4
12,32,50,17.299224,5.766408,34.598448,4
13,32,50,8.649612,23.065632,57.66408,4
14,32,50,20.182428,8.649612,40.364856,4
14,32,50,8.649612,23.065632,60.547284,4
11,32,50,8.649612,20.182428,49.014468,4
16,32,50,8.649612,20.182428,49.014468,4
17,32,50,8.649612,23.065632,54.780876,4
49,34,50,23.065632,8.649612,51.897672,4
50,34,50,20.182428,8.649612,54.780876,4
50,21,50,20.182428,8.649612,46.131264,4
50,33,50,23.065632,8.649612,57.66408,4
49,22,50,23.065632,8.649612,54.780876,4
49,33,50,25.948836,8.649612,60.547284,4
49,37,50,23.065632,8.649612,54.780876,4
49,26,50,25.948836,8.649612,60.547284,4
50,26,50,25.948836,8.649612,66.313692,4
50,37,50,20.182428,8.649612,54.780876,4
49,30,50,25.948836,8.649612,51.897672,4
49,21,50,23.065632,8.649612,49.014468,4
50,25,50,20.182428,8.649612,49.014468,4
50,22,50,23.065632,8.649612,63.430488,4

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F13 Pad area damage
21,A69-Q337362-402,340,340,100,0,0,0

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
10,32,Pass,8.649612,23.065632,57.66408,4
10,32,Pass,20.182428,8.649612,43.24806,4
12,32,Pass,8.649612,25.948836,63.430488,4
12,32,Pass,17.299224,5.766408,34.598448,4
13,32,Pass,8.649612,23.065632,57.66408,4
14,32,Pass,20.182428,8.649612,40.364856,4
14,32,Pass,8.649612,23.065632,60.547284,4
11,32,Pass,8.649612,20.182428,49.014468,4
16,32,Pass,8.649612,20.182428,49.014468,4
17,32,Pass,8.649612,23.065632,54.780876,4
49,34,Pass,23.065632,8.649612,51.897672,4
50,34,Pass,20.182428,8.649612,54.780876,4
50,21,Pass,20.182428,8.649612,46.131264,4
50,33,Pass,23.065632,8.649612,57.66408,4
49,22,Pass,23.065632,8.649612,54.780876,4
49,33,Pass,25.948836,8.649612,60.547284,4
49,37,Pass,23.065632,8.649612,54.780876,4
49,26,Pass,25.948836,8.649612,60.547284,4
50,26,Pass,25.948836,8.649612,66.313692,4
50,37,Pass,20.182428,8.649612,54.780876,4
49,30,Pass,25.948836,8.649612,51.897672,4
49,21,Pass,23.065632,8.649612,49.014468,4
50,25,Pass,20.182428,8.649612,49.014468,4
50,22,Pass,23.065632,8.649612,63.430488,4

