[Wafer Information]
Wafer Number,7
Wafer ID,A10-Q337336-404
Job Name,X2L3QBJL_R_08_QB1
Model Name,EagleT
Lot Number,MOLT24101593-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/31/2024 05:57
End Time,01/31/2024 05:57
Inspection Time,0:00:25
Photo Time,0:00:55
Data Output Time,01/31/2024 06:14

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F13 Pad area damage
7,A10-Q337336-404,340,323,95,17,17,17

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
16,32,50,23.065632,8.649612,60.547284,4
18,32,50,20.182428,8.649612,40.364856,4
20,32,50,23.065632,8.649612,51.897672,4
21,32,50,20.182428,8.649612,49.014468,4
22,32,50,20.182428,8.649612,49.014468,4
25,32,50,20.182428,8.649612,54.780876,4
24,32,50,20.182428,8.649612,43.24806,4
26,32,50,20.182428,8.649612,46.131264,4
28,32,50,20.182428,8.649612,43.24806,4
27,32,50,20.182428,8.649612,46.131264,4
29,32,50,17.299224,8.649612,37.481652,4
31,32,50,20.182428,8.649612,46.131264,4
32,32,50,23.065632,8.649612,49.014468,4
33,32,50,17.299224,8.649612,37.481652,4
34,32,50,17.299224,8.649612,40.364856,4
36,32,50,23.065632,8.649612,51.897672,4
50,29,50,23.065632,8.649612,54.780876,4

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F13 Pad area damage
7,A10-Q337336-404,340,340,100,0,0,0

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
16,32,Pass,23.065632,8.649612,60.547284,4
18,32,Pass,20.182428,8.649612,40.364856,4
20,32,Pass,23.065632,8.649612,51.897672,4
21,32,Pass,20.182428,8.649612,49.014468,4
22,32,Pass,20.182428,8.649612,49.014468,4
25,32,Pass,20.182428,8.649612,54.780876,4
24,32,Pass,20.182428,8.649612,43.24806,4
26,32,Pass,20.182428,8.649612,46.131264,4
28,32,Pass,20.182428,8.649612,43.24806,4
27,32,Pass,20.182428,8.649612,46.131264,4
29,32,Pass,17.299224,8.649612,37.481652,4
31,32,Pass,20.182428,8.649612,46.131264,4
32,32,Pass,23.065632,8.649612,49.014468,4
33,32,Pass,17.299224,8.649612,37.481652,4
34,32,Pass,17.299224,8.649612,40.364856,4
36,32,Pass,23.065632,8.649612,51.897672,4
50,29,Pass,23.065632,8.649612,54.780876,4

