[Wafer Information]
Wafer Number,13
Wafer ID,Q334273-06F2
Job Name,X2L3QBJL_S_12_05
Model Name,EagleT
Lot Number,0120
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/20/2024 10:38
End Time,01/20/2024 10:44
Inspection Time,0:06:17
Photo Time,0:14:48
Data Output Time,01/20/2024 06:25

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F13 Pad area damage,F06 Incoming others,F82 Top side chipping no damage sensor area
13,Q334273-06F2,18024,17753,98.496449,271,331,329,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
12,63,50,72.0801,28.83204,493.027884,3
12,76,50,63.430488,25.948836,394.998948,3
15,85,50,49.014468,20.182428,305.619624,3
18,50,50,43.24806,23.065632,250.838748,3
18,90,50,54.780876,20.182428,334.451664,3
24,91,50,8.649612,57.66408,147.043404,1
26,99,50,8.649612,83.612916,236.422728,1
25,89,50,46.131264,23.065632,299.853216,3
24,58,50,8.649612,49.014468,132.627384,1
24,48,50,8.649612,152.809812,435.363804,1
24,47,50,8.649612,46.131264,121.094568,1
24,69,50,8.649612,46.131264,126.860976,1
26,66,50,8.649612,83.612916,242.189136,1
27,91,50,43.24806,20.182428,247.955544,3
26,44,50,8.649612,83.612916,224.889912,1
26,33,50,8.649612,83.612916,239.305932,1
26,88,50,8.649612,83.612916,219.123504,1
26,77,50,8.649612,83.612916,227.773116,1
31,32,50,37.481652,8.649612,103.795344,1
29,59,50,268.137972,8.649612,746.749836,1
29,59,50,37.481652,8.649612,106.678548,1
33,47,50,49.014468,43.24806,478.611864,3
33,47,50,57.52824,51.775416,697.321548,3
46,91,50,8.649612,49.014468,126.860976,1
46,36,50,8.649612,49.014468,126.860976,1
48,110,50,8.649612,80.729712,233.539524,1
52,26,50,11.532816,5.766408,23.065632,1
50,31,50,80.729712,8.649612,210.473892,1
52,76,50,54.780876,8.649612,155.693016,1
52,98,50,54.780876,8.649612,161.459424,1
52,87,50,80.729712,8.649612,210.473892,1
55,110,50,46.131264,20.182428,259.48836,3
58,26,50,49.014468,25.948836,328.685256,3
59,21,50,14.41602,20.182428,72.0801,2
59,21,50,43.24806,20.182428,239.305932,3
60,49,50,17.299224,20.182428,83.612916,2
62,113,50,20.182428,20.182428,100.91214,2
64,79,50,14.41602,20.182428,74.963304,2
68,80,50,8.649612,46.131264,129.74418,1
68,60,50,11.532816,100.91214,285.437196,1
68,47,50,8.649612,46.131264,126.860976,1
68,49,50,8.649612,49.014468,126.860976,1
68,14,50,8.649612,49.014468,129.74418,1
68,36,50,8.649612,49.014468,132.627384,1
68,78,50,49.014468,25.948836,369.050112,3
70,77,50,8.649612,80.729712,213.357096,1
70,33,50,8.649612,80.729712,224.889912,1
70,11,50,8.649612,80.729712,239.305932,1
70,22,50,8.649612,86.49612,239.305932,1
73,92,50,28.83204,8.649612,72.0801,1
75,38,50,17.299224,20.182428,86.49612,2
75,9,50,43.24806,28.83204,308.502828,3
75,43,50,80.729712,8.649612,213.357096,1
75,32,50,80.729712,8.649612,216.2403,1
77,114,50,17.299224,20.182428,92.262528,2
78,115,50,28.83204,8.649612,77.846508,1
85,11,50,51.897672,23.065632,302.73642,3
88,54,50,17.299224,20.182428,92.262528,2
88,11,50,49.014468,23.065632,305.619624,3
90,92,50,8.649612,152.809812,446.89662,1
90,87,50,14.41602,20.182428,74.963304,2
90,102,50,8.649612,49.014468,129.74418,1
90,114,50,8.649612,152.809812,452.663028,1
90,36,50,8.649612,54.780876,138.393792,1
90,25,50,8.649612,49.014468,121.094568,1
90,15,50,8.649612,152.809812,444.013416,1
92,66,50,8.649612,80.729712,219.123504,1
94,15,50,103.795344,11.532816,406.531764,1
94,4,50,31.715244,11.532816,92.262528,1
94,4,50,66.313692,8.649612,184.525056,1
97,65,50,23.065632,8.649612,63.430488,1
97,65,50,63.430488,8.649612,181.641852,1
97,65,50,80.729712,8.649612,239.305932,1
97,65,50,77.846508,8.649612,224.889912,1
97,65,50,63.430488,8.649612,178.758648,1
97,65,50,80.729712,8.649612,219.123504,1
97,87,50,77.846508,8.649612,213.357096,1
