[Wafer Information]
Wafer Number,9
Wafer ID,Q334273-23E4
Job Name,X2L3QBJL_S_12_05
Model Name,EagleT
Lot Number,0120
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/20/2024 11:06
End Time,01/20/2024 11:12
Inspection Time,0:06:43
Photo Time,0:11:01
Data Output Time,01/20/2024 02:13

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling,F82 Top side chipping no damage sensor area
9,Q334273-23E4,19405,19136,98.613759,269,313,313

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,49,50,72.0801,31.715244,573.757596,3
6,70,50,172.99224,11.532816,498.794292,1
6,70,50,121.094568,11.532816,369.050112,1
6,70,50,20.134884,20.134884,71.7409,1
8,52,50,49.014468,25.948836,311.386032,3
9,74,50,43.24806,20.182428,256.605156,3
10,79,50,11.532816,23.065632,77.846508,2
11,50,50,11.532816,20.182428,69.196896,2
11,88,50,63.430488,25.948836,409.414968,3
19,62,50,60.547284,25.948836,403.64856,3
24,80,50,8.649612,49.014468,126.860976,1
24,58,50,8.649612,51.897672,126.860976,1
24,47,50,8.649612,49.014468,123.977772,1
26,93,50,17.299224,20.182428,95.145732,2
26,88,50,8.649612,25.948836,66.313692,1
25,32,50,8.649612,28.83204,66.313692,1
25,32,50,28.76412,31.640532,206.613792,1
26,55,50,8.649612,83.612916,242.189136,1
26,33,50,8.649612,80.729712,216.2403,1
28,86,50,80.729712,8.649612,236.422728,1
28,86,50,80.729712,8.649612,239.305932,1
28,97,50,80.729712,8.649612,224.889912,1
28,97,50,80.729712,8.649612,210.473892,1
28,75,50,80.729712,8.649612,236.422728,1
28,75,50,80.729712,8.649612,239.305932,1
28,75,50,77.846508,8.649612,224.889912,1
28,53,50,77.846508,8.649612,224.889912,1
28,42,50,80.729712,8.649612,219.123504,1
28,42,50,80.729712,8.649612,216.2403,1
29,59,50,57.66408,8.649612,161.459424,1
29,37,50,57.66408,8.649612,149.926608,1
32,60,50,60.547284,28.83204,397.882152,3
32,60,50,66.157476,37.393356,594.014652,3
33,81,50,17.299224,17.299224,89.379324,2
36,99,50,66.313692,20.182428,377.699724,3
38,29,50,46.131264,25.948836,299.853216,3
38,27,50,43.24806,20.182428,236.422728,3
39,35,50,40.364856,25.948836,273.90438,3
38,89,50,43.24806,20.182428,242.189136,3
42,48,50,51.897672,25.948836,348.867684,3
43,26,50,43.24806,25.948836,294.086808,3
43,71,50,17.299224,20.182428,89.379324,2
44,29,50,43.24806,25.948836,273.90438,3
46,47,50,8.649612,46.131264,123.977772,1
46,48,50,8.649612,95.145732,265.254768,1
46,83,50,51.897672,25.948836,331.56846,3
46,81,50,8.649612,149.926608,423.830988,1
46,14,50,8.649612,49.014468,126.860976,1
47,68,50,69.196896,23.065632,444.013416,3
48,99,50,8.649612,83.612916,224.889912,1
48,88,50,8.649612,80.729712,222.006708,1
48,44,50,8.649612,83.612916,239.305932,1
51,15,50,11.532816,8.649612,34.598448,1
49,99,50,46.131264,23.065632,276.787584,3
51,69,50,8.649612,46.131264,121.094568,1
51,69,50,28.76412,63.281064,396.009768,1
51,48,50,126.860976,8.649612,340.218072,1
51,92,50,268.137972,8.649612,743.866632,1
50,103,50,43.24806,20.182428,253.721952,3
52,37,50,11.532816,5.766408,23.065632,1
52,24,50,49.014468,23.065632,288.3204,3
52,32,50,23.065632,8.649612,66.313692,1
54,50,50,51.897672,25.948836,337.334868,3
54,64,50,54.780876,23.065632,325.802052,3
55,73,50,43.24806,20.182428,256.605156,3
57,89,50,31.715244,34.598448,236.422728,3
60,109,50,34.598448,46.131264,366.166908,3
60,109,50,43.14618,51.775416,522.273752,3
59,92,50,46.131264,23.065632,328.685256,3
61,15,50,43.24806,25.948836,296.970012,3
64,22,50,49.014468,25.948836,322.918848,3
66,9,50,40.364856,25.948836,233.539524,3
66,117,50,57.66408,23.065632,302.73642,1
66,117,50,63.281064,14.38206,281.224328,1
66,117,50,60.404652,28.76412,370.183044,1
65,112,50,46.131264,34.598448,354.634092,3
68,102,50,8.649612,46.131264,121.094568,1
68,91,50,8.649612,46.131264,115.32816,1
68,80,50,8.649612,46.131264,118.211364,1
68,36,50,8.649612,46.131264,126.860976,1
68,47,50,8.649612,46.131264,115.32816,1
68,14,50,8.649612,46.131264,118.211364,1
70,77,50,8.649612,83.612916,236.422728,1
69,86,50,46.131264,20.182428,256.605156,3
71,103,50,43.24806,28.83204,325.802052,3
72,108,50,80.729712,8.649612,210.473892,1
72,75,50,77.846508,8.649612,227.773116,1
72,75,50,77.846508,8.649612,233.539524,1
72,116,50,98.028936,8.649612,247.955544,1
75,101,50,51.897672,20.182428,285.437196,3
74,98,50,57.66408,8.649612,167.225832,1
76,101,50,37.481652,31.715244,259.48836,3
76,103,50,46.131264,23.065632,294.086808,3
79,110,50,17.299224,20.182428,83.612916,2
82,99,50,49.014468,23.065632,288.3204,3
85,25,50,66.313692,25.948836,441.130212,3
90,102,50,8.649612,49.014468,129.74418,1
92,77,50,8.649612,83.612916,224.889912,1
92,73,50,8.649612,31.715244,69.196896,1
92,73,50,28.76412,46.022592,241.049424,1
90,69,50,8.649612,46.131264,121.094568,1
92,88,50,8.649612,83.612916,239.305932,1
90,81,50,8.649612,149.926608,444.013416,1
90,80,50,8.649612,49.014468,126.860976,1
91,86,50,46.131264,23.065632,302.73642,3
90,47,50,8.649612,51.897672,132.627384,1
90,58,50,8.649612,49.014468,126.860976,1
90,15,50,8.649612,149.926608,406.531764,1
90,14,50,8.649612,49.014468,121.094568,1
92,22,50,8.649612,83.612916,239.305932,1
92,33,50,8.649612,83.612916,236.422728,1
92,44,50,8.649612,83.612916,233.539524,1
94,64,50,80.729712,8.649612,219.123504,1
94,64,50,80.729712,8.649612,227.773116,1
96,79,50,40.364856,31.715244,357.517296,3
95,37,50,268.137972,8.649612,712.151388,1
95,37,50,46.131264,8.649612,126.860976,1
96,65,50,57.66408,8.649612,161.459424,1
95,92,50,43.24806,11.532816,123.977772,1
97,54,50,28.83204,8.649612,77.846508,1
97,54,50,37.481652,11.532816,115.32816,1
97,54,50,80.729712,11.532816,253.721952,1
97,87,50,17.299224,8.649612,46.131264,1
102,36,50,20.182428,25.948836,123.977772,2
102,3,50,17.299224,20.182428,86.49612,2
112,4,50,8.649612,149.926608,429.597396,1
112,3,50,8.649612,34.598448,89.379324,1
112,5,50,11.532816,152.809812,585.290412,1
112,80,50,8.649612,49.014468,129.74418,1
112,25,50,8.649612,49.014468,123.977772,1
112,15,50,8.649612,149.926608,429.597396,1
112,14,50,8.649612,49.014468,121.094568,1
112,98,50,49.014468,28.83204,354.634092,3
112,114,50,8.649612,147.043404,429.597396,1
114,66,50,11.532816,63.430488,193.174668,1
114,44,50,8.649612,83.612916,236.422728,1
114,77,50,8.649612,83.612916,236.422728,1
117,103,50,268.137972,8.649612,758.282652,1
117,103,50,268.137972,8.649612,761.165856,1
117,103,50,46.131264,8.649612,123.977772,1
117,70,50,268.137972,8.649612,761.165856,1
118,54,50,74.963304,11.532816,247.955544,1
118,43,50,54.780876,8.649612,158.57622,1
118,32,50,54.780876,8.649612,158.57622,1
118,65,50,46.131264,11.532816,181.641852,1
119,87,50,112.444956,8.649612,325.802052,1
119,87,50,77.846508,8.649612,213.357096,1
123,110,50,49.014468,31.715244,386.349336,3
124,10,50,17.299224,20.182428,80.729712,2
130,104,50,66.313692,25.948836,449.779824,3
130,49,50,8.649612,51.897672,121.094568,1
130,49,50,14.38206,69.033888,215.2227,1
130,49,50,23.011296,66.157476,338.617048,1
132,74,50,17.299224,20.182428,83.612916,2
132,106,50,20.182428,20.182428,103.795344,2
133,110,50,63.430488,20.182428,371.933316,3
134,80,50,8.649612,49.014468,132.627384,1
134,80,50,8.649612,11.532816,28.83204,1
134,113,50,8.649612,49.014468,123.977772,1
134,102,50,8.649612,40.364856,118.211364,1
136,33,50,8.649612,83.612916,227.773116,1
137,72,50,46.131264,20.182428,276.787584,3
138,64,50,77.846508,8.649612,210.473892,1
138,64,50,20.182428,8.649612,54.780876,1
138,64,50,80.729712,8.649612,236.422728,1
138,64,50,77.846508,8.649612,224.889912,1
136,11,50,8.649612,83.612916,242.189136,1
140,59,50,37.481652,8.649612,92.262528,1
140,92,50,43.24806,8.649612,121.094568,1
138,97,50,80.729712,8.649612,224.889912,1
138,108,50,77.846508,8.649612,233.539524,1
140,8,50,31.715244,28.83204,222.006708,2
142,39,50,17.299224,17.299224,92.262528,2
144,82,50,28.83204,8.649612,72.0801,1
147,30,50,51.897672,25.948836,334.451664,3
146,67,50,106.678548,25.948836,691.96896,3
150,31,50,57.66408,25.948836,383.466132,3
153,98,50,43.24806,20.182428,253.721952,3
152,20,50,60.547284,28.83204,409.414968,3
156,81,50,8.649612,152.809812,449.779824,1
156,113,50,8.649612,49.014468,121.094568,1
156,14,50,8.649612,51.897672,138.393792,1
156,14,50,8.649612,11.532816,28.83204,1
156,25,50,8.649612,49.014468,132.627384,1
156,36,50,8.649612,49.014468,121.094568,1
159,44,50,43.24806,25.948836,299.853216,3
158,44,50,8.649612,80.729712,230.65632,1
158,33,50,8.649612,83.612916,233.539524,1
158,22,50,8.649612,83.612916,224.889912,1
158,77,50,8.649612,83.612916,224.889912,1
160,108,50,80.729712,8.649612,227.773116,1
160,102,50,49.014468,20.182428,296.970012,3
160,86,50,80.729712,8.649612,204.707484,1
160,64,50,80.729712,8.649612,236.422728,1
160,64,50,80.729712,8.649612,236.422728,1
160,13,50,43.24806,31.715244,345.98448,3
163,54,50,164.342628,8.649612,438.247008,1
163,54,50,77.846508,11.532816,311.386032,1
163,54,50,164.342628,11.532816,605.47284,1
163,54,50,80.729712,11.532816,259.48836,1
163,54,50,80.729712,11.532816,294.086808,1
161,75,50,66.313692,23.065632,400.765356,3
164,60,50,80.729712,20.182428,478.611864,3
165,83,50,51.897672,25.948836,331.56846,3
166,78,50,43.24806,20.182428,236.422728,3
168,98,50,49.014468,20.182428,276.787584,3
172,78,50,57.66408,20.182428,334.451664,3
174,25,50,43.24806,25.948836,294.086808,3
178,36,50,8.649612,49.014468,129.74418,1
178,25,50,8.649612,51.897672,135.510588,1
177,95,50,74.963304,20.182428,438.247008,3
178,69,50,8.649612,51.897672,129.74418,1
178,91,50,49.014468,25.948836,305.619624,3
179,76,50,40.364856,20.182428,259.48836,3
180,33,50,8.649612,80.729712,233.539524,1
179,32,50,63.430488,28.83204,475.72866,3
180,77,50,8.649612,86.49612,239.305932,1
180,66,50,8.649612,80.729712,230.65632,1
180,44,50,8.649612,83.612916,230.65632,1
182,28,50,31.715244,8.649612,95.145732,1
182,31,50,80.729712,8.649612,222.006708,1
185,27,50,14.41602,20.182428,80.729712,2
190,51,50,25.948836,8.649612,51.897672,1
190,51,50,23.011296,20.134884,114.78544,1
195,78,50,49.014468,20.182428,317.15244,3
200,80,50,8.649612,49.014468,129.74418,1
202,66,50,8.649612,80.729712,242.189136,1
14,65,50,25.887708,54.651828,289.833236,3
18,60,50,60.404652,14.38206,278.354692,1
18,60,50,51.775416,14.38206,177.917432,1
34,99,50,23.011296,69.033888,330.00814,3
66,118,50,71.9103,40.269768,648.537736,3
66,118,50,51.775416,17.258472,266.876148,1
66,118,50,37.393356,28.76412,307.051052,1
74,9,50,11.505648,60.404652,212.353064,3
149,107,50,54.651828,46.022592,447.663216,3
153,16,50,71.9103,28.76412,332.877776,3
169,95,50,31.640532,54.651828,350.095592,3
190,75,50,37.393356,57.52824,350.095592,3
197,43,50,51.775416,11.505648,129.13362,63
4,75,50,5.752824,11.505648,20.087452,1
7,71,50,8.629236,14.38206,28.69636,1
7,78,50,14.38206,8.629236,34.435632,1
21,29,50,28.76412,54.651828,470.620304,1
27,28,50,11.505648,8.629236,25.826724,1
28,51,50,8.629236,5.752824,14.34818,1
28,104,50,14.38206,5.752824,25.826724,1
30,38,50,5.752824,11.505648,17.217816,1
35,32,50,11.505648,43.14618,129.13362,1
39,98,50,40.269768,14.38206,106.176532,1
47,44,50,20.134884,5.752824,31.565996,1
48,43,50,11.505648,5.752824,22.957088,1
50,48,50,8.629236,8.629236,20.087452,1
52,115,50,5.752824,8.629236,11.478544,1
53,106,50,17.258472,5.752824,31.565996,1
52,42,50,8.629236,2.876412,8.608908,1
57,117,50,5.752824,11.505648,20.087452,1
68,17,50,2.876412,8.629236,8.608908,1
68,17,50,11.505648,51.775416,143.4818,1
74,104,50,5.752824,8.629236,17.217816,1
76,6,50,2.876412,11.505648,11.478544,1
79,69,50,8.629236,11.505648,25.826724,1
80,106,50,11.505648,14.38206,45.914176,1
84,44,50,11.505648,2.876412,11.478544,1
91,124,50,11.505648,5.752824,22.957088,1
91,44,50,8.629236,5.752824,14.34818,1
94,59,50,8.629236,2.876412,8.608908,1
95,27,50,8.629236,8.629236,17.217816,1
97,7,50,11.505648,2.876412,11.478544,1
97,62,50,11.505648,5.752824,17.217816,1
99,117,50,8.629236,8.629236,20.087452,1
106,41,50,2.876412,14.38206,14.34818,1
106,36,50,5.752824,14.38206,20.087452,1
112,63,50,2.876412,31.640532,31.565996,1
112,63,50,2.876412,28.76412,28.69636,1
111,27,50,8.629236,2.876412,8.608908,1
112,52,50,5.752824,11.505648,17.217816,1
118,82,50,5.752824,8.629236,14.34818,1
118,81,50,14.38206,5.752824,20.087452,1
133,122,50,8.629236,17.258472,40.174904,1
135,24,50,8.629236,103.550832,264.006512,1
135,24,50,8.629236,20.134884,45.914176,1
136,42,50,20.134884,5.752824,31.565996,1
140,104,50,5.752824,8.629236,14.34818,1
140,93,50,5.752824,8.629236,17.217816,1
140,38,50,5.752824,8.629236,14.34818,1
140,71,50,8.629236,11.505648,22.957088,1
140,60,50,5.752824,8.629236,17.217816,1
152,107,50,8.629236,2.876412,8.608908,1
156,19,50,2.876412,25.887708,25.826724,1
156,19,50,2.876412,8.629236,8.608908,1
156,52,50,5.752824,43.14618,45.914176,1
156,52,50,5.752824,11.505648,14.34818,1
157,101,50,2.876412,14.38206,14.34818,1
160,82,50,5.752824,8.629236,14.34818,1
160,59,50,8.629236,8.629236,20.087452,1
162,93,50,5.752824,8.629236,17.217816,1
163,98,50,48.899004,5.752824,51.653448,1
168,96,50,20.134884,5.752824,22.957088,1
170,28,50,5.752824,8.629236,14.34818,1
177,102,50,2.876412,25.887708,25.826724,1
178,94,50,5.752824,17.258472,22.957088,1
184,49,50,5.752824,8.629236,17.217816,1
184,38,50,11.505648,8.629236,17.217816,1
185,51,50,11.505648,2.876412,11.478544,1
194,78,50,5.752824,11.505648,17.217816,1
193,52,50,5.752824,11.505648,14.34818,1
196,73,50,8.629236,8.629236,25.826724,1
196,73,50,5.752824,8.629236,11.478544,1
201,43,50,8.629236,2.876412,8.608908,1
205,48,50,14.38206,8.629236,25.826724,1
206,71,50,5.752824,8.629236,17.217816,1
204,60,50,17.258472,8.629236,28.69636,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling,F82 Top side chipping no damage sensor area
9,Q334273-23E4,19405,19306,99.489822,99,100,62,13,23,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,49,50,72.0801,31.715244,573.757596,3
6,70,Pass,172.99224,11.532816,498.794292,1
6,70,Pass,121.094568,11.532816,369.050112,1
6,70,Pass,20.134884,20.134884,71.7409,1
8,52,50,49.014468,25.948836,311.386032,3
9,74,50,43.24806,20.182428,256.605156,3
10,79,50,11.532816,23.065632,77.846508,2
11,50,50,11.532816,20.182428,69.196896,2
11,88,50,63.430488,25.948836,409.414968,3
19,62,50,60.547284,25.948836,403.64856,3
24,80,Pass,8.649612,49.014468,126.860976,1
24,58,Pass,8.649612,51.897672,126.860976,1
24,47,Pass,8.649612,49.014468,123.977772,1
26,93,50,17.299224,20.182428,95.145732,2
26,88,Pass,8.649612,25.948836,66.313692,1
25,32,Pass,8.649612,28.83204,66.313692,1
25,32,Pass,28.76412,31.640532,206.613792,1
26,55,Pass,8.649612,83.612916,242.189136,1
26,33,Pass,8.649612,80.729712,216.2403,1
28,86,Pass,80.729712,8.649612,236.422728,1
28,86,Pass,80.729712,8.649612,239.305932,1
28,97,Pass,80.729712,8.649612,224.889912,1
28,97,Pass,80.729712,8.649612,210.473892,1
28,75,Pass,80.729712,8.649612,236.422728,1
28,75,Pass,80.729712,8.649612,239.305932,1
28,75,Pass,77.846508,8.649612,224.889912,1
28,53,Pass,77.846508,8.649612,224.889912,1
28,42,Pass,80.729712,8.649612,219.123504,1
28,42,Pass,80.729712,8.649612,216.2403,1
29,59,Pass,57.66408,8.649612,161.459424,1
29,37,Pass,57.66408,8.649612,149.926608,1
32,60,Pass,60.547284,28.83204,397.882152,3
32,60,Pass,66.157476,37.393356,594.014652,3
33,81,50,17.299224,17.299224,89.379324,2
36,99,50,66.313692,20.182428,377.699724,3
38,29,50,46.131264,25.948836,299.853216,3
38,27,50,43.24806,20.182428,236.422728,3
39,35,50,40.364856,25.948836,273.90438,3
38,89,50,43.24806,20.182428,242.189136,3
42,48,50,51.897672,25.948836,348.867684,3
43,26,50,43.24806,25.948836,294.086808,3
43,71,50,17.299224,20.182428,89.379324,2
44,29,50,43.24806,25.948836,273.90438,3
46,47,Pass,8.649612,46.131264,123.977772,1
46,48,Pass,8.649612,95.145732,265.254768,1
46,83,50,51.897672,25.948836,331.56846,3
46,81,Pass,8.649612,149.926608,423.830988,1
