[Wafer Information]
Wafer Number,23
Wafer ID,A97
Job Name,X2L3QBJL_R_08_05_F19
Model Name,EagleT
Lot Number,15_W3_L5
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/28/2024 03:52
End Time,01/28/2024 03:53
Inspection Time,0:01:06
Photo Time,0:11:06
Data Output Time,01/29/2024 11:33

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F19 Rubber Tip,F13 Pad area damage
23,A97,5517,5348,96.936741,169,188,186,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,42,50,17.299224,8.649612,51.897672,63
2,26,50,51.897672,8.649612,155.693016,63
3,29,50,17.299224,17.299224,60.547284,63
5,19,50,17.299224,17.299224,63.430488,63
6,48,50,17.299224,14.41602,66.313692,63
7,44,50,25.948836,23.065632,149.926608,63
9,19,50,11.532816,14.41602,46.131264,63
9,50,50,34.598448,17.299224,126.860976,63
9,50,50,28.83204,17.299224,109.561752,63
10,52,50,34.598448,34.598448,282.553992,63
10,20,50,8.649612,8.649612,25.948836,63
12,32,50,20.182428,14.41602,77.846508,63
12,47,50,11.532816,14.41602,46.131264,63
15,50,50,14.41602,11.532816,51.897672,63
14,32,50,34.598448,8.649612,103.795344,63
15,23,50,49.014468,37.481652,268.137972,63
16,43,50,8.649612,8.649612,25.948836,63
18,20,50,17.299224,14.41602,63.430488,63
18,59,50,25.948836,17.299224,106.678548,63
20,31,50,17.299224,14.41602,77.846508,63
19,27,50,49.014468,8.649612,147.043404,63
23,7,50,8.649612,8.649612,25.948836,63
23,7,50,23.065632,11.532816,83.612916,63
24,34,50,31.715244,17.299224,118.211364,63
24,62,50,126.860976,11.532816,426.714192,63
24,48,50,25.948836,11.532816,89.379324,63
25,58,50,60.547284,40.364856,567.991188,63
26,58,50,66.313692,43.24806,683.319348,63
25,23,50,14.41602,11.532816,46.131264,63
25,25,50,14.41602,14.41602,60.547284,63
27,39,50,11.532816,11.532816,46.131264,63
29,50,50,8.649612,8.649612,25.948836,63
29,41,50,23.065632,14.41602,83.612916,63
28,40,50,14.41602,17.299224,54.780876,63
31,18,50,60.547284,49.014468,406.531764,63
32,46,50,20.182428,14.41602,77.846508,63
32,49,50,25.948836,14.41602,83.612916,63
33,2,50,20.182428,14.41602,74.963304,63
33,45,50,8.649612,8.649612,25.948836,63
33,62,50,20.182428,17.299224,98.028936,63
33,62,50,20.182428,14.41602,72.0801,63
33,44,50,11.532816,14.41602,43.24806,63
34,61,50,14.41602,11.532816,49.014468,63
35,21,50,23.065632,11.532816,77.846508,63
35,2,50,20.182428,11.532816,66.313692,63
35,1,50,25.948836,17.299224,98.028936,63
35,1,50,11.532816,11.532816,37.481652,63
35,63,50,8.649612,8.649612,25.948836,63
36,45,50,14.41602,8.649612,43.24806,63
