[Wafer Information]
Wafer Number,21
Wafer ID,A56-Q330839-350
Job Name,X2L3QBKL_R_08_05
Model Name,EagleT
Lot Number,23C01135-001Q
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/16/2024 11:56
End Time,01/16/2024 11:59
Inspection Time,0:03:24
Photo Time,0:12:26
Data Output Time,01/17/2024 05:33

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling,F99 Others
21,A56-Q330839-350,5518,5440,98.586444,78,94,20,3,70,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
8,33,50,40.364856,25.948836,256.605156,3
39,65,50,43.24806,23.065632,296.970012,3
40,60,50,51.897672,23.065632,328.685256,3
40,60,50,57.49428,14.37357,229.29992,3
52,64,50,17.299224,20.182428,89.379324,2
56,23,50,17.299224,20.182428,80.729712,2
58,56,50,43.24806,23.065632,256.605156,3
73,57,50,46.131264,46.131264,357.517296,3
80,38,50,17.299224,20.182428,83.612916,2
85,58,50,46.131264,20.182428,271.021176,3
1,40,50,25.872426,57.49428,352.548627,3
27,6,50,60.368994,20.122998,226.433671,3
31,6,50,51.744852,17.248284,143.31245,3
41,66,50,57.49428,14.37357,203.503679,3
47,0,50,60.368994,11.498856,149.044948,3
49,0,50,89.116134,11.498856,292.357398,3
62,20,50,57.49428,8.624142,140.446201,3
64,56,50,54.619566,11.498856,143.31245,3
65,59,50,45.995424,40.245996,381.211117,3
70,2,50,74.742564,14.37357,246.497414,3
75,58,50,51.744852,17.248284,209.236177,3
83,7,50,63.243708,11.498856,163.376193,3
90,56,50,68.993136,11.498856,174.841189,3
1,31,50,8.624142,2.874714,8.598747,1
5,40,50,8.624142,2.874714,8.598747,1
5,30,50,20.122998,8.624142,54.458731,1
8,34,50,8.624142,2.874714,8.598747,1
11,28,50,5.749428,25.872426,37.261237,1
14,37,50,5.749428,11.498856,20.063743,1
13,35,50,14.37357,2.874714,14.331245,1
14,29,50,22.997712,2.874714,22.929992,1
22,32,50,2.874714,8.624142,8.598747,1
25,17,50,22.997712,2.874714,22.929992,1
26,40,50,25.872426,2.874714,25.796241,1
25,36,50,11.498856,2.874714,11.464996,1
26,36,50,8.624142,2.874714,8.598747,1
26,48,50,2.874714,11.498856,11.464996,1
26,48,50,2.874714,8.624142,8.598747,1
28,8,50,5.749428,40.245996,68.789976,1
28,8,50,5.749428,11.498856,20.063743,1
28,8,50,5.749428,11.498856,17.197494,1
32,47,50,8.624142,8.624142,17.197494,1
44,9,50,8.624142,5.749428,17.197494,1
44,9,50,2.874714,8.624142,8.598747,1
44,54,50,14.37357,5.749428,25.796241,1
45,17,50,17.248284,2.874714,17.197494,1
48,52,50,8.624142,2.874714,8.598747,1
50,51,50,14.37357,2.874714,14.331245,1
50,35,50,5.749428,14.37357,20.063743,1
50,35,50,8.624142,11.498856,28.66249,1
51,65,50,11.498856,2.874714,11.464996,1
51,65,50,11.498856,5.749428,17.197494,1
54,14,50,8.624142,2.874714,8.598747,1
54,14,50,37.371282,2.874714,37.261237,1
54,14,50,8.624142,2.874714,8.598747,1
54,52,50,11.498856,2.874714,11.464996,1
55,34,50,20.122998,11.498856,60.191229,1
56,15,50,2230.778064,2587.2426,73261.32444,1
57,15,50,1132.637316,2587.2426,36802.63716,1
56,14,50,2227.90335,1540.846704,52366.36923,1
57,14,50,1129.762602,1540.846704,26340.82831,1
60,21,50,8.624142,5.749428,17.197494,1
64,34,50,20.122998,2.874714,20.063743,1
65,26,50,11.498856,2.874714,11.464996,1
67,65,50,20.122998,2.874714,20.063743,1
66,9,50,2.874714,31.621854,31.528739,1
66,9,50,8.624142,2.874714,8.598747,1
65,11,50,2.874714,11.498856,11.464996,1
68,57,50,45.995424,11.498856,140.446201,1
68,30,50,14.37357,11.498856,45.859984,1
70,42,50,11.498856,2.874714,11.464996,1
70,47,50,2.874714,8.624142,8.598747,1
71,6,50,2.874714,17.248284,17.197494,1
71,28,50,2.874714,8.624142,8.598747,1
73,35,50,20.122998,2.874714,20.063743,1
81,53,50,2.874714,20.122998,20.063743,1
81,53,50,2.874714,20.122998,20.063743,1
81,53,50,8.624142,8.624142,17.197494,1
80,34,50,5.749428,8.624142,11.464996,1
81,54,50,11.498856,2.874714,11.464996,1
85,45,50,8.624142,2.874714,8.598747,1
85,45,50,8.624142,2.874714,8.598747,1
85,45,50,11.498856,2.874714,11.464996,1
85,45,50,14.37357,2.874714,14.331245,1
84,35,50,28.74714,2.874714,28.66249,1
84,35,50,8.624142,2.874714,8.598747,1
87,50,50,14.37357,2.874714,14.331245,1
89,45,50,20.122998,2.874714,20.063743,1
90,33,50,51.744852,5.749428,65.923727,1
91,50,50,2.874714,25.872426,25.796241,1
93,15,50,8.624142,8.624142,20.063743,1
96,33,50,17.248284,2.874714,17.197494,1
96,49,50,8.624142,2.874714,8.598747,1
100,34,50,5.749428,8.624142,14.331245,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling,F99 Others
21,A56-Q330839-350,5518,5486,99.42008,32,36,20,1,14,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
8,33,50,40.364856,25.948836,256.605156,3
39,65,50,43.24806,23.065632,296.970012,3
40,60,50,51.897672,23.065632,328.685256,3
40,60,50,57.49428,14.37357,229.29992,3
52,64,Pass,17.299224,20.182428,89.379324,2
56,23,Pass,17.299224,20.182428,80.729712,2
58,56,50,43.24806,23.065632,256.605156,3
73,57,50,46.131264,46.131264,357.517296,3
80,38,50,17.299224,20.182428,83.612916,2
85,58,50,46.131264,20.182428,271.021176,3
1,40,50,25.872426,57.49428,352.548627,3
27,6,50,60.368994,20.122998,226.433671,3
31,6,50,51.744852,17.248284,143.31245,3
41,66,50,57.49428,14.37357,203.503679,3
47,0,50,60.368994,11.498856,149.044948,3
49,0,50,89.116134,11.498856,292.357398,3
62,20,50,57.49428,8.624142,140.446201,3
64,56,50,54.619566,11.498856,143.31245,3
65,59,50,45.995424,40.245996,381.211117,3
70,2,50,74.742564,14.37357,246.497414,3
75,58,50,51.744852,17.248284,209.236177,3
83,7,50,63.243708,11.498856,163.376193,3
90,56,50,68.993136,11.498856,174.841189,3
1,31,Pass,8.624142,2.874714,8.598747,1
5,40,Pass,8.624142,2.874714,8.598747,1
5,30,50,20.122998,8.624142,54.458731,1
8,34,Pass,8.624142,2.874714,8.598747,1
11,28,Pass,5.749428,25.872426,37.261237,1
14,37,Pass,5.749428,11.498856,20.063743,1
13,35,Pass,14.37357,2.874714,14.331245,1
14,29,Pass,22.997712,2.874714,22.929992,1
22,32,50,2.874714,8.624142,8.598747,1
25,17,Pass,22.997712,2.874714,22.929992,1
26,40,Pass,25.872426,2.874714,25.796241,1
25,36,Pass,11.498856,2.874714,11.464996,1
26,36,Pass,8.624142,2.874714,8.598747,1
26,48,Pass,2.874714,11.498856,11.464996,1
26,48,Pass,2.874714,8.624142,8.598747,1
28,8,Pass,5.749428,40.245996,68.789976,1
28,8,Pass,5.749428,11.498856,20.063743,1
28,8,Pass,5.749428,11.498856,17.197494,1
32,47,50,8.624142,8.624142,17.197494,1
44,9,50,8.624142,5.749428,17.197494,1
44,9,50,2.874714,8.624142,8.598747,1
44,54,Pass,14.37357,5.749428,25.796241,1
45,17,Pass,17.248284,2.874714,17.197494,1
48,52,Pass,8.624142,2.874714,8.598747,1
50,51,Pass,14.37357,2.874714,14.331245,1
50,35,50,5.749428,14.37357,20.063743,1
50,35,50,8.624142,11.498856,28.66249,1
51,65,Pass,11.498856,2.874714,11.464996,1
51,65,Pass,11.498856,5.749428,17.197494,1
54,14,Pass,8.624142,2.874714,8.598747,1
54,14,Pass,37.371282,2.874714,37.261237,1
54,14,Pass,8.624142,2.874714,8.598747,1
54,52,Pass,11.498856,2.874714,11.464996,1
55,34,50,20.122998,11.498856,60.191229,1
56,15,50,2230.778064,2587.2426,73261.32444,1
57,15,Pass,1132.637316,2587.2426,36802.63716,1
56,14,Pass,2227.90335,1540.846704,52366.36923,1
57,14,Pass,1129.762602,1540.846704,26340.82831,1
60,21,Pass,8.624142,5.749428,17.197494,1
64,34,Pass,20.122998,2.874714,20.063743,1
65,26,Pass,11.498856,2.874714,11.464996,1
67,65,Pass,20.122998,2.874714,20.063743,1
66,9,50,2.874714,31.621854,31.528739,1
66,9,50,8.624142,2.874714,8.598747,1
65,11,Pass,2.874714,11.498856,11.464996,1
68,57,Pass,45.995424,11.498856,140.446201,1
68,30,50,14.37357,11.498856,45.859984,1
70,42,Pass,11.498856,2.874714,11.464996,1
70,47,Pass,2.874714,8.624142,8.598747,1
71,6,Pass,2.874714,17.248284,17.197494,1
71,28,Pass,2.874714,8.624142,8.598747,1
73,35,Pass,20.122998,2.874714,20.063743,1
81,53,Pass,2.874714,20.122998,20.063743,1
81,53,Pass,2.874714,20.122998,20.063743,1
81,53,Pass,8.624142,8.624142,17.197494,1
80,34,50,5.749428,8.624142,11.464996,1
81,54,Pass,11.498856,2.874714,11.464996,1
85,45,Pass,8.624142,2.874714,8.598747,1
85,45,Pass,8.624142,2.874714,8.598747,1
85,45,Pass,11.498856,2.874714,11.464996,1
85,45,Pass,14.37357,2.874714,14.331245,1
84,35,Pass,28.74714,2.874714,28.66249,1
84,35,Pass,8.624142,2.874714,8.598747,1
87,50,Pass,14.37357,2.874714,14.331245,1
89,45,Pass,20.122998,2.874714,20.063743,1
90,33,Pass,51.744852,5.749428,65.923727,1
91,50,Pass,2.874714,25.872426,25.796241,1
93,15,50,8.624142,8.624142,20.063743,1
96,33,Pass,17.248284,2.874714,17.197494,1
96,49,Pass,8.624142,2.874714,8.598747,1
100,34,50,5.749428,8.624142,14.331245,1

