[Wafer Information]
Wafer Number,15
Wafer ID,A59-Q330839-350
Job Name,X2L3QBKL_R_08_05
Model Name,EagleT
Lot Number,23C01135-001Q
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/17/2024 12:34
End Time,01/17/2024 12:38
Inspection Time,0:03:23
Photo Time,0:05:28
Data Output Time,01/17/2024 05:40

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder,F13 Pad area damage,F07 Incoming microlens periphery peeling
15,A59-Q330839-350,5518,5470,99.13012,48,54,3,31,1,19

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
19,19,50,23.065632,14.41602,89.379324,2
24,35,50,40.364856,28.83204,291.203604,3
29,34,50,40.364856,40.364856,403.64856,3
35,21,50,20.182428,11.532816,63.430488,2
48,54,50,14.41602,8.649612,31.715244,4
50,12,50,46.131264,28.83204,371.933316,3
52,32,50,51.897672,40.364856,446.89662,3
52,32,50,54.619566,34.496568,444.268595,3
53,32,50,54.780876,28.83204,360.4005,3
53,32,50,51.744852,22.997712,303.822394,3
61,38,50,46.131264,28.83204,337.334868,3
62,39,50,63.430488,28.83204,420.947784,3
62,39,50,51.744852,22.997712,346.816129,3
61,32,50,63.430488,28.83204,389.23254,3
61,32,50,63.243708,22.997712,341.083631,3
66,10,50,40.364856,40.364856,357.517296,3
71,56,50,14.41602,20.182428,74.963304,2
81,41,50,43.24806,28.83204,311.386032,3
81,42,50,46.131264,31.715244,345.98448,3
13,27,50,86.24142,22.997712,332.484884,3
15,26,50,51.744852,14.37357,146.178699,3
38,21,50,57.49428,11.498856,131.847454,3
50,4,50,51.744852,8.624142,111.783711,3
49,39,50,60.368994,8.624142,140.446201,3
50,39,50,60.368994,25.872426,358.281125,3
54,0,50,51.744852,14.37357,189.172434,3
55,17,50,63.243708,8.624142,134.713703,3
55,10,50,51.744852,8.624142,114.64996,3
57,15,50,63.243708,17.248284,163.376193,3
58,32,50,74.742564,22.997712,220.701173,3
63,24,50,83.366706,8.624142,169.108691,3
66,17,50,51.744852,8.624142,108.917462,3
78,29,50,80.491992,8.624142,194.904932,3
85,32,50,54.619566,8.624142,108.917462,3
88,48,50,51.744852,11.498856,123.248707,3
8,25,50,14.37357,8.624142,28.66249,1
23,44,50,2.874714,14.37357,14.331245,1
35,1,50,5.749428,8.624142,14.331245,1
49,64,50,5.749428,11.498856,17.197494,1
58,23,50,5.749428,25.872426,34.394988,1
58,23,50,5.749428,8.624142,14.331245,1
62,0,50,5.749428,11.498856,17.197494,1
71,64,50,11.498856,8.624142,28.66249,1
72,3,50,5.749428,25.872426,31.528739,1
73,7,50,2.874714,8.624142,8.598747,1
75,17,50,11.498856,2.874714,11.464996,1
78,8,50,5.749428,11.498856,22.929992,1
80,37,50,8.624142,5.749428,17.197494,1
86,28,50,5.749428,8.624142,14.331245,1
91,47,50,20.122998,11.498856,65.923727,1
90,13,50,8.624142,5.749428,14.331245,1
99,37,50,5.749428,11.498856,17.197494,1
99,37,50,5.749428,8.624142,17.197494,1
101,41,50,5.749428,8.624142,14.331245,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder,F13 Pad area damage,F07 Incoming microlens periphery peeling
15,A59-Q330839-350,5518,5479,99.293222,39,44,2,31,1,10

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
19,19,50,23.065632,14.41602,89.379324,2
24,35,50,40.364856,28.83204,291.203604,3
29,34,50,40.364856,40.364856,403.64856,3
35,21,50,20.182428,11.532816,63.430488,2
48,54,50,14.41602,8.649612,31.715244,4
50,12,50,46.131264,28.83204,371.933316,3
52,32,50,51.897672,40.364856,446.89662,3
52,32,50,54.619566,34.496568,444.268595,3
53,32,50,54.780876,28.83204,360.4005,3
53,32,50,51.744852,22.997712,303.822394,3
61,38,50,46.131264,28.83204,337.334868,3
62,39,50,63.430488,28.83204,420.947784,3
62,39,50,51.744852,22.997712,346.816129,3
61,32,50,63.430488,28.83204,389.23254,3
61,32,50,63.243708,22.997712,341.083631,3
66,10,50,40.364856,40.364856,357.517296,3
71,56,Pass,14.41602,20.182428,74.963304,2
81,41,50,43.24806,28.83204,311.386032,3
81,42,50,46.131264,31.715244,345.98448,3
13,27,50,86.24142,22.997712,332.484884,3
15,26,50,51.744852,14.37357,146.178699,3
38,21,50,57.49428,11.498856,131.847454,3
50,4,50,51.744852,8.624142,111.783711,3
49,39,50,60.368994,8.624142,140.446201,3
50,39,50,60.368994,25.872426,358.281125,3
54,0,50,51.744852,14.37357,189.172434,3
55,17,50,63.243708,8.624142,134.713703,3
55,10,50,51.744852,8.624142,114.64996,3
57,15,50,63.243708,17.248284,163.376193,3
