[Wafer Information]
Wafer Number,25
Wafer ID,A100-Q336351-351
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C01731-001R
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/12/2024 02:15
End Time,01/12/2024 02:18
Inspection Time,0:03:21
Photo Time,0:05:02
Data Output Time,01/12/2024 05:07

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F99 Others,F07 Incoming microlens periphery peeling
25,A100-Q336351-351,5518,5493,99.546937,25,41,32,7,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
23,41,50,271.021176,8.649612,792.8811,1
23,41,50,271.021176,8.649612,792.8811,1
23,41,50,268.137972,8.649612,775.581876,1
23,41,50,262.371564,8.649612,697.735368,1
26,13,50,8.649612,83.612916,222.006708,1
26,13,50,8.649612,172.99224,464.195844,1
26,5,50,8.649612,86.49612,242.189136,1
26,5,50,8.649612,172.99224,504.5607,1
26,5,50,8.649612,86.49612,250.838748,1
31,24,50,17.299224,20.182428,80.729712,2
34,15,50,8.649612,66.313692,170.109036,1
34,15,50,8.649612,57.66408,167.225832,1
36,9,50,8.649612,170.109036,478.611864,1
36,9,50,8.649612,86.49612,242.189136,1
36,9,50,8.649612,83.612916,230.65632,1
36,9,50,8.649612,86.49612,245.07234,1
43,40,50,54.780876,8.649612,155.693016,1
52,54,50,28.83204,322.918848,1848.133764,2
52,54,50,23.065632,320.035644,1923.097068,2
52,54,50,17.299224,314.269236,1802.0025,2
53,54,50,28.83204,328.685256,1923.097068,2
53,54,50,25.948836,328.685256,1995.177168,2
53,54,50,23.065632,320.035644,1911.564252,2
57,21,50,57.66408,8.649612,158.57622,1
58,29,50,49.014468,25.948836,322.918848,3
98,19,50,164.342628,8.649612,490.14468,1
98,19,50,271.021176,8.649612,712.151388,1
9,51,50,28.74714,2.874714,28.66249,1
19,58,50,17.248284,5.749428,31.528739,1
29,47,50,31.621854,5.749428,51.592482,1
30,60,50,2.874714,5.749428,5.732498,1
37,49,50,14.37357,2.874714,14.331245,1
37,38,50,14.37357,2.874714,14.331245,1
44,4,50,2.874714,57.49428,57.32498,1
48,3,50,14.37357,8.624142,28.66249,1
48,3,50,11.498856,8.624142,20.063743,1
51,61,50,20.122998,2.874714,20.063743,1
55,32,50,2.874714,5.749428,5.732498,1
59,62,50,2.874714,34.496568,34.394988,1
74,9,50,8.624142,2.874714,8.598747,1
68,65,50,25.872426,57.49428,349.682378,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F99 Others,F07 Incoming microlens periphery peeling
25,A100-Q336351-351,5518,5514,99.92751,4,4,1,2,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
23,41,Pass,271.021176,8.649612,792.8811,1
23,41,Pass,271.021176,8.649612,792.8811,1
23,41,Pass,268.137972,8.649612,775.581876,1
23,41,Pass,262.371564,8.649612,697.735368,1
26,13,Pass,8.649612,83.612916,222.006708,1
26,13,Pass,8.649612,172.99224,464.195844,1
26,5,Pass,8.649612,86.49612,242.189136,1
26,5,Pass,8.649612,172.99224,504.5607,1
26,5,Pass,8.649612,86.49612,250.838748,1
31,24,Pass,17.299224,20.182428,80.729712,2
34,15,Pass,8.649612,66.313692,170.109036,1
34,15,Pass,8.649612,57.66408,167.225832,1
36,9,Pass,8.649612,170.109036,478.611864,1
36,9,Pass,8.649612,86.49612,242.189136,1
36,9,Pass,8.649612,83.612916,230.65632,1
36,9,Pass,8.649612,86.49612,245.07234,1
43,40,Pass,54.780876,8.649612,155.693016,1
52,54,Pass,28.83204,322.918848,1848.133764,2
52,54,Pass,23.065632,320.035644,1923.097068,2
52,54,Pass,17.299224,314.269236,1802.0025,2
53,54,Pass,28.83204,328.685256,1923.097068,2
53,54,Pass,25.948836,328.685256,1995.177168,2
53,54,Pass,23.065632,320.035644,1911.564252,2
57,21,Pass,57.66408,8.649612,158.57622,1
58,29,50,49.014468,25.948836,322.918848,3
98,19,Pass,164.342628,8.649612,490.14468,1
98,19,Pass,271.021176,8.649612,712.151388,1
9,51,Pass,28.74714,2.874714,28.66249,1
19,58,Pass,17.248284,5.749428,31.528739,1
29,47,Pass,31.621854,5.749428,51.592482,1
30,60,Pass,2.874714,5.749428,5.732498,1
37,49,Pass,14.37357,2.874714,14.331245,1
37,38,Pass,14.37357,2.874714,14.331245,1
44,4,Pass,2.874714,57.49428,57.32498,1
48,3,Pass,14.37357,8.624142,28.66249,1
48,3,Pass,11.498856,8.624142,20.063743,1
51,61,Pass,20.122998,2.874714,20.063743,1
55,32,Pass,2.874714,5.749428,5.732498,1
59,62,50,2.874714,34.496568,34.394988,1
74,9,50,8.624142,2.874714,8.598747,1
68,65,50,25.872426,57.49428,349.682378,3

