[Wafer Information]
Wafer Number,23
Wafer ID,A95-Q335369-351
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C01991-001R
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/19/2024 08:19
End Time,01/19/2024 08:23
Inspection Time,0:03:20
Photo Time,0:03:09
Data Output Time,01/20/2024 12:13

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others
23,A95-Q335369-351,5518,5464,99.021385,54,84,16,65,3

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
13,24,50,40.364856,25.948836,259.48836,3
14,22,50,51.897672,43.24806,579.524004,3
12,52,50,273.90438,8.649612,749.63304,1
17,15,50,273.90438,8.649612,807.29712,1
17,15,50,273.90438,8.649612,810.180324,1
17,15,50,123.977772,8.649612,360.4005,1
16,15,50,118.211364,8.649612,325.802052,1
16,15,50,271.021176,8.649612,735.21702,1
21,56,50,14.41602,20.182428,80.729712,2
20,18,50,77.846508,8.649612,216.2403,1
20,18,50,57.66408,8.649612,161.459424,1
23,52,50,213.357096,8.649612,585.290412,1
23,52,50,273.90438,8.649612,818.829936,1
23,52,50,167.225832,8.649612,498.794292,1
22,53,50,46.131264,8.649612,123.977772,1
23,53,50,273.90438,8.649612,798.647508,1
23,53,50,271.021176,8.649612,807.29712,1
23,53,50,271.021176,8.649612,807.29712,1
23,53,50,98.028936,8.649612,291.203604,1
25,52,50,54.780876,8.649612,138.393792,1
26,32,50,54.780876,8.649612,141.276996,1
26,4,50,83.612916,8.649612,224.889912,1
27,50,50,273.90438,8.649612,769.815468,1
27,50,50,80.729712,8.649612,207.590688,1
27,32,50,271.021176,8.649612,749.63304,1
28,50,50,276.787584,8.649612,801.530712,1
28,50,50,271.021176,8.649612,784.231488,1
28,50,50,271.021176,8.649612,775.581876,1
28,50,50,271.021176,8.649612,792.8811,1
28,50,50,57.66408,8.649612,152.809812,1
28,32,50,271.021176,8.649612,801.530712,1
28,32,50,273.90438,8.649612,715.034592,1
28,19,50,74.963304,23.065632,481.495068,3
30,22,50,51.897672,17.299224,288.3204,3
32,22,50,60.547284,23.065632,380.582928,3
32,25,50,43.24806,20.182428,247.955544,3
32,31,50,46.131264,23.065632,271.021176,3
33,9,50,43.24806,23.065632,262.371564,3
35,31,50,63.430488,25.948836,438.247008,3
37,17,50,268.137972,8.649612,772.698672,1
39,15,50,273.90438,8.649612,735.21702,1
43,33,50,126.860976,8.649612,374.81652,1
43,33,50,271.021176,8.649612,746.749836,1
46,52,50,57.66408,8.649612,161.459424,1
45,52,50,271.021176,8.649612,755.399448,1
45,52,50,271.021176,8.649612,804.413916,1
45,52,50,273.90438,8.649612,795.764304,1
45,52,50,271.021176,8.649612,775.581876,1
45,52,50,57.66408,8.649612,149.926608,1
46,16,50,54.780876,8.649612,158.57622,1
54,33,50,40.364856,25.948836,296.970012,3
56,17,50,273.90438,8.649612,755.399448,1
56,26,50,66.313692,20.182428,392.115744,3
59,15,50,271.021176,8.649612,792.8811,1
59,15,50,271.021176,8.649612,752.516244,1
60,15,50,190.291464,8.649612,567.991188,1
60,15,50,273.90438,8.649612,807.29712,1
63,12,50,51.897672,23.065632,320.035644,3
66,52,50,273.90438,8.649612,726.567408,1
67,52,50,273.90438,8.649612,769.815468,1
67,52,50,271.021176,8.649612,787.114692,1
67,52,50,181.641852,8.649612,527.626332,1
67,52,50,271.021176,8.649612,717.917796,1
67,52,50,57.66408,8.649612,152.809812,1
68,52,50,54.780876,8.649612,155.693016,1
69,52,50,49.014468,25.948836,305.619624,3
71,22,50,17.299224,20.182428,83.612916,2
77,5,50,83.612916,8.649612,227.773116,1
77,5,50,86.49612,8.649612,230.65632,1
80,15,50,273.90438,8.649612,815.946732,1
80,15,50,271.021176,8.649612,810.180324,1
80,15,50,28.83204,8.649612,86.49612,1
80,15,50,273.90438,8.649612,772.698672,1
83,33,50,265.254768,8.649612,792.8811,1
86,52,50,273.90438,8.649612,772.698672,1
86,17,50,49.014468,20.182428,279.670788,3
88,52,50,54.780876,8.649612,141.276996,1
91,51,50,49.014468,20.182428,279.670788,3
93,39,50,17.299224,20.182428,86.49612,2
94,18,50,273.90438,8.649612,752.516244,1
65,35,50,2.874714,5.749428,5.732498,1
70,36,50,2.874714,5.749428,5.732498,1
75,33,50,2.874714,5.749428,5.732498,1
87,58,50,43.12071,51.744852,407.007358,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others
23,A95-Q335369-351,5518,5500,99.673795,18,18,17,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
13,24,50,40.364856,25.948836,259.48836,3
14,22,50,51.897672,43.24806,579.524004,3
12,52,Pass,273.90438,8.649612,749.63304,1
17,15,Pass,273.90438,8.649612,807.29712,1
17,15,Pass,273.90438,8.649612,810.180324,1
17,15,Pass,123.977772,8.649612,360.4005,1
16,15,Pass,118.211364,8.649612,325.802052,1
16,15,Pass,271.021176,8.649612,735.21702,1
21,56,Pass,14.41602,20.182428,80.729712,2
20,18,Pass,77.846508,8.649612,216.2403,1
20,18,Pass,57.66408,8.649612,161.459424,1
23,52,Pass,213.357096,8.649612,585.290412,1
23,52,Pass,273.90438,8.649612,818.829936,1
23,52,Pass,167.225832,8.649612,498.794292,1
22,53,Pass,46.131264,8.649612,123.977772,1
23,53,Pass,273.90438,8.649612,798.647508,1
23,53,Pass,271.021176,8.649612,807.29712,1
23,53,Pass,271.021176,8.649612,807.29712,1
23,53,Pass,98.028936,8.649612,291.203604,1
25,52,Pass,54.780876,8.649612,138.393792,1
26,32,Pass,54.780876,8.649612,141.276996,1
26,4,Pass,83.612916,8.649612,224.889912,1
27,50,Pass,273.90438,8.649612,769.815468,1
27,50,Pass,80.729712,8.649612,207.590688,1
27,32,Pass,271.021176,8.649612,749.63304,1
28,50,Pass,276.787584,8.649612,801.530712,1
28,50,Pass,271.021176,8.649612,784.231488,1
28,50,Pass,271.021176,8.649612,775.581876,1
28,50,Pass,271.021176,8.649612,792.8811,1
28,50,Pass,57.66408,8.649612,152.809812,1
28,32,Pass,271.021176,8.649612,801.530712,1
28,32,Pass,273.90438,8.649612,715.034592,1
28,19,50,74.963304,23.065632,481.495068,3
30,22,50,51.897672,17.299224,288.3204,3
32,22,50,60.547284,23.065632,380.582928,3
32,25,50,43.24806,20.182428,247.955544,3
32,31,50,46.131264,23.065632,271.021176,3
33,9,50,43.24806,23.065632,262.371564,3
35,31,50,63.430488,25.948836,438.247008,3
37,17,Pass,268.137972,8.649612,772.698672,1
39,15,Pass,273.90438,8.649612,735.21702,1
43,33,Pass,126.860976,8.649612,374.81652,1
43,33,Pass,271.021176,8.649612,746.749836,1
46,52,Pass,57.66408,8.649612,161.459424,1
45,52,Pass,271.021176,8.649612,755.399448,1
45,52,Pass,271.021176,8.649612,804.413916,1
45,52,Pass,273.90438,8.649612,795.764304,1
