[Wafer Information]
Wafer Number,19
Wafer ID,A97-Q335369-351
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C01991-001R
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/19/2024 08:40
End Time,01/19/2024 08:44
Inspection Time,0:03:21
Photo Time,0:03:15
Data Output Time,01/20/2024 12:15

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling
19,A97-Q335369-351,5518,5477,99.256977,41,57,35,16,6

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,33,50,273.90438,8.649612,810.180324,1
3,33,50,273.90438,8.649612,717.917796,1
3,33,50,123.977772,8.649612,357.517296,1
5,32,50,273.90438,8.649612,801.530712,1
5,32,50,271.021176,8.649612,720.801,1
6,32,50,271.021176,8.649612,813.063528,1
6,32,50,271.021176,8.649612,813.063528,1
6,32,50,273.90438,8.649612,815.946732,1
6,32,50,135.510588,8.649612,406.531764,1
6,32,50,34.598448,8.649612,86.49612,1
10,46,50,86.49612,20.182428,527.626332,3
11,24,50,46.131264,8.649612,123.977772,1
10,51,50,123.977772,8.649612,354.634092,1
11,51,50,271.021176,8.649612,717.917796,1
15,24,50,49.014468,23.065632,305.619624,3
16,45,50,43.24806,20.182428,259.48836,3
17,17,50,273.90438,8.649612,804.413916,1
18,13,50,40.364856,25.948836,250.838748,3
20,10,50,14.41602,20.182428,69.196896,2
23,13,50,69.196896,20.182428,409.414968,3
23,24,50,8.649612,83.612916,236.422728,1
25,32,50,271.021176,8.649612,723.684204,1
40,63,50,80.729712,8.649612,239.305932,1
40,17,50,181.641852,8.649612,516.093516,1
40,17,50,271.021176,8.649612,810.180324,1
40,17,50,273.90438,8.649612,807.29712,1
44,51,50,60.547284,23.065632,400.765356,3
43,29,50,14.41602,20.182428,77.846508,2
51,41,50,11.532816,8.649612,28.83204,1
54,25,50,11.532816,8.649612,34.598448,1
55,32,50,92.262528,49.014468,847.661976,3
55,32,50,60.368994,22.997712,341.083631,3
54,19,50,54.780876,8.649612,141.276996,1
57,9,50,80.729712,8.649612,222.006708,1
57,33,50,273.90438,8.649612,798.647508,1
57,33,50,271.021176,8.649612,801.530712,1
57,33,50,271.021176,8.649612,810.180324,1
57,33,50,184.525056,8.649612,553.575168,1
56,25,50,49.014468,23.065632,302.73642,3
59,18,50,51.897672,23.065632,294.086808,3
60,32,50,46.131264,20.182428,256.605156,3
62,17,50,271.021176,8.649612,740.983428,1
65,25,50,69.196896,20.182428,406.531764,3
65,17,50,17.299224,20.182428,106.678548,2
77,53,50,66.313692,25.948836,444.013416,3
81,7,50,8.649612,80.729712,233.539524,1
81,38,50,57.66408,23.065632,380.582928,3
84,47,50,25.948836,320.035644,1735.688808,2
84,47,50,23.065632,320.035644,1750.104828,2
84,47,50,17.299224,314.269236,1683.791136,2
89,57,50,43.24806,20.182428,253.721952,3
90,18,50,273.90438,8.649612,807.29712,1
97,33,50,54.780876,8.649612,149.926608,1
12,37,50,5.749428,66.118422,68.789976,1
12,37,50,2.874714,5.749428,5.732498,1
83,8,50,5.749428,2.874714,5.732498,1
71,38,50,40.245996,51.744852,472.931085,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling
19,A97-Q335369-351,5518,5501,99.691917,17,19,16,1,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,33,Pass,273.90438,8.649612,810.180324,1
3,33,Pass,273.90438,8.649612,717.917796,1
3,33,Pass,123.977772,8.649612,357.517296,1
5,32,Pass,273.90438,8.649612,801.530712,1
5,32,Pass,271.021176,8.649612,720.801,1
6,32,Pass,271.021176,8.649612,813.063528,1
6,32,Pass,271.021176,8.649612,813.063528,1
6,32,Pass,273.90438,8.649612,815.946732,1
6,32,Pass,135.510588,8.649612,406.531764,1
6,32,Pass,34.598448,8.649612,86.49612,1
10,46,50,86.49612,20.182428,527.626332,3
11,24,Pass,46.131264,8.649612,123.977772,1
10,51,Pass,123.977772,8.649612,354.634092,1
11,51,Pass,271.021176,8.649612,717.917796,1
15,24,50,49.014468,23.065632,305.619624,3
16,45,50,43.24806,20.182428,259.48836,3
17,17,Pass,273.90438,8.649612,804.413916,1
18,13,50,40.364856,25.948836,250.838748,3
20,10,50,14.41602,20.182428,69.196896,2
23,13,50,69.196896,20.182428,409.414968,3
23,24,Pass,8.649612,83.612916,236.422728,1
25,32,Pass,271.021176,8.649612,723.684204,1
40,63,Pass,80.729712,8.649612,239.305932,1
40,17,Pass,181.641852,8.649612,516.093516,1
40,17,Pass,271.021176,8.649612,810.180324,1
40,17,Pass,273.90438,8.649612,807.29712,1
44,51,50,60.547284,23.065632,400.765356,3
43,29,Pass,14.41602,20.182428,77.846508,2
51,41,Pass,11.532816,8.649612,28.83204,1
54,25,Pass,11.532816,8.649612,34.598448,1
55,32,50,92.262528,49.014468,847.661976,3
55,32,50,60.368994,22.997712,341.083631,3
54,19,Pass,54.780876,8.649612,141.276996,1
57,9,Pass,80.729712,8.649612,222.006708,1
57,33,Pass,273.90438,8.649612,798.647508,1
57,33,Pass,271.021176,8.649612,801.530712,1
57,33,Pass,271.021176,8.649612,810.180324,1
57,33,Pass,184.525056,8.649612,553.575168,1
56,25,50,49.014468,23.065632,302.73642,3
59,18,50,51.897672,23.065632,294.086808,3
60,32,50,46.131264,20.182428,256.605156,3
62,17,Pass,271.021176,8.649612,740.983428,1
65,25,50,69.196896,20.182428,406.531764,3
65,17,Pass,17.299224,20.182428,106.678548,2
77,53,50,66.313692,25.948836,444.013416,3
81,7,Pass,8.649612,80.729712,233.539524,1
81,38,50,57.66408,23.065632,380.582928,3
84,47,Pass,25.948836,320.035644,1735.688808,2
84,47,Pass,23.065632,320.035644,1750.104828,2
84,47,Pass,17.299224,314.269236,1683.791136,2
89,57,50,43.24806,20.182428,253.721952,3
90,18,Pass,273.90438,8.649612,807.29712,1
97,33,Pass,54.780876,8.649612,149.926608,1
12,37,50,5.749428,66.118422,68.789976,1
12,37,50,2.874714,5.749428,5.732498,1
83,8,Pass,5.749428,2.874714,5.732498,1
71,38,50,40.245996,51.744852,472.931085,3

