[Wafer Information]
Wafer Number,17
Wafer ID,A59-Q335548-352
Job Name,X2L3QBKL_R_08_05
Model Name,EagleT
Lot Number,23C02093-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/02/2024 12:07
End Time,01/02/2024 12:10
Inspection Time,0:03:25
Photo Time,0:09:46
Data Output Time,01/02/2024 07:22

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling,F06 Incoming others,F29 Silicon powder,F99 Others
17,A59-Q335548-352,5518,5209,94.400145,309,363,226,122,6,9

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,22,50,20.182428,8.649612,49.014468,4
6,23,50,23.065632,8.649612,51.897672,4
6,22,50,20.182428,8.649612,54.780876,4
8,50,50,8.649612,11.532816,23.065632,1
8,50,50,11.498856,5.749428,20.063743,1
8,50,50,8.624142,11.498856,25.796241,1
10,14,50,17.299224,5.766408,34.598448,4
11,15,50,20.182428,5.766408,40.364856,4
11,17,50,17.299224,5.766408,34.598448,4
14,44,50,23.065632,8.649612,54.780876,4
15,44,50,20.182428,8.649612,46.131264,4
13,14,50,23.065632,8.649612,49.014468,4
14,41,50,11.532816,14.41602,40.364856,4
16,44,50,34.598448,80.729712,542.042352,2
16,44,50,20.182428,8.649612,46.131264,4
17,44,50,23.065632,8.649612,54.780876,4
16,48,50,23.065632,8.649612,51.897672,4
17,48,50,20.182428,8.649612,54.780876,4
19,44,50,20.182428,8.649612,46.131264,4
19,48,50,17.299224,8.649612,37.481652,4
20,19,50,23.065632,8.649612,63.430488,4
22,55,50,23.065632,8.649612,49.014468,4
21,34,50,14.41602,17.299224,57.66408,4
23,50,50,23.065632,8.649612,49.014468,4
25,55,50,20.182428,8.649612,49.014468,4
25,55,50,8.624142,2.874714,8.598747,1
24,50,50,23.065632,8.649612,57.66408,4
25,50,50,23.065632,8.649612,54.780876,4
25,47,50,25.948836,8.649612,60.547284,4
25,57,50,20.182428,5.766408,40.364856,4
24,60,50,20.182428,8.649612,54.780876,4
25,60,50,20.182428,8.649612,57.66408,4
26,47,50,23.065632,8.649612,49.014468,4
25,12,50,8.649612,20.182428,43.24806,4
25,24,50,20.182428,8.649612,43.24806,4
25,19,50,20.182428,8.649612,43.24806,4
26,60,50,25.948836,8.649612,60.547284,4
26,60,50,31.715244,31.715244,230.65632,2
27,60,50,25.948836,8.649612,66.313692,4
28,60,50,23.065632,8.649612,63.430488,4
28,57,50,23.065632,8.649612,63.430488,4
27,55,50,23.065632,8.649612,54.780876,4
28,58,50,14.41602,8.649612,31.715244,4
27,47,50,23.065632,8.649612,49.014468,4
28,47,50,20.182428,8.649612,49.014468,4
27,5,50,8.649612,14.41602,31.715244,4
28,7,50,20.182428,8.649612,46.131264,4
27,50,50,20.182428,8.649612,51.897672,4
28,50,50,20.182428,8.649612,60.547284,4
31,53,50,20.182428,8.649612,49.014468,4
29,60,50,23.065632,8.649612,51.897672,4
30,50,50,20.182428,8.649612,49.014468,4
31,50,50,20.182428,8.649612,54.780876,4
29,50,50,23.065632,8.649612,49.014468,4
30,31,50,5.766408,11.532816,23.065632,4
30,60,50,23.065632,8.649612,57.66408,4
31,12,50,20.182428,8.649612,43.24806,4
30,57,50,20.182428,8.649612,51.897672,4
31,7,50,23.065632,8.649612,54.780876,4
30,7,50,23.065632,8.649612,46.131264,4
32,59,50,20.182428,5.766408,40.364856,4
31,57,50,20.182428,8.649612,49.014468,4
33,53,50,23.065632,8.649612,54.780876,4
34,5,50,34.598448,8.649612,98.028936,1
33,59,50,20.182428,8.649612,43.24806,4
33,51,50,23.065632,8.649612,51.897672,4
33,46,50,17.299224,8.649612,34.598448,4
33,26,50,20.182428,8.649612,43.24806,4
34,59,50,23.065632,8.649612,49.014468,4
34,58,50,11.532816,31.715244,72.0801,4
34,51,50,20.182428,8.649612,46.131264,4
35,51,50,20.182428,8.649612,46.131264,4
34,53,50,23.065632,8.649612,46.131264,4
35,59,50,20.182428,8.649612,51.897672,4
36,59,50,23.065632,8.649612,54.780876,4
36,26,50,23.065632,8.649612,57.66408,4
35,46,50,17.299224,8.649612,40.364856,4
36,46,50,20.182428,8.649612,49.014468,4
36,58,50,23.065632,8.649612,49.014468,4
37,46,50,20.182428,8.649612,40.364856,4
35,53,50,23.065632,8.649612,51.897672,4
36,53,50,25.948836,8.649612,60.547284,4
37,51,50,23.065632,8.649612,51.897672,4
36,51,50,23.065632,8.649612,60.547284,4
38,51,50,23.065632,8.649612,54.780876,4
39,51,50,20.182428,8.649612,51.897672,4
38,46,50,20.182428,8.649612,51.897672,4
39,46,50,23.065632,8.649612,60.547284,4
38,53,50,23.065632,8.649612,54.780876,4
38,52,50,23.065632,8.649612,46.131264,4
39,52,50,20.182428,8.649612,54.780876,4
39,45,50,17.299224,5.766408,34.598448,4
39,58,50,23.065632,8.649612,63.430488,4
38,59,50,20.182428,8.649612,57.66408,4
39,18,50,23.065632,8.649612,51.897672,4
39,26,50,20.182428,8.649612,46.131264,4
40,46,50,17.299224,5.766408,34.598448,4
40,58,50,17.299224,5.766408,34.598448,4
40,52,50,20.182428,8.649612,40.364856,4
40,52,50,8.624142,2.874714,8.598747,1
40,51,50,20.182428,8.649612,46.131264,4
42,54,50,23.065632,8.649612,63.430488,4
41,52,50,20.182428,8.649612,51.897672,4
42,52,50,23.065632,8.649612,57.66408,4
42,18,50,20.182428,8.649612,46.131264,4
41,45,50,20.182428,8.649612,43.24806,4
