[Wafer Information]
Wafer Number,17
Wafer ID,A18-Q335819-352
Job Name,X2L3QBKL_R_08_05
Model Name,EagleT
Lot Number,23C02093-009
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/03/2024 10:06
End Time,01/03/2024 10:09
Inspection Time,0:03:24
Photo Time,0:06:28
Data Output Time,01/03/2024 10:24

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F07 Incoming microlens periphery peeling,F29 Silicon powder
17,A18-Q335819-352,3167,3127,98.736975,40,57,33,3,4,2,15

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
11,28,50,66.313692,34.598448,458.429436,1
11,28,50,256.605156,37.481652,1274.376168,1
11,28,50,34.598448,43.24806,227.773116,4
11,28,50,158.57622,132.627384,2788.058268,2
11,28,50,57.66408,23.065632,207.590688,1
11,28,50,201.22998,14.37357,968.792162,1
11,28,50,339.216252,20.122998,1900.323087,63
11,28,50,8.624142,86.24142,235.032418,63
11,28,50,68.993136,14.37357,283.758651,1
11,28,50,45.995424,28.74714,384.077366,1
11,28,50,336.341538,28.74714,2192.680485,1
11,28,50,5.749428,11.498856,17.197494,1
11,16,50,17.299224,20.182428,92.262528,2
11,16,50,5.749428,14.37357,22.929992,1
24,31,50,43.24806,20.182428,233.539524,3
38,14,50,8.649612,40.364856,92.262528,1
38,14,50,5.749428,14.37357,22.929992,1
38,14,50,5.749428,11.498856,20.063743,1
38,14,50,8.624142,14.37357,42.993735,1
90,11,50,14.41602,20.182428,69.196896,2
94,25,50,17.299224,20.182428,95.145732,2
99,25,50,49.014468,23.065632,285.437196,3
12,13,50,77.617278,14.37357,283.758651,3
13,19,50,51.744852,11.498856,108.917462,3
16,22,50,57.49428,8.624142,120.382458,3
36,10,50,66.118422,14.37357,212.102426,3
41,18,50,94.865562,11.498856,192.038683,3
45,14,50,80.491992,11.498856,243.631165,3
56,18,50,57.49428,14.37357,186.306185,3
70,13,50,57.49428,8.624142,123.248707,3
72,13,50,89.116134,14.37357,323.886137,3
72,31,50,57.49428,37.371282,237.898667,3
72,12,50,77.617278,11.498856,226.433671,3
76,19,50,68.993136,17.248284,315.28739,3
98,22,50,615.188796,287.4714,6087.912876,3
98,22,50,28.74714,40.245996,295.223647,1
5,25,50,34.496568,2.874714,34.394988,1
9,23,50,8.624142,2.874714,8.598747,1
16,9,50,14.37357,8.624142,42.993735,1
31,35,50,5.749428,11.498856,22.929992,1
34,19,50,2.874714,25.872426,25.796241,1
37,35,50,17.248284,11.498856,48.726233,1
54,16,50,5.749428,34.496568,60.191229,1
57,26,50,2.874714,11.498856,11.464996,1
60,37,50,17.248284,11.498856,51.592482,1
64,1,50,31.621854,5.749428,37.261237,1
66,22,50,11.498856,5.749428,20.063743,1
67,14,50,11.498856,2.874714,11.464996,1
73,14,50,8.624142,2.874714,8.598747,1
75,28,50,11.498856,2.874714,11.464996,1
86,33,50,14.37357,8.624142,31.528739,1
86,33,50,14.37357,5.749428,22.929992,1
91,19,50,2.874714,8.624142,8.598747,1
97,19,50,2230.778064,336.341538,28347.20261,1
96,19,50,1408.60986,324.842682,16996.85657,1
96,18,50,1408.60986,3783.123624,54229.43108,1
97,18,50,2230.778064,3783.123624,101413.622118,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F07 Incoming microlens periphery peeling,F29 Silicon powder
17,A18-Q335819-352,3167,3143,99.242185,24,39,16,9,14

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
11,28,50,66.313692,34.598448,458.429436,1
11,28,50,256.605156,37.481652,1274.376168,1
11,28,50,34.598448,43.24806,227.773116,4
11,28,50,158.57622,132.627384,2788.058268,2
11,28,50,57.66408,23.065632,207.590688,1
11,28,50,201.22998,14.37357,968.792162,1
11,28,50,339.216252,20.122998,1900.323087,63
11,28,50,8.624142,86.24142,235.032418,63
11,28,50,68.993136,14.37357,283.758651,1
11,28,50,45.995424,28.74714,384.077366,1
11,28,50,336.341538,28.74714,2192.680485,1
11,28,50,5.749428,11.498856,17.197494,1
11,16,50,17.299224,20.182428,92.262528,2
11,16,50,5.749428,14.37357,22.929992,1
24,31,50,43.24806,20.182428,233.539524,3
38,14,50,8.649612,40.364856,92.262528,1
38,14,50,5.749428,14.37357,22.929992,1
38,14,50,5.749428,11.498856,20.063743,1
38,14,50,8.624142,14.37357,42.993735,1
90,11,50,14.41602,20.182428,69.196896,2
94,25,50,17.299224,20.182428,95.145732,2
99,25,50,49.014468,23.065632,285.437196,3
12,13,50,77.617278,14.37357,283.758651,3
13,19,50,51.744852,11.498856,108.917462,3
16,22,50,57.49428,8.624142,120.382458,3
36,10,50,66.118422,14.37357,212.102426,3
41,18,50,94.865562,11.498856,192.038683,3
45,14,50,80.491992,11.498856,243.631165,3
56,18,50,57.49428,14.37357,186.306185,3
70,13,50,57.49428,8.624142,123.248707,3
72,13,50,89.116134,14.37357,323.886137,3
72,31,50,57.49428,37.371282,237.898667,3
72,12,50,77.617278,11.498856,226.433671,3
76,19,50,68.993136,17.248284,315.28739,3
98,22,Pass,615.188796,287.4714,6087.912876,3
98,22,Pass,28.74714,40.245996,295.223647,1
5,25,Pass,34.496568,2.874714,34.394988,1
9,23,Pass,8.624142,2.874714,8.598747,1
16,9,50,14.37357,8.624142,42.993735,1
31,35,50,5.749428,11.498856,22.929992,1
34,19,Pass,2.874714,25.872426,25.796241,1
37,35,50,17.248284,11.498856,48.726233,1
54,16,Pass,5.749428,34.496568,60.191229,1
57,26,Pass,2.874714,11.498856,11.464996,1
60,37,50,17.248284,11.498856,51.592482,1
64,1,Pass,31.621854,5.749428,37.261237,1
66,22,Pass,11.498856,5.749428,20.063743,1
67,14,Pass,11.498856,2.874714,11.464996,1
73,14,Pass,8.624142,2.874714,8.598747,1
75,28,Pass,11.498856,2.874714,11.464996,1
86,33,Pass,14.37357,8.624142,31.528739,1
86,33,Pass,14.37357,5.749428,22.929992,1
91,19,50,2.874714,8.624142,8.598747,1
97,19,Pass,2230.778064,336.341538,28347.20261,1
96,19,Pass,1408.60986,324.842682,16996.85657,1
96,18,Pass,1408.60986,3783.123624,54229.43108,1
97,18,Pass,2230.778064,3783.123624,101413.622118,1

