[Wafer Information]
Wafer Number,25
Wafer ID,A63-Q335548-352
Job Name,X2L3QBKL_R_08_05
Model Name,EagleT
Lot Number,23C02093-009
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/03/2024 09:47
End Time,01/03/2024 09:51
Inspection Time,0:03:29
Photo Time,0:05:36
Data Output Time,01/03/2024 10:26

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder,F07 Incoming microlens periphery peeling,F99 Others
25,A63-Q335548-352,1377,1307,94.916485,70,89,42,2,41,4

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
14,17,50,23.065632,8.649612,51.897672,4
20,12,50,25.948836,40.364856,271.021176,2
31,17,50,25.948836,8.649612,69.196896,4
42,5,50,23.065632,8.649612,57.66408,4
42,2,50,23.065632,8.649612,57.66408,4
44,5,50,20.182428,8.649612,49.014468,4
46,15,50,8.649612,11.532816,31.715244,4
50,17,50,20.182428,8.649612,49.014468,4
50,6,50,23.065632,8.649612,49.014468,4
52,6,50,23.065632,8.649612,49.014468,4
53,6,50,20.182428,8.649612,54.780876,4
53,0,50,25.948836,8.649612,54.780876,4
56,5,50,23.065632,8.649612,54.780876,4
56,0,50,23.065632,8.649612,63.430488,4
55,0,50,20.182428,8.649612,46.131264,4
56,4,50,23.065632,8.649612,51.897672,4
56,1,50,219.123504,8.649612,657.370512,1
56,6,50,23.065632,8.649612,57.66408,4
57,0,50,23.065632,8.649612,57.66408,4
56,13,50,14.41602,20.182428,77.846508,2
58,0,50,23.065632,8.649612,51.897672,4
58,19,50,23.065632,8.649612,57.66408,4
58,6,50,23.065632,8.649612,49.014468,4
58,15,50,20.182428,8.649612,43.24806,4
61,4,50,23.065632,8.649612,54.780876,4
61,6,50,23.065632,8.649612,51.897672,4
61,17,50,23.065632,8.649612,51.897672,4
65,5,50,14.41602,8.649612,34.598448,4
