[Wafer Information]
Wafer Number,19
Wafer ID,A38-Q335819-352
Job Name,X2L3QBKL_R_08_05
Model Name,EagleT
Lot Number,23C02114-003
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/03/2024 02:52
End Time,01/03/2024 02:56
Inspection Time,0:03:23
Photo Time,0:11:07
Data Output Time,01/03/2024 04:04

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder
19,A38-Q335819-352,5518,5425,98.314607,93,104,14,13,77

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
13,31,50,11.532816,8.649612,25.948836,4
25,15,50,5.766408,11.532816,23.065632,4
27,53,50,11.532816,17.299224,40.364856,4
28,21,50,14.41602,11.532816,46.131264,4
29,49,50,8.649612,11.532816,25.948836,4
32,7,50,23.065632,11.532816,51.897672,4
47,49,50,8.649612,11.532816,31.715244,4
52,13,50,37.481652,31.715244,282.553992,3
55,12,50,11.532816,11.532816,28.83204,4
56,2,50,23.065632,23.065632,112.444956,1
56,2,50,22.997712,28.74714,134.713703,1
65,49,50,8.649612,11.532816,25.948836,4
68,62,50,8.649612,11.532816,25.948836,4
68,24,50,11.532816,14.41602,37.481652,4
76,22,50,43.24806,20.182428,256.605156,3
75,50,50,11.532816,14.41602,40.364856,4
79,43,50,14.41602,5.766408,28.83204,4
89,17,50,8.649612,11.532816,28.83204,4
11,30,50,60.368994,11.498856,171.97494,3
14,16,50,51.744852,17.248284,212.102426,3
26,7,50,51.744852,14.37357,212.102426,3
33,30,50,68.993136,11.498856,183.439936,3
38,19,50,83.366706,8.624142,166.242442,3
58,16,50,57.49428,14.37357,192.038683,3
61,4,50,60.368994,14.37357,194.904932,3
67,28,50,63.243708,14.37357,174.841189,3
79,49,50,60.368994,14.37357,192.038683,3
86,11,50,77.617278,14.37357,303.822394,3
97,33,50,54.619566,8.624142,131.847454,3
4,40,50,5.749428,25.872426,31.528739,1
8,39,50,8.624142,5.749428,11.464996,1
7,28,50,11.498856,8.624142,20.063743,1
9,34,50,2.874714,8.624142,8.598747,1
10,41,50,8.624142,2.874714,8.598747,1
11,54,50,2.874714,31.621854,31.528739,1
13,43,50,2.874714,28.74714,28.66249,1
11,34,50,2.874714,8.624142,8.598747,1
16,28,50,20.122998,5.749428,34.394988,1
18,25,50,2.874714,11.498856,11.464996,1
18,48,50,5.749428,25.872426,40.127486,1
19,25,50,2.874714,8.624142,8.598747,1
19,25,50,2.874714,17.248284,17.197494,1
19,25,50,2.874714,8.624142,8.598747,1
20,56,50,5.749428,8.624142,14.331245,1
23,52,50,8.624142,5.749428,11.464996,1
23,43,50,8.624142,48.870138,85.98747,1
24,34,50,2.874714,20.122998,20.063743,1
29,64,50,2.874714,11.498856,11.464996,1
29,36,50,5.749428,31.621854,45.859984,1
29,29,50,22.997712,2.874714,22.929992,1
32,15,50,2.874714,11.498856,11.464996,1
32,29,50,17.248284,2.874714,17.197494,1
33,39,50,14.37357,2.874714,14.331245,1
34,50,50,11.498856,2.874714,11.464996,1
34,61,50,14.37357,2.874714,14.331245,1
35,65,50,2.874714,8.624142,8.598747,1
37,27,50,2.874714,11.498856,11.464996,1
40,11,50,2.874714,11.498856,11.464996,1
40,49,50,8.624142,8.624142,17.197494,1
43,63,50,5.749428,100.61499,174.841189,1
48,38,50,34.496568,2.874714,34.394988,1
51,9,50,2.874714,8.624142,8.598747,1
53,65,50,2.874714,8.624142,8.598747,1
52,46,50,14.37357,2.874714,14.331245,1
54,63,50,8.624142,8.624142,20.063743,1
57,28,50,34.496568,2.874714,34.394988,1
57,28,50,17.248284,5.749428,28.66249,1
57,63,50,2.874714,11.498856,11.464996,1
58,3,50,2.874714,17.248284,17.197494,1
59,63,50,2.874714,22.997712,22.929992,1
60,25,50,2.874714,8.624142,8.598747,1
60,15,50,5.749428,28.74714,40.127486,1
59,51,50,2.874714,8.624142,8.598747,1
61,66,50,5.749428,11.498856,14.331245,1
68,20,50,2.874714,14.37357,14.331245,1
68,20,50,2.874714,11.498856,11.464996,1
70,42,50,2.874714,14.37357,14.331245,1
70,42,50,2.874714,8.624142,8.598747,1
68,36,50,2.874714,8.624142,8.598747,1
68,36,50,2.874714,25.872426,25.796241,1
70,9,50,5.749428,34.496568,57.32498,1
72,41,50,2.874714,8.624142,8.598747,1
73,6,50,2.874714,8.624142,8.598747,1
