[Wafer Information]
Wafer Number,17
Wafer ID,A40-Q335819-352
Job Name,X2L3QBKL_R_08_05
Model Name,EagleT
Lot Number,23C02114-003
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/03/2024 03:07
End Time,01/03/2024 03:11
Inspection Time,0:03:24
Photo Time,0:11:23
Data Output Time,01/03/2024 04:06

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others
17,A40-Q335819-352,5518,5430,98.405219,88,99,11,6,1,81

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
8,26,50,8.649612,20.182428,43.24806,4
11,26,50,43.24806,25.948836,317.15244,3
21,53,50,11.532816,8.649612,25.948836,4
34,34,50,8.649612,14.41602,31.715244,4
43,10,50,31.715244,8.649612,69.196896,4
47,5,50,11.532816,20.182428,66.313692,4
50,9,50,8.649612,20.182428,49.014468,4
49,8,50,5.766408,14.41602,28.83204,4
60,33,50,43.24806,8.649612,92.262528,4
61,60,50,8.649612,17.299224,40.364856,4
61,7,50,46.131264,25.948836,311.386032,3
66,41,50,17.299224,20.182428,92.262528,2
77,56,50,11.532816,8.649612,28.83204,4
94,31,50,5.766408,11.532816,23.065632,4
43,24,50,51.744852,20.122998,214.968675,3
59,45,50,51.744852,14.37357,171.97494,3
73,64,50,68.993136,8.624142,180.573687,3
87,38,50,80.491992,14.37357,292.357398,3
8,33,50,5.749428,11.498856,14.331245,1
8,18,50,2.874714,8.624142,8.598747,1
9,23,50,2.874714,28.74714,28.66249,1
9,21,50,2.874714,14.37357,14.331245,1
14,39,50,2.874714,8.624142,8.598747,1
16,18,50,2.874714,8.624142,8.598747,1
20,15,50,2.874714,17.248284,17.197494,1
23,26,50,2.874714,11.498856,11.464996,1
25,18,50,2.874714,22.997712,22.929992,1
25,18,50,2.874714,8.624142,8.598747,1
24,26,50,2.874714,8.624142,8.598747,1
30,25,50,8.624142,2.874714,8.598747,1
30,64,50,11.498856,5.749428,20.063743,1
28,7,50,11.498856,5.749428,20.063743,1
31,6,50,2.874714,14.37357,14.331245,1
33,16,50,2.874714,11.498856,11.464996,1
32,4,50,60.368994,8.624142,120.382458,1
32,4,50,8.624142,2.874714,8.598747,1
34,56,50,2.874714,8.624142,8.598747,1
36,7,50,8.624142,2.874714,8.598747,1
36,7,50,48.870138,2.874714,48.726233,1
36,4,50,45.995424,2.874714,45.859984,1
39,21,50,11.498856,2.874714,11.464996,1
39,21,50,11.498856,8.624142,20.063743,1
39,6,50,2.874714,14.37357,14.331245,1
38,6,50,2.874714,25.872426,25.796241,1
39,60,50,8.624142,2.874714,8.598747,1
41,56,50,8.624142,8.624142,25.796241,1
40,7,50,40.245996,5.749428,60.191229,1
42,25,50,2.874714,17.248284,17.197494,1
41,24,50,2.874714,8.624142,8.598747,1
43,14,50,2.874714,8.624142,8.598747,1
42,6,50,68.993136,2.874714,68.789976,1
42,6,50,31.621854,2.874714,31.528739,1
42,7,50,71.86785,5.749428,100.318715,1
43,15,50,2.874714,14.37357,14.331245,1
43,66,50,2.874714,11.498856,11.464996,1
49,1,50,8.624142,2.874714,8.598747,1
50,6,50,11.498856,5.749428,17.197494,1
52,9,50,2.874714,11.498856,11.464996,1
54,62,50,2.874714,11.498856,11.464996,1
53,6,50,89.116134,2.874714,88.853719,1
57,7,50,22.997712,2.874714,22.929992,1
58,7,50,149.485128,2.874714,149.044948,1
58,7,50,8.624142,2.874714,8.598747,1
59,56,50,2.874714,31.621854,31.528739,1
60,7,50,8.624142,2.874714,8.598747,1
62,11,50,5.749428,8.624142,11.464996,1
62,4,50,2.874714,28.74714,28.66249,1
60,17,50,2.874714,11.498856,11.464996,1
61,26,50,2.874714,17.248284,17.197494,1
63,7,50,14.37357,5.749428,22.929992,1
63,7,50,51.744852,5.749428,97.452466,1
63,7,50,11.498856,2.874714,11.464996,1
63,7,50,54.619566,2.874714,54.458731,1
63,16,50,2.874714,28.74714,28.66249,1
65,15,50,2.874714,8.624142,8.598747,1
64,7,50,77.617278,2.874714,77.388723,1
64,7,50,14.37357,2.874714,14.331245,1
65,7,50,60.368994,2.874714,60.191229,1
67,11,50,5.749428,34.496568,37.261237,1
68,8,50,2.874714,8.624142,8.598747,1
68,31,50,2.874714,14.37357,14.331245,1
74,5,50,37.371282,2.874714,37.261237,1
75,5,50,68.993136,5.749428,120.382458,1
80,51,50,2.874714,14.37357,14.331245,1
78,23,50,8.624142,2.874714,8.598747,1
84,19,50,2.874714,8.624142,8.598747,1
86,39,50,66.118422,8.624142,108.917462,1
86,39,50,11.498856,8.624142,25.796241,1
87,11,50,2.874714,8.624142,8.598747,1
87,13,50,2.874714,17.248284,17.197494,1
88,25,50,2.874714,11.498856,11.464996,1
86,28,50,2.874714,14.37357,14.331245,1
89,13,50,20.122998,2.874714,20.063743,1
90,23,50,2.874714,8.624142,8.598747,1
91,19,50,5.749428,14.37357,22.929992,1
91,20,50,5.749428,51.744852,88.853719,1
92,20,50,45.995424,2.874714,45.859984,1
95,20,50,2.874714,28.74714,28.66249,1
97,20,50,8.624142,5.749428,14.331245,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others
17,A40-Q335819-352,5518,5511,99.873142,7,7,6,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
8,26,Pass,8.649612,20.182428,43.24806,4
11,26,50,43.24806,25.948836,317.15244,3
21,53,Pass,11.532816,8.649612,25.948836,4
34,34,Pass,8.649612,14.41602,31.715244,4
43,10,Pass,31.715244,8.649612,69.196896,4
47,5,Pass,11.532816,20.182428,66.313692,4
50,9,Pass,8.649612,20.182428,49.014468,4
49,8,Pass,5.766408,14.41602,28.83204,4
60,33,Pass,43.24806,8.649612,92.262528,4
61,60,Pass,8.649612,17.299224,40.364856,4
61,7,50,46.131264,25.948836,311.386032,3
66,41,50,17.299224,20.182428,92.262528,2
77,56,Pass,11.532816,8.649612,28.83204,4
94,31,Pass,5.766408,11.532816,23.065632,4
43,24,50,51.744852,20.122998,214.968675,3
59,45,50,51.744852,14.37357,171.97494,3
73,64,50,68.993136,8.624142,180.573687,3
87,38,50,80.491992,14.37357,292.357398,3
8,33,Pass,5.749428,11.498856,14.331245,1
8,18,Pass,2.874714,8.624142,8.598747,1
9,23,Pass,2.874714,28.74714,28.66249,1
9,21,Pass,2.874714,14.37357,14.331245,1
14,39,Pass,2.874714,8.624142,8.598747,1
16,18,Pass,2.874714,8.624142,8.598747,1
20,15,Pass,2.874714,17.248284,17.197494,1
23,26,Pass,2.874714,11.498856,11.464996,1
25,18,Pass,2.874714,22.997712,22.929992,1
25,18,Pass,2.874714,8.624142,8.598747,1
24,26,Pass,2.874714,8.624142,8.598747,1
30,25,Pass,8.624142,2.874714,8.598747,1
30,64,Pass,11.498856,5.749428,20.063743,1
28,7,Pass,11.498856,5.749428,20.063743,1
31,6,Pass,2.874714,14.37357,14.331245,1
33,16,Pass,2.874714,11.498856,11.464996,1
32,4,Pass,60.368994,8.624142,120.382458,1
32,4,Pass,8.624142,2.874714,8.598747,1
34,56,Pass,2.874714,8.624142,8.598747,1
36,7,Pass,8.624142,2.874714,8.598747,1
36,7,Pass,48.870138,2.874714,48.726233,1
36,4,Pass,45.995424,2.874714,45.859984,1
39,21,Pass,11.498856,2.874714,11.464996,1
39,21,Pass,11.498856,8.624142,20.063743,1
39,6,Pass,2.874714,14.37357,14.331245,1
38,6,Pass,2.874714,25.872426,25.796241,1
39,60,Pass,8.624142,2.874714,8.598747,1
41,56,Pass,8.624142,8.624142,25.796241,1
40,7,Pass,40.245996,5.749428,60.191229,1
42,25,Pass,2.874714,17.248284,17.197494,1
41,24,Pass,2.874714,8.624142,8.598747,1
43,14,Pass,2.874714,8.624142,8.598747,1
42,6,Pass,68.993136,2.874714,68.789976,1
42,6,Pass,31.621854,2.874714,31.528739,1
42,7,Pass,71.86785,5.749428,100.318715,1
43,15,Pass,2.874714,14.37357,14.331245,1
43,66,Pass,2.874714,11.498856,11.464996,1
49,1,Pass,8.624142,2.874714,8.598747,1
50,6,Pass,11.498856,5.749428,17.197494,1
52,9,Pass,2.874714,11.498856,11.464996,1
54,62,Pass,2.874714,11.498856,11.464996,1
53,6,Pass,89.116134,2.874714,88.853719,1
57,7,Pass,22.997712,2.874714,22.929992,1
58,7,Pass,149.485128,2.874714,149.044948,1
58,7,Pass,8.624142,2.874714,8.598747,1
59,56,Pass,2.874714,31.621854,31.528739,1
60,7,Pass,8.624142,2.874714,8.598747,1
62,11,Pass,5.749428,8.624142,11.464996,1
