[Wafer Information]
Wafer Number,25
Wafer ID,A46-Q336861-352
Job Name,X2L3QBKL_R_08_05
Model Name,EagleT
Lot Number,23C02144-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/02/2024 10:16
End Time,01/02/2024 10:19
Inspection Time,0:03:25
Photo Time,0:12:16
Data Output Time,01/03/2024 09:01

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F13 Pad area damage,F06 Incoming others,F07 Incoming microlens periphery peeling
25,A46-Q336861-352,5518,5336,96.701704,182,223,117,68,23,14,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,20,50,268.137972,8.649612,798.647508,1
11,16,50,17.299224,14.41602,49.014468,4
12,40,50,34.598448,40.364856,282.553992,3
12,40,50,40.245996,51.744852,492.994828,3
17,51,50,8.649612,20.182428,43.24806,4
18,51,50,8.649612,23.065632,51.897672,4
19,51,50,5.766408,17.299224,34.598448,4
21,56,50,8.649612,23.065632,51.897672,4
20,51,50,8.649612,23.065632,49.014468,4
22,56,50,8.649612,23.065632,49.014468,4
22,42,50,46.131264,20.182428,285.437196,3
22,42,50,51.744852,11.498856,189.172434,3
21,42,50,11.532816,11.532816,31.715244,4
21,23,50,11.532816,11.532816,28.83204,4
23,56,50,8.649612,23.065632,49.014468,4
23,51,50,8.649612,23.065632,54.780876,4
25,56,50,8.649612,25.948836,57.66408,4
26,59,50,8.649612,25.948836,57.66408,4
25,59,50,8.649612,23.065632,60.547284,4
27,59,50,8.649612,23.065632,51.897672,4
28,59,50,8.649612,23.065632,57.66408,4
27,56,50,8.649612,23.065632,60.547284,4
29,45,50,8.649612,23.065632,49.014468,4
29,59,50,8.649612,28.83204,60.547284,4
29,53,50,8.649612,23.065632,49.014468,4
30,59,50,8.649612,25.948836,66.313692,4
30,59,50,5.766408,17.299224,34.598448,4
31,59,50,11.532816,23.065632,74.963304,4
31,55,50,8.649612,23.065632,49.014468,4
33,55,50,8.649612,20.182428,43.24806,4
34,48,50,8.649612,23.065632,46.131264,4
35,54,50,8.649612,23.065632,51.897672,4
36,3,50,20.182428,17.299224,77.846508,2
36,24,50,8.649612,20.182428,40.364856,4
37,55,50,8.649612,20.182428,40.364856,4
38,52,50,8.649612,25.948836,63.430488,4
37,52,50,8.649612,23.065632,54.780876,4
37,54,50,8.649612,23.065632,46.131264,4
37,48,50,8.649612,25.948836,54.780876,4
36,54,50,8.649612,25.948836,60.547284,4
38,55,50,8.649612,20.182428,46.131264,4
39,54,50,8.649612,23.065632,54.780876,4
38,54,50,8.649612,23.065632,54.780876,4
39,52,50,8.649612,20.182428,51.897672,4
38,48,50,8.649612,20.182428,43.24806,4
40,52,50,8.649612,25.948836,51.897672,4
40,65,50,181.641852,2315.212812,47425.822596,1
40,65,50,181.641852,3526.158492,93802.158936,1
41,65,50,2220.06708,2315.212812,193318.8282,1
41,65,50,403.64856,429.597396,58990.35384,2
41,65,50,2220.06708,3526.158492,462206.43324,1
41,65,50,403.64856,429.597396,59252.725404,2
42,65,50,792.8811,2315.212812,119704.863672,1
42,65,50,167.225832,426.714192,24331.358556,2
