[Wafer Information]
Wafer Number,9
Wafer ID,A54-Q336861-352
Job Name,X2L3QBKL_R_08_05
Model Name,EagleT
Lot Number,23C02144-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/03/2024 09:07
End Time,01/03/2024 09:11
Inspection Time,0:03:24
Photo Time,0:05:50
Data Output Time,01/03/2024 09:22

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling
9,A54-Q336861-352,4220,4164,98.672986,56,66,36,12,16,1,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,21,50,271.021176,8.649612,758.282652,1
6,21,50,14.41602,8.649612,37.481652,1
11,41,50,8.649612,11.532816,25.948836,4
20,8,50,46.131264,20.182428,259.48836,3
21,29,50,11.532816,8.649612,28.83204,4
24,44,50,11.532816,11.532816,28.83204,4
31,28,50,43.24806,23.065632,239.305932,3
34,23,50,43.24806,25.948836,271.021176,3
38,13,50,46.131264,37.481652,394.998948,3
42,45,50,204.707484,8.649612,608.356044,1
46,47,50,8.649612,23.065632,57.66408,4
48,29,50,11.532816,11.532816,40.364856,4
49,44,50,5.766408,17.299224,34.598448,4
51,33,50,54.780876,25.948836,345.98448,3
51,33,50,51.744852,17.248284,232.166169,3
52,20,50,43.24806,25.948836,256.605156,3
58,39,50,14.41602,11.532816,37.481652,4
63,45,50,8.649612,25.948836,63.430488,4
69,37,50,8.649612,11.532816,28.83204,4
72,13,50,20.182428,14.41602,77.846508,2
77,45,50,11.532816,25.948836,66.313692,4
85,45,50,54.780876,25.948836,325.802052,3
85,45,50,54.619566,22.997712,323.886137,3
85,45,50,2.874714,28.74714,28.66249,1
93,39,50,11.532816,11.532816,37.481652,4
93,25,50,8.649612,20.182428,54.780876,4
15,42,50,60.368994,11.498856,140.446201,3
22,33,50,51.744852,8.624142,103.184964,3
39,43,50,51.744852,14.37357,154.777446,3
55,3,50,60.368994,11.498856,160.509944,3
56,3,50,68.993136,8.624142,146.178699,3
58,0,50,71.86785,11.498856,154.777446,3
69,16,50,63.243708,5.749428,126.114956,3
10,34,50,20.122998,5.749428,25.796241,1
14,45,50,2.874714,11.498856,11.464996,1
14,45,50,2.874714,34.496568,34.394988,1
13,45,50,11.498856,2.874714,11.464996,1
17,43,50,5.749428,54.619566,60.191229,1
17,44,50,8.624142,83.366706,149.044948,1
17,44,50,2.874714,25.872426,25.796241,1
17,44,50,2.874714,14.37357,14.331245,1
20,45,50,5.749428,22.997712,34.394988,1
28,42,50,2.874714,28.74714,28.66249,1
47,45,50,2.874714,25.872426,25.796241,1
54,45,50,2.874714,34.496568,34.394988,1
54,7,50,8.624142,2.874714,8.598747,1
58,4,50,5.749428,43.12071,65.923727,1
62,20,50,5.749428,57.49428,63.057478,1
65,32,50,2.874714,11.498856,11.464996,1
65,43,50,8.624142,8.624142,20.063743,1
69,46,50,2.874714,20.122998,20.063743,1
74,43,50,2.874714,14.37357,14.331245,1
76,11,50,14.37357,5.749428,17.197494,1
76,22,50,2.874714,22.997712,22.929992,1
79,41,50,8.624142,2.874714,8.598747,1
82,45,50,2.874714,28.74714,28.66249,1
82,45,50,2.874714,17.248284,17.197494,1
82,45,50,2.874714,25.872426,25.796241,1
87,20,50,17.248284,5.749428,20.063743,1
86,21,50,17.248284,2.874714,17.197494,1
88,33,50,8.624142,8.624142,17.197494,1
97,44,50,2.874714,20.122998,20.063743,1
97,44,50,2.874714,22.997712,22.929992,1
98,43,50,2.874714,14.37357,14.331245,1
101,43,50,2.874714,8.624142,8.598747,1
101,41,50,11.498856,2.874714,11.464996,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling
9,A54-Q336861-352,4220,4204,99.620853,16,19,16,1,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,21,Pass,271.021176,8.649612,758.282652,1
6,21,Pass,14.41602,8.649612,37.481652,1
11,41,Pass,8.649612,11.532816,25.948836,4
20,8,50,46.131264,20.182428,259.48836,3
21,29,Pass,11.532816,8.649612,28.83204,4
24,44,Pass,11.532816,11.532816,28.83204,4
31,28,50,43.24806,23.065632,239.305932,3
34,23,50,43.24806,25.948836,271.021176,3
