[Wafer Information]
Wafer Number,15
Wafer ID,A83-Q331586-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02177-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/06/2024 02:11
End Time,01/06/2024 02:14
Inspection Time,0:03:20
Photo Time,0:07:29
Data Output Time,01/06/2024 07:38

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling,F13 Pad area damage,F99 Others
15,A83-Q331586-352,5518,5484,99.383835,34,63,33,16,1,11,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
1,38,50,72.0801,20.182428,432.4806,3
4,34,50,49.014468,25.948836,308.502828,3
16,53,50,273.90438,8.649612,775.581876,1
19,38,50,77.846508,23.065632,461.31264,3
19,34,50,43.24806,17.299224,242.189136,3
23,52,50,273.90438,8.649612,807.29712,1
23,52,50,271.021176,8.649612,813.063528,1
23,52,50,271.021176,8.649612,807.29712,1
23,52,50,271.021176,8.649612,807.29712,1
38,1,50,49.014468,23.065632,322.918848,3
40,11,50,86.49612,8.649612,236.422728,1
40,53,50,54.780876,8.649612,155.693016,1
48,5,50,66.313692,23.065632,397.882152,3
54,28,50,51.897672,20.182428,294.086808,3
55,63,50,43.24806,23.065632,296.970012,3
56,1,50,43.24806,23.065632,268.137972,3
60,53,50,230.65632,8.649612,666.020124,1
60,14,50,43.24806,20.182428,262.371564,3
63,14,50,51.897672,23.065632,343.101276,3
67,52,50,271.021176,8.649612,712.151388,1
75,53,50,17.299224,20.182428,89.379324,2
91,42,50,80.729712,8.649612,224.889912,1
94,31,50,54.780876,8.649612,164.342628,1
94,31,50,170.109036,8.649612,495.911088,1
94,42,50,170.109036,8.649612,495.911088,1
94,42,50,80.729712,8.649612,233.539524,1
103,34,50,69.196896,20.182428,409.414968,3
41,16,50,2181.907926,3763.000626,25154.201224,1
41,16,50,405.334674,428.332386,58778.168243,3
41,16,50,396.710532,419.708244,56473.704047,3
41,16,50,2190.532068,1972.053804,26369.4908,1
41,16,50,86.24142,45.995424,1341.404532,63
41,16,50,77.617278,273.09783,7271.673713,63
40,16,50,402.45996,428.332386,58672.11703,3
40,16,50,954.405048,1972.053804,12370.730684,1
40,17,50,954.405048,2124.413646,13170.414155,1
41,17,50,11.498856,2107.165362,8403.842068,1
41,17,50,2187.657354,2124.413646,19318.51826,1
41,17,50,402.45996,428.332386,58852.690717,3
40,49,50,8.624142,91.990848,194.904932,3
43,49,50,8.624142,120.737988,292.357398,3
43,49,50,8.624142,54.619566,134.713703,3
67,1,50,1276.373016,3774.499482,27074.588054,1
67,1,50,405.334674,428.332386,58763.836998,3
67,1,50,103.489704,428.332386,14881.564808,3
68,1,50,2190.532068,3774.499482,51363.18208,1
68,1,50,86.24142,48.870138,1344.270781,63
68,1,50,80.491992,270.223116,7274.539962,63
68,1,50,405.334674,428.332386,58818.295729,3
68,1,50,402.45996,428.332386,58838.359472,3
67,2,50,97.740276,419.708244,13488.567794,3
68,2,50,396.710532,419.708244,56470.837798,3
80,53,50,8.624142,284.596686,662.103519,3
80,53,50,22.997712,57.49428,149.044948,3
80,53,50,8.624142,244.35069,573.2498,3
80,53,50,22.997712,60.368994,157.643695,3
80,53,50,8.624142,66.118422,160.509944,3
80,53,50,22.997712,54.619566,143.31245,3
80,53,50,11.498856,51.744852,120.382458,3
81,53,50,17.248284,333.466824,791.084724,3
81,53,50,11.498856,123.612702,283.758651,3
81,53,50,8.624142,132.236844,289.491149,3
81,53,50,8.624142,77.617278,166.242442,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling,F13 Pad area damage,F99 Others
15,A83-Q331586-352,5518,5494,99.56506,24,48,15,2,7,4,20

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
1,38,50,72.0801,20.182428,432.4806,3
4,34,50,49.014468,25.948836,308.502828,3
16,53,Pass,273.90438,8.649612,775.581876,1
19,38,50,77.846508,23.065632,461.31264,3
19,34,50,43.24806,17.299224,242.189136,3
23,52,Pass,273.90438,8.649612,807.29712,1
23,52,Pass,271.021176,8.649612,813.063528,1
23,52,Pass,271.021176,8.649612,807.29712,1
23,52,Pass,271.021176,8.649612,807.29712,1
38,1,50,49.014468,23.065632,322.918848,3
40,11,Pass,86.49612,8.649612,236.422728,1
40,53,Pass,54.780876,8.649612,155.693016,1
48,5,50,66.313692,23.065632,397.882152,3
54,28,50,51.897672,20.182428,294.086808,3
55,63,50,43.24806,23.065632,296.970012,3
56,1,50,43.24806,23.065632,268.137972,3
60,53,Pass,230.65632,8.649612,666.020124,1
60,14,50,43.24806,20.182428,262.371564,3
63,14,50,51.897672,23.065632,343.101276,3
67,52,Pass,271.021176,8.649612,712.151388,1
75,53,50,17.299224,20.182428,89.379324,2
91,42,Pass,80.729712,8.649612,224.889912,1
94,31,Pass,54.780876,8.649612,164.342628,1
94,31,Pass,170.109036,8.649612,495.911088,1
94,42,Pass,170.109036,8.649612,495.911088,1
94,42,Pass,80.729712,8.649612,233.539524,1
103,34,50,69.196896,20.182428,409.414968,3
41,16,50,2181.907926,3763.000626,25154.201224,1
41,16,50,405.334674,428.332386,58778.168243,3
41,16,50,396.710532,419.708244,56473.704047,3
41,16,50,2190.532068,1972.053804,26369.4908,1
41,16,50,86.24142,45.995424,1341.404532,63
41,16,50,77.617278,273.09783,7271.673713,63
40,16,50,402.45996,428.332386,58672.11703,3
40,16,50,954.405048,1972.053804,12370.730684,1
40,17,Pass,954.405048,2124.413646,13170.414155,1
41,17,50,11.498856,2107.165362,8403.842068,1
41,17,50,2187.657354,2124.413646,19318.51826,1
41,17,50,402.45996,428.332386,58852.690717,3
40,49,50,8.624142,91.990848,194.904932,3
43,49,50,8.624142,120.737988,292.357398,3
43,49,50,8.624142,54.619566,134.713703,3
67,1,50,1276.373016,3774.499482,27074.588054,1
67,1,50,405.334674,428.332386,58763.836998,3
67,1,50,103.489704,428.332386,14881.564808,3
68,1,50,2190.532068,3774.499482,51363.18208,1
68,1,50,86.24142,48.870138,1344.270781,63
68,1,50,80.491992,270.223116,7274.539962,63
68,1,50,405.334674,428.332386,58818.295729,3
68,1,50,402.45996,428.332386,58838.359472,3
67,2,50,97.740276,419.708244,13488.567794,3
68,2,50,396.710532,419.708244,56470.837798,3
80,53,50,8.624142,284.596686,662.103519,3
80,53,50,22.997712,57.49428,149.044948,3
80,53,50,8.624142,244.35069,573.2498,3
80,53,50,22.997712,60.368994,157.643695,3
80,53,50,8.624142,66.118422,160.509944,3
80,53,50,22.997712,54.619566,143.31245,3
80,53,50,11.498856,51.744852,120.382458,3
81,53,50,17.248284,333.466824,791.084724,3
81,53,50,11.498856,123.612702,283.758651,3
81,53,50,8.624142,132.236844,289.491149,3
81,53,50,8.624142,77.617278,166.242442,3

