[Wafer Information]
Wafer Number,11
Wafer ID,A08-Q335634-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02237-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/03/2024 02:13
End Time,01/03/2024 02:17
Inspection Time,0:03:21
Photo Time,0:05:14
Data Output Time,01/03/2024 03:02

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others
11,A08-Q335634-352,5518,5477,99.256977,41,63,30,28,1,4

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,36,50,271.021176,8.649612,769.815468,1
6,22,50,43.24806,20.182428,242.189136,3
12,18,50,54.780876,8.649612,158.57622,1
14,18,50,273.90438,8.649612,720.801,1
15,15,50,83.612916,23.065632,504.5607,3
16,38,50,57.66408,20.182428,322.918848,3
19,19,50,230.65632,8.649612,648.7209,1
19,19,50,271.021176,8.649612,738.100224,1
19,19,50,57.66408,8.649612,155.693016,1
20,20,50,74.963304,8.649612,196.057872,1
25,38,50,66.313692,23.065632,389.23254,3
30,5,50,49.014468,17.299224,273.90438,3
32,38,50,95.145732,20.182428,570.874392,3
35,24,50,14.41602,20.182428,74.963304,2
38,10,50,46.131264,20.182428,250.838748,3
38,8,50,54.780876,23.065632,337.334868,3
40,19,50,273.90438,8.649612,804.413916,1
40,19,50,253.721952,8.649612,735.21702,1
40,57,50,54.780876,8.649612,152.809812,1
45,19,50,54.780876,23.065632,331.56846,3
52,40,50,51.897672,20.182428,288.3204,3
58,0,50,51.897672,25.948836,334.451664,3
60,19,50,60.547284,20.182428,394.998948,3
62,11,50,72.0801,23.065632,438.247008,3
63,19,50,273.90438,8.649612,789.997896,1
63,19,50,271.021176,8.649612,813.063528,1
66,22,50,37.481652,34.598448,369.050112,3
66,25,50,51.897672,20.182428,308.502828,3
73,36,50,54.780876,8.649612,152.809812,1
77,4,50,43.24806,23.065632,279.670788,3
77,49,50,89.379324,25.948836,559.341576,3
83,57,50,213.357096,8.649612,637.188084,1
82,57,50,271.021176,8.649612,749.63304,1
89,32,50,57.66408,25.948836,386.349336,3
91,35,50,54.780876,8.649612,147.043404,1
94,36,50,273.90438,8.649612,815.946732,1
94,36,50,271.021176,8.649612,810.180324,1
94,36,50,271.021176,8.649612,813.063528,1
93,35,50,273.90438,8.649612,726.567408,1
97,32,50,66.313692,20.182428,389.23254,3
86,46,50,20.122998,5.749428,31.528739,1
96,50,50,11.498856,2.874714,11.464996,1
9,37,50,8.624142,57.49428,131.847454,3
9,37,50,8.624142,71.86785,146.178699,3
52,44,50,393.835818,416.83353,55843.129267,3
52,44,50,5.749428,17.248284,34.394988,1
52,44,50,5.749428,11.498856,22.929992,1
52,44,50,393.835818,413.958816,54321.151048,3
52,44,50,2190.532068,1218.878736,18805.459689,1
52,44,50,86.24142,45.995424,1327.073287,63
52,44,50,77.617278,270.223116,7268.807464,63
52,44,50,402.45996,264.473688,36243.718605,3
53,44,50,393.835818,413.958816,53805.226228,3
53,44,50,1138.386744,1218.878736,9791.106584,1
53,44,50,86.24142,48.870138,1358.602026,63
53,44,50,77.617278,270.223116,7274.539962,63
52,45,50,11.498856,2860.34043,11404.804771,1
52,45,50,2187.657354,2877.588714,22322.347212,1
52,45,50,405.334674,428.332386,58889.951954,3
52,45,50,402.45996,428.332386,58872.75446,3
53,45,50,11.498856,2860.34043,11379.00853,1
53,45,50,405.334674,428.332386,58846.958219,3
53,45,50,1135.51203,14.37357,5660.841775,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others
11,A08-Q335634-352,5518,5498,99.63755,20,20,19,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,36,Pass,271.021176,8.649612,769.815468,1
6,22,50,43.24806,20.182428,242.189136,3
12,18,Pass,54.780876,8.649612,158.57622,1
14,18,Pass,273.90438,8.649612,720.801,1
