[Wafer Information]
Wafer Number,15
Wafer ID,A06-Q332894-352
Job Name,X2L3QBKL_R_08_05
Model Name,EagleT
Lot Number,23C02243-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/04/2024 06:20
End Time,01/04/2024 06:24
Inspection Time,0:03:24
Photo Time,0:14:23
Data Output Time,01/04/2024 01:14

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F13 Pad area damage,F07 Incoming microlens periphery peeling,F29 Silicon powder,F06 Incoming others,F99 Others
15,A06-Q332894-352,5518,5384,97.571584,134,207,111,36,43,1,16

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,39,50,271.021176,11.532816,813.063528,1
11,21,50,14.41602,20.182428,83.612916,2
16,10,50,14.41602,8.649612,28.83204,4
17,38,50,34.598448,8.649612,98.028936,1
19,55,50,11.532816,20.182428,63.430488,2
22,14,50,20.182428,17.299224,95.145732,2
23,43,50,28.83204,11.532816,89.379324,4
23,43,50,60.547284,11.532816,196.057872,4
27,4,50,17.299224,20.182428,89.379324,2
27,4,50,2.874714,11.498856,11.464996,1
28,20,50,17.299224,20.182428,92.262528,2
28,32,50,49.014468,20.182428,273.90438,3
28,32,50,51.744852,14.37357,192.038683,3
32,23,50,17.299224,20.182428,80.729712,2
39,43,50,17.299224,20.182428,95.145732,2
46,50,50,8.649612,14.41602,34.598448,4
47,4,50,14.41602,8.649612,31.715244,4
49,17,50,43.24806,25.948836,285.437196,3
56,20,50,66.313692,11.532816,193.174668,4
56,20,50,20.182428,8.649612,46.131264,4
59,16,50,17.299224,20.182428,89.379324,2
59,22,50,17.299224,20.182428,74.963304,2
60,24,50,20.182428,17.299224,92.262528,2
63,22,50,20.182428,17.299224,89.379324,2
67,3,50,31.715244,17.299224,77.846508,1
67,3,50,40.245996,20.122998,128.981205,1
70,61,50,51.897672,20.182428,308.502828,3
70,61,50,51.744852,14.37357,217.834924,3
74,40,50,2220.06708,2940.86808,94497.0111,1
74,40,50,115.32816,109.561752,1424.302776,4
74,40,50,400.765356,423.830988,58076.378172,2
74,40,50,112.444956,112.444956,1490.616468,4
74,40,50,112.444956,106.678548,1652.075892,4
74,40,50,112.444956,109.561752,1554.046956,4
74,40,50,181.641852,167.225832,3621.304224,63
74,40,50,112.444956,112.444956,1706.856768,4
74,40,50,400.765356,423.830988,58041.779724,2
74,40,50,112.444956,106.678548,1698.207156,4
74,40,50,115.32816,109.561752,1724.155992,4
74,40,50,28.83204,74.963304,749.63304,63
74,40,50,115.32816,109.561752,1669.375116,4
74,40,50,28.83204,222.006708,2217.183876,63
74,40,50,170.109036,181.641852,3237.838092,63
74,40,50,112.444956,106.678548,1724.155992,4
75,40,50,1683.791136,2940.86808,54354.161808,1
75,40,50,95.145732,1481.966856,5331.044196,4
75,40,50,265.254768,423.830988,38591.68554,2
75,40,50,115.32816,109.561752,1732.805604,4
75,40,50,400.765356,423.830988,58082.14458,2
75,40,50,115.32816,106.678548,1741.455216,4
75,40,50,115.32816,109.561752,1758.75444,4
75,40,50,28.83204,74.963304,749.63304,63
75,40,50,115.32816,106.678548,1721.272788,4
75,40,50,170.109036,184.525056,3275.319744,63
75,40,50,112.444956,106.678548,1755.871236,4
74,39,50,2220.06708,1193.646456,52932.742236,1
74,39,50,934.158096,198.941076,20851.331328,63
74,39,50,112.444956,106.678548,1274.376168,4
74,39,50,475.72866,478.611864,75756.1851,2
74,39,50,112.444956,106.678548,1718.389584,4
74,39,50,115.32816,106.678548,1669.375116,4
74,39,50,138.393792,37.481652,1672.25832,63
74,39,50,112.444956,103.795344,1369.5219,4
74,39,50,115.32816,109.561752,1689.557544,4
74,39,50,112.444956,106.678548,1395.470736,4
74,39,50,400.765356,227.773116,31222.216116,2
74,39,50,112.444956,109.561752,1470.43404,4
75,39,50,1683.791136,1193.646456,31974.73236,1
75,39,50,934.158096,198.941076,20906.112204,63
75,39,50,112.444956,106.678548,1285.908984,4
75,39,50,475.72866,478.611864,75646.623348,2
75,39,50,265.254768,227.773116,20741.769576,2
88,31,50,392.115744,415.181376,29893.059072,2
88,31,50,14.41602,311.386032,1461.784428,2
88,31,50,14.41602,311.386032,1366.638696,2
88,31,50,14.41602,311.386032,1539.630936,2
89,31,50,392.115744,415.181376,29538.42498,2
89,31,50,17.299224,311.386032,1496.382876,2
89,31,50,14.41602,311.386032,1398.35394,2
89,31,50,14.41602,311.386032,1542.51414,2
88,30,50,392.115744,415.181376,52655.954652,2
88,30,50,392.115744,296.970012,19450.094184,2
88,30,50,14.41602,245.07234,1032.187032,2
88,30,50,14.41602,245.07234,977.406156,2
88,30,50,14.41602,245.07234,1150.398396,2
89,30,50,392.115744,296.970012,19210.788252,2
89,30,50,14.41602,245.07234,1086.967908,2
89,30,50,14.41602,245.07234,994.70538,2
89,30,50,14.41602,245.07234,1173.464028,2
91,12,50,5.766408,11.532816,23.065632,4
98,20,50,14.41602,5.766408,28.83204,4
98,20,50,51.897672,8.649612,126.860976,4
98,20,50,23.065632,8.649612,54.780876,4
14,43,50,51.744852,11.498856,128.981205,3
14,28,50,63.243708,8.624142,137.579952,3
14,32,50,51.744852,14.37357,192.038683,3
18,30,50,80.491992,11.498856,232.166169,3
20,55,50,57.49428,14.37357,229.29992,3
