[Wafer Information]
Wafer Number,13
Wafer ID,A07-Q332894-352
Job Name,X2L3QBKL_R_08_05
Model Name,EagleT
Lot Number,23C02243-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/04/2024 06:43
End Time,01/04/2024 06:46
Inspection Time,0:03:25
Photo Time,0:12:53
Data Output Time,01/04/2024 01:14

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F13 Pad area damage,F99 Others
13,A07-Q332894-352,5517,5411,98.078666,106,452,19,415,9,9

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,39,50,54.780876,25.948836,340.218072,3
6,39,50,54.619566,20.122998,229.29992,3
11,38,50,43.24806,25.948836,291.203604,3
17,27,50,8.649612,20.182428,49.014468,1
18,14,50,57.66408,11.532816,161.459424,4
18,14,50,25.948836,11.532816,86.49612,4
25,17,50,14.41602,20.182428,74.963304,2
32,52,50,17.299224,20.182428,86.49612,2
33,29,50,8.649612,14.41602,31.715244,4
40,26,50,14.41602,20.182428,72.0801,2
39,21,50,11.532816,5.766408,23.065632,4
43,37,50,25.948836,20.182428,77.846508,4
42,4,50,40.364856,34.598448,331.56846,3
50,25,50,63.430488,25.948836,394.998948,3
50,25,50,66.118422,22.997712,361.147374,3
55,40,50,14.41602,20.182428,72.0801,2
56,52,50,20.182428,20.182428,95.145732,2
61,35,50,40.364856,40.364856,343.101276,3
61,55,50,17.299224,20.182428,92.262528,2
67,52,50,17.299224,5.766408,34.598448,4
69,29,50,60.547284,11.532816,170.109036,4
69,29,50,23.065632,8.649612,57.66408,4
70,53,50,17.299224,20.182428,80.729712,2
81,37,50,17.299224,20.182428,86.49612,2
88,31,50,17.299224,20.182428,83.612916,2
94,38,50,8.649612,11.532816,25.948836,4
9,42,50,57.49428,8.624142,126.114956,3
24,13,50,63.243708,11.498856,197.771181,3
29,5,50,63.243708,14.37357,194.904932,3
32,25,50,66.118422,20.122998,278.026153,3
37,9,50,54.619566,8.624142,128.981205,3
39,4,50,51.744852,11.498856,106.051213,3
53,48,50,71.86785,22.997712,186.306185,3
58,60,50,57.49428,20.122998,237.898667,3
64,16,50,66.118422,14.37357,220.701173,3
75,27,50,54.619566,11.498856,120.382458,3
81,15,50,54.619566,8.624142,114.64996,3
96,23,50,77.617278,11.498856,269.427406,3
3,29,50,2.874714,11.498856,11.464996,1
3,25,50,8.624142,2.874714,8.598747,1
6,30,50,2.874714,8.624142,8.598747,1
7,20,50,5.749428,11.498856,17.197494,1
10,29,50,2.874714,37.371282,37.261237,1
12,32,50,2.874714,22.997712,22.929992,1
16,28,50,2.874714,8.624142,8.598747,1
18,28,50,2.874714,11.498856,11.464996,1
19,12,50,5.749428,25.872426,34.394988,1
21,13,50,11.498856,8.624142,20.063743,1
20,12,50,2.874714,8.624142,8.598747,1
21,11,50,14.37357,2.874714,14.331245,1
24,9,50,2.874714,28.74714,28.66249,1
23,22,50,5.749428,45.995424,63.057478,1
25,8,50,8.624142,2.874714,8.598747,1
26,13,50,2.874714,8.624142,8.598747,1
28,55,50,2.874714,8.624142,8.598747,1
29,50,50,2.874714,14.37357,14.331245,1
30,36,50,8.624142,40.245996,65.923727,1
30,57,50,2.874714,14.37357,14.331245,1
30,57,50,2.874714,25.872426,25.796241,1
31,31,50,2.874714,17.248284,17.197494,1
31,56,50,2.874714,17.248284,17.197494,1
31,25,50,14.37357,2.874714,14.331245,1
37,6,50,2.874714,8.624142,8.598747,1
37,43,50,2.874714,20.122998,20.063743,1
38,2,50,20.122998,8.624142,40.127486,1
38,2,50,8.624142,2.874714,8.598747,1
40,2,50,11.498856,2.874714,11.464996,1
40,49,50,5.749428,28.74714,34.394988,1
40,49,50,5.749428,20.122998,22.929992,1
40,49,50,8.624142,5.749428,11.464996,1
41,58,50,2.874714,14.37357,14.331245,1
41,58,50,2.874714,8.624142,8.598747,1
41,58,50,2.874714,8.624142,8.598747,1
42,35,50,5.749428,8.624142,17.197494,1
47,13,50,2.874714,8.624142,8.598747,1
48,6,50,8.624142,2.874714,8.598747,1
50,45,50,2.874714,8.624142,8.598747,1
49,17,50,2213.52978,2406.135618,24474.900211,1
49,17,50,5.749428,8.624142,11.464996,1
49,17,50,5.749428,11.498856,17.197494,1
49,17,50,5.749428,11.498856,17.197494,1
49,17,50,5.749428,11.498856,14.331245,1
49,17,50,5.749428,11.498856,17.197494,1
49,17,50,5.749428,11.498856,14.331245,1
49,17,50,5.749428,17.248284,22.929992,1
49,17,50,5.749428,146.610414,166.242442,1
49,17,50,5.749428,17.248284,20.063743,1
49,17,50,5.749428,17.248284,20.063743,1
49,17,50,5.749428,11.498856,14.331245,1
49,17,50,5.749428,25.872426,31.528739,1
49,17,50,5.749428,11.498856,14.331245,1
49,17,50,5.749428,17.248284,25.796241,1
49,17,50,2.874714,11.498856,11.464996,1
49,17,50,5.749428,17.248284,22.929992,1
49,17,50,5.749428,17.248284,22.929992,1
49,17,50,5.749428,51.744852,63.057478,1
49,17,50,5.749428,37.371282,45.859984,1
49,17,50,5.749428,17.248284,22.929992,1
49,17,50,5.749428,11.498856,14.331245,1
49,17,50,5.749428,11.498856,14.331245,1
49,17,50,5.749428,11.498856,17.197494,1
49,17,50,5.749428,11.498856,17.197494,1
49,17,50,5.749428,11.498856,17.197494,1
49,17,50,5.749428,11.498856,17.197494,1
49,17,50,5.749428,17.248284,25.796241,1
49,17,50,5.749428,11.498856,20.063743,1
49,17,50,5.749428,17.248284,25.796241,1
49,17,50,5.749428,11.498856,17.197494,1
49,17,50,5.749428,17.248284,25.796241,1
49,17,50,5.749428,17.248284,25.796241,1
49,17,50,5.749428,11.498856,17.197494,1
49,17,50,5.749428,11.498856,17.197494,1
49,17,50,5.749428,11.498856,17.197494,1
49,17,50,5.749428,17.248284,28.66249,1
49,17,50,5.749428,11.498856,14.331245,1
49,17,50,5.749428,11.498856,17.197494,1
49,17,50,5.749428,11.498856,17.197494,1
49,17,50,5.749428,11.498856,17.197494,1
49,17,50,2.874714,11.498856,11.464996,1
49,17,50,2.874714,11.498856,11.464996,1
49,17,50,5.749428,11.498856,14.331245,1
49,17,50,5.749428,17.248284,22.929992,1
49,17,50,5.749428,11.498856,14.331245,1
49,17,50,5.749428,11.498856,17.197494,1
49,17,50,5.749428,11.498856,14.331245,1
49,17,50,5.749428,11.498856,17.197494,1
49,17,50,5.749428,11.498856,17.197494,1
49,17,50,5.749428,11.498856,17.197494,1
49,17,50,5.749428,11.498856,20.063743,1
