[Wafer Information]
Wafer Number,25
Wafer ID,A117-Q335673-402
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02453-012Q
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/20/2024 08:07
End Time,01/20/2024 08:10
Inspection Time,0:03:21
Photo Time,0:09:59
Data Output Time,01/20/2024 08:39

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F99 Others,F06 Incoming others
25,A117-Q335673-402,5518,5437,98.532077,81,106,16,89,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
12,24,50,57.66408,43.24806,593.940024,3
12,24,50,66.118422,51.744852,888.53719,3
12,47,50,190.291464,8.649612,550.691964,1
12,46,50,43.24806,17.299224,239.305932,3
13,53,50,43.24806,23.065632,259.48836,3
23,37,50,72.0801,20.182428,446.89662,3
24,55,50,40.364856,23.065632,236.422728,3
23,56,50,43.24806,20.182428,236.422728,3
26,10,50,271.021176,8.649612,813.063528,1
26,10,50,271.021176,8.649612,813.063528,1
26,10,50,271.021176,8.649612,810.180324,1
26,10,50,135.510588,8.649612,406.531764,1
26,10,50,271.021176,8.649612,810.180324,1
26,10,50,57.66408,8.649612,164.342628,1
30,44,50,51.897672,25.948836,328.685256,3
31,55,50,8.649612,155.693016,458.429436,1
32,34,50,273.90438,8.649612,746.749836,1
35,41,50,43.24806,25.948836,291.203604,3
40,37,50,40.364856,34.598448,265.254768,3
71,35,50,54.780876,20.182428,322.918848,3
77,17,50,268.137972,8.649612,769.815468,1
80,5,50,11.532816,20.182428,63.430488,2
80,40,50,72.0801,23.065632,423.830988,3
85,51,50,43.24806,23.065632,282.553992,3
98,36,50,40.364856,28.83204,320.035644,3
2,24,50,2.874714,5.749428,5.732498,1
5,30,50,2.874714,8.624142,8.598747,1
5,30,50,5.749428,43.12071,68.789976,1
8,51,50,2.874714,5.749428,5.732498,1
8,51,50,2.874714,20.122998,20.063743,1
9,45,50,2.874714,11.498856,11.464996,1
8,40,50,2.874714,5.749428,5.732498,1
9,25,50,2.874714,8.624142,8.598747,1
10,25,50,5.749428,37.371282,51.592482,1
10,25,50,5.749428,66.118422,88.853719,1
11,32,50,2.874714,11.498856,11.464996,1
11,32,50,5.749428,17.248284,25.796241,1
11,41,50,2.874714,8.624142,8.598747,1
14,32,50,2.874714,8.624142,8.598747,1
14,26,50,5.749428,2.874714,5.732498,1
16,51,50,2.874714,14.37357,14.331245,1
20,23,50,2.874714,28.74714,28.66249,1
23,30,50,2.874714,8.624142,8.598747,1
24,27,50,2.874714,34.496568,34.394988,1
31,5,50,2.874714,8.624142,8.598747,1
30,26,50,20.122998,2.874714,20.063743,1
35,32,50,2.874714,5.749428,5.732498,1
36,25,50,11.498856,5.749428,14.331245,1
36,25,50,5.749428,5.749428,11.464996,1
36,25,50,2.874714,5.749428,5.732498,1
38,52,50,5.749428,31.621854,42.993735,1
38,52,50,2.874714,5.749428,5.732498,1
39,52,50,2.874714,5.749428,5.732498,1
40,18,50,2.874714,48.870138,48.726233,1
37,25,50,5.749428,5.749428,8.598747,1
40,30,50,2.874714,8.624142,8.598747,1
38,29,50,2.874714,20.122998,20.063743,1
38,29,50,2.874714,5.749428,5.732498,1
41,30,50,2.874714,5.749428,5.732498,1
41,30,50,2.874714,20.122998,20.063743,1
42,29,50,2.874714,5.749428,5.732498,1
43,36,50,2.874714,14.37357,14.331245,1
43,36,50,5.749428,11.498856,14.331245,1
43,53,50,5.749428,8.624142,11.464996,1
48,41,50,8.624142,2.874714,8.598747,1
49,38,50,2.874714,8.624142,8.598747,1
58,28,50,2.874714,8.624142,8.598747,1
58,31,50,2.874714,11.498856,11.464996,1
58,31,50,2.874714,8.624142,8.598747,1
59,29,50,2.874714,22.997712,22.929992,1
59,29,50,2.874714,28.74714,28.66249,1
60,29,50,2.874714,8.624142,8.598747,1
60,39,50,2.874714,28.74714,28.66249,1
63,43,50,2.874714,5.749428,5.732498,1
63,35,50,2.874714,5.749428,5.732498,1
64,31,50,2.874714,5.749428,5.732498,1
68,38,50,2.874714,8.624142,8.598747,1
66,56,50,2.874714,14.37357,14.331245,1
67,2,50,2.874714,5.749428,5.732498,1
68,28,50,2.874714,8.624142,8.598747,1
67,33,50,2.874714,5.749428,5.732498,1
72,44,50,2.874714,14.37357,14.331245,1
71,43,50,2.874714,5.749428,5.732498,1
73,28,50,2.874714,11.498856,11.464996,1
73,44,50,2.874714,11.498856,11.464996,1
73,44,50,2.874714,5.749428,5.732498,1
73,44,50,2.874714,5.749428,5.732498,1
74,41,50,34.496568,2.874714,34.394988,1
76,51,50,2.874714,5.749428,5.732498,1
76,51,50,2.874714,5.749428,5.732498,1
77,45,50,2.874714,5.749428,5.732498,1
77,43,50,2.874714,8.624142,8.598747,1
81,51,50,2.874714,8.624142,8.598747,1
81,51,50,2.874714,11.498856,11.464996,1
82,35,50,2.874714,11.498856,11.464996,1
83,31,50,2.874714,5.749428,5.732498,1
90,26,50,2.874714,37.371282,37.261237,1
94,26,50,2.874714,11.498856,11.464996,1
94,26,50,2.874714,11.498856,11.464996,1
94,26,50,2.874714,5.749428,5.732498,1
96,27,50,2.874714,14.37357,14.331245,1
100,25,50,2.874714,22.997712,22.929992,1
100,25,50,2.874714,5.749428,5.732498,1
101,25,50,5.749428,71.86785,103.184964,1
40,24,50,28.74714,54.619566,286.6249,3
91,27,50,71.86785,40.245996,621.976033,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F99 Others,F06 Incoming others
25,A117-Q335673-402,5518,5503,99.728162,15,15,12,1,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
12,24,Pass,57.66408,43.24806,593.940024,3
12,24,Pass,66.118422,51.744852,888.53719,3
12,47,Pass,190.291464,8.649612,550.691964,1
12,46,50,43.24806,17.299224,239.305932,3
13,53,50,43.24806,23.065632,259.48836,3
23,37,50,72.0801,20.182428,446.89662,3
24,55,50,40.364856,23.065632,236.422728,3
23,56,50,43.24806,20.182428,236.422728,3
26,10,Pass,271.021176,8.649612,813.063528,1
26,10,Pass,271.021176,8.649612,813.063528,1
26,10,Pass,271.021176,8.649612,810.180324,1
26,10,Pass,135.510588,8.649612,406.531764,1
26,10,Pass,271.021176,8.649612,810.180324,1
26,10,Pass,57.66408,8.649612,164.342628,1
30,44,50,51.897672,25.948836,328.685256,3
31,55,50,8.649612,155.693016,458.429436,1
32,34,Pass,273.90438,8.649612,746.749836,1
35,41,50,43.24806,25.948836,291.203604,3
40,37,50,40.364856,34.598448,265.254768,3
71,35,50,54.780876,20.182428,322.918848,3
77,17,Pass,268.137972,8.649612,769.815468,1
80,5,50,11.532816,20.182428,63.430488,2
80,40,50,72.0801,23.065632,423.830988,3
85,51,50,43.24806,23.065632,282.553992,3
98,36,50,40.364856,28.83204,320.035644,3
2,24,Pass,2.874714,5.749428,5.732498,1
5,30,Pass,2.874714,8.624142,8.598747,1
5,30,Pass,5.749428,43.12071,68.789976,1
8,51,Pass,2.874714,5.749428,5.732498,1
8,51,Pass,2.874714,20.122998,20.063743,1
9,45,Pass,2.874714,11.498856,11.464996,1
8,40,Pass,2.874714,5.749428,5.732498,1
9,25,Pass,2.874714,8.624142,8.598747,1
10,25,Pass,5.749428,37.371282,51.592482,1
10,25,Pass,5.749428,66.118422,88.853719,1
11,32,Pass,2.874714,11.498856,11.464996,1
11,32,Pass,5.749428,17.248284,25.796241,1
11,41,Pass,2.874714,8.624142,8.598747,1
14,32,Pass,2.874714,8.624142,8.598747,1
14,26,Pass,5.749428,2.874714,5.732498,1
16,51,Pass,2.874714,14.37357,14.331245,1
20,23,Pass,2.874714,28.74714,28.66249,1
23,30,Pass,2.874714,8.624142,8.598747,1
24,27,Pass,2.874714,34.496568,34.394988,1
31,5,Pass,2.874714,8.624142,8.598747,1
30,26,Pass,20.122998,2.874714,20.063743,1
35,32,Pass,2.874714,5.749428,5.732498,1
36,25,Pass,11.498856,5.749428,14.331245,1
36,25,Pass,5.749428,5.749428,11.464996,1
36,25,Pass,2.874714,5.749428,5.732498,1
38,52,Pass,5.749428,31.621854,42.993735,1
38,52,Pass,2.874714,5.749428,5.732498,1
39,52,Pass,2.874714,5.749428,5.732498,1
40,18,Pass,2.874714,48.870138,48.726233,1
37,25,Pass,5.749428,5.749428,8.598747,1
40,30,Pass,2.874714,8.624142,8.598747,1
38,29,Pass,2.874714,20.122998,20.063743,1
38,29,Pass,2.874714,5.749428,5.732498,1
41,30,Pass,2.874714,5.749428,5.732498,1
41,30,Pass,2.874714,20.122998,20.063743,1
42,29,Pass,2.874714,5.749428,5.732498,1
43,36,Pass,2.874714,14.37357,14.331245,1
43,36,Pass,5.749428,11.498856,14.331245,1
43,53,Pass,5.749428,8.624142,11.464996,1
48,41,Pass,8.624142,2.874714,8.598747,1
49,38,Pass,2.874714,8.624142,8.598747,1
58,28,Pass,2.874714,8.624142,8.598747,1
58,31,Pass,2.874714,11.498856,11.464996,1
58,31,Pass,2.874714,8.624142,8.598747,1
59,29,Pass,2.874714,22.997712,22.929992,1
59,29,Pass,2.874714,28.74714,28.66249,1
60,29,Pass,2.874714,8.624142,8.598747,1
60,39,Pass,2.874714,28.74714,28.66249,1
63,43,Pass,2.874714,5.749428,5.732498,1
63,35,Pass,2.874714,5.749428,5.732498,1
64,31,Pass,2.874714,5.749428,5.732498,1
68,38,Pass,2.874714,8.624142,8.598747,1
66,56,Pass,2.874714,14.37357,14.331245,1
67,2,Pass,2.874714,5.749428,5.732498,1
68,28,Pass,2.874714,8.624142,8.598747,1
67,33,Pass,2.874714,5.749428,5.732498,1
72,44,Pass,2.874714,14.37357,14.331245,1
71,43,Pass,2.874714,5.749428,5.732498,1
73,28,Pass,2.874714,11.498856,11.464996,1
73,44,Pass,2.874714,11.498856,11.464996,1
73,44,Pass,2.874714,5.749428,5.732498,1
73,44,Pass,2.874714,5.749428,5.732498,1
74,41,Pass,34.496568,2.874714,34.394988,1
76,51,Pass,2.874714,5.749428,5.732498,1
76,51,Pass,2.874714,5.749428,5.732498,1
77,45,Pass,2.874714,5.749428,5.732498,1
77,43,Pass,2.874714,8.624142,8.598747,1
81,51,Pass,2.874714,8.624142,8.598747,1
81,51,Pass,2.874714,11.498856,11.464996,1
82,35,Pass,2.874714,11.498856,11.464996,1
83,31,Pass,2.874714,5.749428,5.732498,1
90,26,Pass,2.874714,37.371282,37.261237,1
94,26,Pass,2.874714,11.498856,11.464996,1
94,26,Pass,2.874714,11.498856,11.464996,1
94,26,Pass,2.874714,5.749428,5.732498,1
96,27,Pass,2.874714,14.37357,14.331245,1
100,25,Pass,2.874714,22.997712,22.929992,1
100,25,Pass,2.874714,5.749428,5.732498,1
101,25,Pass,5.749428,71.86785,103.184964,1
40,24,50,28.74714,54.619566,286.6249,3
91,27,Pass,71.86785,40.245996,621.976033,3

