[Wafer Information]
Wafer Number,23
Wafer ID,A118-Q335673-402
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02453-012Q
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/20/2024 08:21
End Time,01/20/2024 08:24
Inspection Time,0:03:21
Photo Time,0:04:18
Data Output Time,01/20/2024 08:41

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F82 Top side chipping no damage sensor area
23,A118-Q335673-402,4756,4715,99.137931,41,49,15,5,29

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
1,29,50,89.379324,23.065632,550.691964,3
2,39,50,57.66408,51.897672,694.852164,2
3,26,50,273.90438,8.649612,740.983428,1
5,36,50,276.787584,8.649612,810.180324,1
5,36,50,271.021176,8.649612,772.698672,1
5,36,50,273.90438,8.649612,775.581876,1
5,36,50,271.021176,8.649612,755.399448,1
9,19,50,60.547284,20.182428,357.517296,3
13,36,50,46.131264,25.948836,305.619624,3
15,37,50,54.780876,8.649612,152.809812,1
15,36,50,46.131264,20.182428,262.371564,3
21,6,50,40.364856,25.948836,279.670788,3
24,39,50,25.948836,40.364856,322.918848,3
25,31,50,80.729712,23.065632,490.14468,3
28,32,50,43.24806,28.83204,299.853216,3
29,15,50,273.90438,8.649612,784.231488,1
29,15,50,271.021176,8.649612,804.413916,1
30,49,50,43.24806,25.948836,282.553992,3
32,46,50,54.780876,8.649612,158.57622,1
42,23,50,40.364856,23.065632,233.539524,3
44,12,50,60.547284,20.182428,345.98448,3
43,1,50,98.028936,8.649612,288.3204,1
44,46,50,60.547284,23.065632,357.517296,3
46,13,50,57.66408,8.649612,144.1602,1
45,23,50,40.364856,23.065632,268.137972,3
47,32,50,34.598448,17.299224,149.926608,2
48,7,50,49.014468,17.299224,271.021176,3
52,23,50,28.83204,34.598448,164.342628,2
53,0,50,271.021176,8.649612,784.231488,1
