[Wafer Information]
Wafer Number,19
Wafer ID,A108-Q335673-402
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02453-013
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/12/2024 10:17
End Time,01/12/2024 10:20
Inspection Time,0:03:20
Photo Time,0:01:53
Data Output Time,01/12/2024 11:18

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F82 Top side chipping no damage sensor area
19,A108-Q335673-402,5518,5466,99.05763,52,53,13,38,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,40,50,273.90438,8.649612,752.516244,1
15,34,50,49.014468,25.948836,331.56846,3
18,28,50,74.963304,20.182428,441.130212,3
20,28,50,60.547284,20.182428,380.582928,3
22,38,50,43.24806,23.065632,262.371564,3
28,44,50,34.598448,31.715244,230.65632,3
30,63,50,43.24806,20.182428,236.422728,3
33,4,50,43.24806,23.065632,273.90438,3
37,20,50,51.897672,20.182428,291.203604,3
40,32,50,46.131264,23.065632,268.137972,3
43,20,50,37.481652,8.649612,103.795344,1
44,1,50,51.897672,23.065632,294.086808,3
43,6,50,46.131264,17.299224,256.605156,3
43,62,50,95.145732,25.948836,611.239248,3
43,58,50,51.897672,25.948836,299.853216,3
45,31,50,11.532816,8.649612,34.598448,1
45,66,50,268.137972,8.649612,729.450612,1
46,66,50,54.780876,8.649612,158.57622,1
47,19,50,40.364856,23.065632,239.305932,3
52,65,50,49.014468,20.182428,285.437196,3
56,9,50,57.66408,23.065632,351.750888,3
59,28,50,57.66408,23.065632,360.4005,3
61,34,50,43.24806,23.065632,291.203604,3
61,12,50,63.430488,20.182428,354.634092,3
60,59,50,43.24806,20.182428,245.07234,3
63,20,50,54.780876,8.649612,144.1602,1
63,41,50,271.021176,8.649612,810.180324,1
63,41,50,271.021176,8.649612,807.29712,1
63,28,50,63.430488,25.948836,435.363804,3
65,49,50,28.83204,320.035644,1764.520848,2
68,27,50,74.963304,23.065632,475.72866,3
70,49,50,43.24806,17.299224,224.889912,3
72,18,50,69.196896,25.948836,441.130212,3
73,40,50,14.41602,20.182428,83.612916,2
73,37,50,49.014468,23.065632,285.437196,3
77,38,50,46.131264,20.182428,265.254768,3
77,45,50,92.262528,25.948836,605.47284,3
80,27,50,46.131264,20.182428,259.48836,3
80,21,50,51.897672,23.065632,322.918848,3
80,46,50,43.24806,25.948836,296.970012,3
86,41,50,60.547284,20.182428,369.050112,3
92,31,50,37.481652,40.364856,357.517296,3
91,49,50,46.131264,23.065632,294.086808,3
90,49,50,40.364856,23.065632,230.65632,3
95,24,50,34.598448,37.481652,383.466132,3
94,41,50,106.678548,25.948836,706.38498,3
94,42,50,103.795344,20.182428,631.421676,3
97,35,50,43.24806,20.182428,250.838748,3
12,51,50,14.37357,2.874714,14.331245,1
25,46,50,5.749428,11.498856,17.197494,1
43,57,50,5.749428,2.874714,5.732498,1
53,7,50,14.37357,17.248284,48.726233,1
90,40,50,5.749428,2.874714,5.732498,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F82 Top side chipping no damage sensor area
19,A108-Q335673-402,5518,5479,99.293222,39,39,36,2,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,40,Pass,273.90438,8.649612,752.516244,1
15,34,50,49.014468,25.948836,331.56846,3
18,28,50,74.963304,20.182428,441.130212,3
20,28,50,60.547284,20.182428,380.582928,3
22,38,50,43.24806,23.065632,262.371564,3
28,44,50,34.598448,31.715244,230.65632,3
30,63,50,43.24806,20.182428,236.422728,3
33,4,50,43.24806,23.065632,273.90438,3
37,20,50,51.897672,20.182428,291.203604,3
40,32,50,46.131264,23.065632,268.137972,3
43,20,Pass,37.481652,8.649612,103.795344,1
44,1,50,51.897672,23.065632,294.086808,3
43,6,50,46.131264,17.299224,256.605156,3
43,62,50,95.145732,25.948836,611.239248,3
43,58,50,51.897672,25.948836,299.853216,3
45,31,Pass,11.532816,8.649612,34.598448,1
45,66,Pass,268.137972,8.649612,729.450612,1
46,66,Pass,54.780876,8.649612,158.57622,1
47,19,50,40.364856,23.065632,239.305932,3
52,65,50,49.014468,20.182428,285.437196,3
56,9,50,57.66408,23.065632,351.750888,3
59,28,50,57.66408,23.065632,360.4005,3
61,34,50,43.24806,23.065632,291.203604,3
61,12,50,63.430488,20.182428,354.634092,3
60,59,50,43.24806,20.182428,245.07234,3
63,20,Pass,54.780876,8.649612,144.1602,1
63,41,Pass,271.021176,8.649612,810.180324,1
63,41,Pass,271.021176,8.649612,807.29712,1
63,28,50,63.430488,25.948836,435.363804,3
65,49,Pass,28.83204,320.035644,1764.520848,2
68,27,50,74.963304,23.065632,475.72866,3
70,49,50,43.24806,17.299224,224.889912,3
72,18,50,69.196896,25.948836,441.130212,3
73,40,Pass,14.41602,20.182428,83.612916,2
73,37,50,49.014468,23.065632,285.437196,3
77,38,50,46.131264,20.182428,265.254768,3
77,45,50,92.262528,25.948836,605.47284,3
80,27,50,46.131264,20.182428,259.48836,3
80,21,50,51.897672,23.065632,322.918848,3
80,46,50,43.24806,25.948836,296.970012,3
86,41,50,60.547284,20.182428,369.050112,3
92,31,50,37.481652,40.364856,357.517296,3
91,49,50,46.131264,23.065632,294.086808,3
90,49,50,40.364856,23.065632,230.65632,3
95,24,50,34.598448,37.481652,383.466132,3
94,41,50,106.678548,25.948836,706.38498,3
94,42,50,103.795344,20.182428,631.421676,3
97,35,50,43.24806,20.182428,250.838748,3
12,51,Pass,14.37357,2.874714,14.331245,1
25,46,50,5.749428,11.498856,17.197494,1
43,57,Pass,5.749428,2.874714,5.732498,1
53,7,Pass,14.37357,17.248284,48.726233,1
90,40,Pass,5.749428,2.874714,5.732498,1

