[Wafer Information]
Wafer Number,13
Wafer ID,A62-Q333284-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02492-001Q
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/08/2024 11:18
End Time,01/08/2024 11:21
Inspection Time,0:03:19
Photo Time,0:09:18
Data Output Time,01/08/2024 11:59

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling
13,A62-Q333284-352,5518,5466,99.05763,52,85,67,16,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
7,30,50,43.24806,23.065632,279.670788,3
13,16,50,273.90438,8.649612,732.333816,1
12,54,50,43.24806,23.065632,256.605156,3
13,52,50,40.364856,34.598448,328.685256,3
13,55,50,40.364856,34.598448,302.73642,3
18,51,50,46.131264,20.182428,268.137972,3
20,17,50,57.66408,8.649612,155.693016,1
28,24,50,46.131264,28.83204,328.685256,3
36,4,50,31.715244,43.24806,320.035644,3
40,16,50,54.780876,8.649612,152.809812,1
46,17,50,20.182428,23.065632,100.91214,2
52,4,50,43.24806,28.83204,325.802052,3
52,57,50,46.131264,20.182428,279.670788,3
55,9,50,43.24806,25.948836,296.970012,3
57,66,50,49.014468,25.948836,302.73642,3
62,61,50,40.364856,23.065632,259.48836,3
68,16,50,14.41602,20.182428,72.0801,2
68,16,50,8.624142,83.366706,174.841189,3
68,16,50,8.624142,74.742564,171.97494,3
71,57,50,40.364856,23.065632,233.539524,3
70,57,50,46.131264,20.182428,273.90438,3
80,56,50,271.021176,8.649612,709.268184,1
80,56,50,268.137972,8.649612,761.165856,1
80,55,50,273.90438,8.649612,764.04906,1
80,55,50,271.021176,8.649612,764.04906,1
80,55,50,271.021176,8.649612,772.698672,1
80,28,50,46.131264,28.83204,305.619624,3
80,54,50,46.131264,20.182428,271.021176,3
85,52,50,43.24806,23.065632,256.605156,3
87,24,50,43.24806,25.948836,302.73642,3
88,19,50,57.66408,17.299224,181.641852,1
88,19,50,40.245996,17.248284,171.97494,1
89,42,50,37.481652,25.948836,247.955544,3
91,33,50,273.90438,8.649612,804.413916,1
91,33,50,262.371564,8.649612,703.501776,1
94,34,50,271.021176,8.649612,813.063528,1
94,34,50,271.021176,8.649612,813.063528,1
94,34,50,273.90438,8.649612,815.946732,1
67,47,50,14.37357,2.874714,14.331245,1
2,38,50,8.624142,54.619566,123.248707,3
2,39,50,8.624142,51.744852,120.382458,3
2,39,50,8.624142,60.368994,126.114956,3
3,39,50,8.624142,60.368994,146.178699,3
6,39,50,22.997712,57.49428,157.643695,3
6,39,50,8.624142,123.612702,286.6249,3
7,39,50,8.624142,77.617278,194.904932,3
7,39,50,22.997712,48.870138,140.446201,3
7,39,50,22.997712,51.744852,146.178699,3
9,39,50,8.624142,146.610414,312.421141,3
9,39,50,20.122998,103.489704,346.816129,3
10,39,50,34.496568,57.49428,232.166169,3
12,48,50,8.624142,63.243708,137.579952,3
22,54,50,8.624142,68.993136,163.376193,3
22,54,50,8.624142,57.49428,137.579952,3
22,54,50,8.624142,57.49428,131.847454,3
23,36,50,14.37357,51.744852,128.981205,3
23,36,50,22.997712,83.366706,223.567422,3
23,36,50,8.624142,57.49428,128.981205,3
58,66,50,22.997712,57.49428,361.147374,3
63,47,50,17.248284,149.485128,346.816129,3
64,1,50,8.624142,68.993136,157.643695,3
64,1,50,8.624142,68.993136,154.777446,3
64,12,50,8.624142,57.49428,140.446201,3
64,12,50,8.624142,51.744852,114.64996,3
65,1,50,11.498856,103.489704,235.032418,3
65,1,50,11.498856,71.86785,157.643695,3
65,1,50,8.624142,68.993136,160.509944,3
65,1,50,8.624142,100.61499,249.363663,3
65,1,50,11.498856,106.364418,272.293655,3
65,1,50,8.624142,51.744852,117.516209,3
67,12,50,11.498856,83.366706,186.306185,3
70,16,50,11.498856,89.116134,203.503679,3
70,16,50,8.624142,74.742564,151.911197,3
81,8,50,8.624142,74.742564,163.376193,3
81,8,50,20.122998,103.489704,298.089896,3
81,8,50,14.37357,97.740276,237.898667,3
81,8,50,8.624142,172.48284,409.873607,3
81,8,50,11.498856,140.860986,372.61237,3
81,8,50,8.624142,140.860986,312.421141,3
81,8,50,8.624142,54.619566,120.382458,3
80,47,50,8.624142,57.49428,120.382458,3
82,8,50,22.997712,57.49428,157.643695,3
82,8,50,8.624142,74.742564,166.242442,3
84,7,50,8.624142,63.243708,131.847454,3
92,19,50,8.624142,103.489704,214.968675,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling
13,A62-Q333284-352,5518,5495,99.583182,23,24,20,2,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
7,30,50,43.24806,23.065632,279.670788,3
13,16,Pass,273.90438,8.649612,732.333816,1
12,54,50,43.24806,23.065632,256.605156,3
13,52,50,40.364856,34.598448,328.685256,3
13,55,50,40.364856,34.598448,302.73642,3
18,51,50,46.131264,20.182428,268.137972,3
20,17,Pass,57.66408,8.649612,155.693016,1
28,24,50,46.131264,28.83204,328.685256,3
36,4,50,31.715244,43.24806,320.035644,3
40,16,Pass,54.780876,8.649612,152.809812,1
46,17,50,20.182428,23.065632,100.91214,2
52,4,50,43.24806,28.83204,325.802052,3
52,57,50,46.131264,20.182428,279.670788,3
55,9,50,43.24806,25.948836,296.970012,3
57,66,50,49.014468,25.948836,302.73642,3
62,61,50,40.364856,23.065632,259.48836,3
68,16,50,14.41602,20.182428,72.0801,2
68,16,Pass,8.624142,83.366706,174.841189,3
68,16,Pass,8.624142,74.742564,171.97494,3
71,57,50,40.364856,23.065632,233.539524,3
70,57,50,46.131264,20.182428,273.90438,3
80,56,Pass,271.021176,8.649612,709.268184,1
80,56,Pass,268.137972,8.649612,761.165856,1
80,55,Pass,273.90438,8.649612,764.04906,1
80,55,Pass,271.021176,8.649612,764.04906,1
80,55,Pass,271.021176,8.649612,772.698672,1
80,28,50,46.131264,28.83204,305.619624,3
80,54,50,46.131264,20.182428,271.021176,3
85,52,50,43.24806,23.065632,256.605156,3
87,24,50,43.24806,25.948836,302.73642,3
88,19,50,57.66408,17.299224,181.641852,1
88,19,50,40.245996,17.248284,171.97494,1
89,42,50,37.481652,25.948836,247.955544,3
91,33,Pass,273.90438,8.649612,804.413916,1
91,33,Pass,262.371564,8.649612,703.501776,1
94,34,Pass,271.021176,8.649612,813.063528,1
94,34,Pass,271.021176,8.649612,813.063528,1
94,34,Pass,273.90438,8.649612,815.946732,1
67,47,Pass,14.37357,2.874714,14.331245,1
2,38,Pass,8.624142,54.619566,123.248707,3
2,39,Pass,8.624142,51.744852,120.382458,3
2,39,Pass,8.624142,60.368994,126.114956,3
3,39,Pass,8.624142,60.368994,146.178699,3
6,39,Pass,22.997712,57.49428,157.643695,3
6,39,Pass,8.624142,123.612702,286.6249,3
7,39,Pass,8.624142,77.617278,194.904932,3
7,39,Pass,22.997712,48.870138,140.446201,3
7,39,Pass,22.997712,51.744852,146.178699,3
9,39,Pass,8.624142,146.610414,312.421141,3
9,39,Pass,20.122998,103.489704,346.816129,3
10,39,Pass,34.496568,57.49428,232.166169,3
