[Wafer Information]
Wafer Number,9
Wafer ID,A64-Q333284-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02492-002
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/08/2024 10:28
End Time,01/08/2024 10:31
Inspection Time,0:03:19
Photo Time,0:07:24
Data Output Time,01/08/2024 12:57

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder
9,A64-Q333284-352,5518,5478,99.2751,40,60,5,35,20

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
4,30,50,14.41602,20.182428,83.612916,2
15,28,50,57.66408,20.182428,340.218072,3
25,22,50,14.41602,20.182428,83.612916,2
34,30,50,46.131264,23.065632,253.721952,3
38,18,50,46.131264,23.065632,282.553992,3
38,19,50,17.299224,20.182428,92.262528,2
43,40,50,239.305932,8.649612,712.151388,1
43,66,50,273.90438,8.649612,815.946732,1
43,66,50,273.90438,8.649612,815.946732,1
47,24,50,43.24806,23.065632,262.371564,3
54,18,50,271.021176,8.649612,807.29712,1
54,18,50,271.021176,8.649612,810.180324,1
54,18,50,271.021176,8.649612,804.413916,1
54,18,50,271.021176,8.649612,778.46508,1
54,17,50,273.90438,8.649612,807.29712,1
54,17,50,25.948836,8.649612,74.963304,1
53,4,50,20.182428,23.065632,92.262528,2
56,53,50,49.014468,23.065632,317.15244,3
57,39,50,271.021176,8.649612,798.647508,1
57,39,50,271.021176,8.649612,801.530712,1
57,39,50,271.021176,8.649612,804.413916,1
57,39,50,271.021176,8.649612,787.114692,1
57,8,50,83.612916,8.649612,242.189136,1
57,8,50,86.49612,8.649612,227.773116,1
66,66,50,66.313692,8.649612,198.941076,1
70,28,50,60.547284,25.948836,363.283704,3
71,16,50,268.137972,8.649612,775.581876,1
71,16,50,268.137972,8.649612,706.38498,1
82,46,50,17.299224,20.182428,89.379324,2
93,15,50,74.963304,25.948836,469.962252,3
66,50,50,2.874714,5.749428,5.732498,1
22,48,50,8.624142,80.491992,186.306185,3
23,24,50,11.498856,232.851834,524.523567,3
23,24,50,8.624142,57.49428,143.31245,3
26,32,50,8.624142,109.239132,229.29992,3
26,32,50,8.624142,80.491992,177.707438,3
27,32,50,22.997712,54.619566,140.446201,3
27,32,50,8.624142,54.619566,134.713703,3
27,32,50,8.624142,71.86785,171.97494,3
27,32,50,8.624142,71.86785,151.911197,3
32,58,50,8.624142,77.617278,163.376193,3
34,36,50,8.624142,83.366706,177.707438,3
33,58,50,8.624142,66.118422,143.31245,3
36,36,50,8.624142,83.366706,171.97494,3
43,11,50,8.624142,63.243708,157.643695,3
43,11,50,8.624142,181.106982,429.93735,3
43,11,50,20.122998,206.979408,538.854812,3
42,11,50,8.624142,68.993136,157.643695,3
53,65,50,8.624142,54.619566,123.248707,3
58,53,50,8.624142,66.118422,160.509944,3
59,53,50,22.997712,51.744852,140.446201,3
64,5,50,8.624142,293.220828,673.568515,3
64,5,50,8.624142,235.726548,515.92482,3
65,5,50,8.624142,83.366706,183.439936,3
70,16,50,8.624142,97.740276,212.102426,3
74,16,50,8.624142,71.86785,171.97494,3
74,16,50,8.624142,126.487416,292.357398,3
74,16,50,8.624142,198.355266,412.739856,3
83,53,50,20.122998,14.37357,85.98747,1
97,26,50,22.997712,63.243708,366.879872,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder
9,A64-Q333284-352,5518,5505,99.764407,13,13,5,8

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
4,30,50,14.41602,20.182428,83.612916,2
15,28,50,57.66408,20.182428,340.218072,3
25,22,50,14.41602,20.182428,83.612916,2
34,30,50,46.131264,23.065632,253.721952,3
38,18,50,46.131264,23.065632,282.553992,3
38,19,50,17.299224,20.182428,92.262528,2
43,40,Pass,239.305932,8.649612,712.151388,1
43,66,Pass,273.90438,8.649612,815.946732,1
43,66,Pass,273.90438,8.649612,815.946732,1
47,24,50,43.24806,23.065632,262.371564,3
54,18,Pass,271.021176,8.649612,807.29712,1
54,18,Pass,271.021176,8.649612,810.180324,1
54,18,Pass,271.021176,8.649612,804.413916,1
54,18,Pass,271.021176,8.649612,778.46508,1
54,17,Pass,273.90438,8.649612,807.29712,1
54,17,Pass,25.948836,8.649612,74.963304,1
53,4,50,20.182428,23.065632,92.262528,2
56,53,50,49.014468,23.065632,317.15244,3
57,39,Pass,271.021176,8.649612,798.647508,1
57,39,Pass,271.021176,8.649612,801.530712,1
57,39,Pass,271.021176,8.649612,804.413916,1
57,39,Pass,271.021176,8.649612,787.114692,1
57,8,Pass,83.612916,8.649612,242.189136,1
57,8,Pass,86.49612,8.649612,227.773116,1
66,66,Pass,66.313692,8.649612,198.941076,1
70,28,50,60.547284,25.948836,363.283704,3
71,16,Pass,268.137972,8.649612,775.581876,1
71,16,Pass,268.137972,8.649612,706.38498,1
82,46,50,17.299224,20.182428,89.379324,2
93,15,50,74.963304,25.948836,469.962252,3
66,50,Pass,2.874714,5.749428,5.732498,1
22,48,Pass,8.624142,80.491992,186.306185,3
23,24,Pass,11.498856,232.851834,524.523567,3
23,24,Pass,8.624142,57.49428,143.31245,3
26,32,Pass,8.624142,109.239132,229.29992,3
26,32,Pass,8.624142,80.491992,177.707438,3
27,32,Pass,22.997712,54.619566,140.446201,3
27,32,Pass,8.624142,54.619566,134.713703,3
27,32,Pass,8.624142,71.86785,171.97494,3
27,32,Pass,8.624142,71.86785,151.911197,3
32,58,Pass,8.624142,77.617278,163.376193,3
34,36,Pass,8.624142,83.366706,177.707438,3
33,58,Pass,8.624142,66.118422,143.31245,3
36,36,Pass,8.624142,83.366706,171.97494,3
43,11,Pass,8.624142,63.243708,157.643695,3
43,11,Pass,8.624142,181.106982,429.93735,3
43,11,Pass,20.122998,206.979408,538.854812,3
42,11,Pass,8.624142,68.993136,157.643695,3
53,65,Pass,8.624142,54.619566,123.248707,3
58,53,Pass,8.624142,66.118422,160.509944,3
59,53,Pass,22.997712,51.744852,140.446201,3
64,5,Pass,8.624142,293.220828,673.568515,3
64,5,Pass,8.624142,235.726548,515.92482,3
65,5,Pass,8.624142,83.366706,183.439936,3
70,16,Pass,8.624142,97.740276,212.102426,3
74,16,Pass,8.624142,71.86785,171.97494,3
74,16,Pass,8.624142,126.487416,292.357398,3
74,16,Pass,8.624142,198.355266,412.739856,3
83,53,Pass,20.122998,14.37357,85.98747,1
97,26,50,22.997712,63.243708,366.879872,3

