[Wafer Information]
Wafer Number,9
Wafer ID,Q336488-04F3
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,23C02509-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/04/2024 07:07
End Time,01/04/2024 07:14
Inspection Time,0:06:53
Photo Time,0:13:32
Data Output Time,01/04/2024 07:33

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F13 Pad area damage,F07 Incoming microlens periphery peeling
9,Q336488-04F3,19944,19786,99.207782,158,260,248,12

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,79,50,20.182428,31.715244,109.561752,1
6,79,50,25.887708,17.258472,129.13362,1
6,79,50,20.134884,28.76412,137.742528,1
7,59,50,268.137972,11.532816,801.530712,1
7,59,50,268.137972,11.532816,833.245956,1
8,65,50,54.780876,8.649612,147.043404,1
23,26,50,49.014468,60.547284,582.407208,3
23,26,50,54.651828,69.033888,797.758808,3
21,96,50,60.547284,23.065632,389.23254,3
24,69,50,8.649612,46.131264,123.977772,1
24,25,50,8.649612,46.131264,123.977772,1
29,26,50,271.021176,8.649612,804.413916,1
29,26,50,144.1602,11.532816,444.013416,1
29,26,50,170.109036,11.532816,507.443904,1
30,48,50,49.014468,8.649612,126.860976,1
31,87,50,46.131264,8.649612,135.510588,1
44,110,50,63.430488,23.065632,406.531764,3
51,15,50,265.254768,8.649612,694.852164,1
51,81,50,256.605156,8.649612,738.100224,1
73,59,50,204.707484,11.532816,622.772064,1
79,120,50,63.430488,23.065632,441.130212,3
90,3,50,8.649612,46.131264,118.211364,1
90,14,50,8.649612,46.131264,115.32816,1
95,4,50,268.137972,8.649612,706.38498,1
95,4,50,40.364856,8.649612,106.678548,1
95,114,50,210.473892,8.649612,567.991188,1
118,114,50,43.24806,8.649612,126.860976,1
118,114,50,51.775416,20.134884,272.61542,3
120,79,50,43.24806,23.065632,268.137972,3
120,103,50,49.014468,20.182428,268.137972,3
123,99,50,49.014468,23.065632,311.386032,3
133,107,50,54.780876,25.948836,366.166908,3
136,11,50,8.649612,83.612916,219.123504,1
139,37,50,268.137972,11.532816,824.596344,1
139,37,50,268.137972,11.532816,798.647508,1
137,108,50,49.014468,25.948836,371.933316,3
138,75,50,80.729712,8.649612,219.123504,1
139,101,50,46.131264,20.182428,276.787584,3
149,66,50,49.014468,20.182428,279.670788,3
153,100,50,74.963304,46.131264,691.96896,3
158,11,50,8.649612,80.729712,213.357096,1
156,94,50,60.547284,23.065632,380.582928,3
158,65,50,49.014468,23.065632,328.685256,3
165,103,50,43.24806,34.598448,386.349336,3
167,74,50,51.897672,23.065632,308.502828,3
167,88,50,60.547284,25.948836,475.72866,3
173,75,50,46.131264,20.182428,273.90438,3
178,71,50,51.897672,20.182428,299.853216,3
183,70,50,204.707484,8.649612,567.991188,1
184,100,50,1118.683152,8.649612,3096.561096,1
191,87,50,63.430488,25.948836,409.414968,3
192,85,50,57.66408,23.065632,363.283704,3
197,89,50,43.24806,20.182428,242.189136,3
202,44,50,8.649612,80.729712,230.65632,1
13,42,50,37.393356,46.022592,284.093964,3
15,43,50,17.258472,54.651828,232.440516,3
24,44,50,51.775416,37.393356,361.574136,3
52,19,50,54.651828,40.269768,370.183044,3
58,23,50,83.415948,60.404652,763.323176,3
64,7,50,37.393356,60.404652,286.9636,3
82,122,50,77.663124,37.393356,539.491568,3
84,82,50,71.9103,25.887708,456.272124,3
98,80,50,48.899004,63.281064,556.709384,3
119,102,50,434.338212,3770.976132,19266.736104,1
120,102,50,2191.825944,3776.728956,58133.086088,1
120,102,50,86.29236,48.899004,1368.816372,63
120,102,50,83.415948,273.25914,7429.487604,63
121,102,50,2056.63458,3770.976132,42479.221708,1
121,102,50,86.29236,46.022592,1360.207464,63
121,102,50,83.415948,273.25914,7501.228504,63
119,101,50,434.338212,1107.41862,6341.89556,1
120,101,50,2191.825944,1107.41862,20213.715984,1
120,101,50,86.29236,48.899004,1279.857656,63
120,101,50,77.663124,273.25914,7245.8309,63
121,101,50,2056.63458,1107.41862,16379.882288,1
121,101,50,86.29236,48.899004,1342.989648,63
121,101,50,80.539536,273.25914,7337.659252,63
