[Wafer Information]
Wafer Number,11
Wafer ID,Q336488-05E6
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,23C02509-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/04/2024 06:43
End Time,01/04/2024 06:50
Inspection Time,0:06:28
Photo Time,0:13:56
Data Output Time,01/04/2024 07:37

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F13 Pad area damage,F07 Incoming microlens periphery peeling
11,Q336488-05E6,18445,18232,98.845216,213,559,548,11

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
10,76,50,43.24806,23.065632,271.021176,3
10,68,50,14.41602,23.065632,72.0801,1
10,68,50,23.011296,17.258472,40.174904,1
11,63,50,40.364856,31.715244,334.451664,3
13,81,50,23.065632,49.014468,268.137972,3
13,81,50,28.76412,57.52824,404.618676,3
14,78,50,69.196896,23.065632,478.611864,3
19,34,50,54.780876,28.83204,444.013416,3
18,49,50,63.430488,28.83204,449.779824,3
16,85,50,2000.943576,2646.781272,19822.0275,1
16,85,50,184.525056,170.109036,3713.566752,63
17,85,50,2202.767856,2646.781272,33194.327652,1
17,85,50,184.525056,155.693016,3673.201896,63
18,85,50,400.765356,2646.781272,13150.293444,1
18,85,50,172.99224,178.758648,3214.77246,63
16,84,50,2015.359596,2269.081548,24807.087216,1
16,84,50,934.158096,204.707484,20753.302392,63
16,84,50,80.729712,46.131264,1225.3617,63
16,84,50,184.525056,167.225832,3653.019468,63
17,84,50,2217.183876,2269.081548,36215.925444,1
17,84,50,934.158096,201.82428,20773.48482,63
17,84,50,80.729712,46.131264,1222.478496,63
17,84,50,77.846508,268.137972,6882.207948,63
17,84,50,181.641852,155.693016,3681.851508,63
18,84,50,415.181376,2269.081548,9693.331848,1
20,48,50,40.364856,28.83204,331.56846,3
24,60,50,8.649612,103.795344,288.3204,1
24,38,50,8.649612,49.014468,129.74418,1
24,58,50,8.649612,46.131264,123.977772,1
24,47,50,8.649612,46.131264,135.510588,1
24,25,50,8.649612,54.780876,138.393792,1
23,32,50,43.24806,28.83204,328.685256,3
24,33,50,46.131264,31.715244,357.517296,3
26,22,50,8.649612,83.612916,230.65632,1
30,70,50,51.897672,8.649612,135.510588,1
30,48,50,51.897672,8.649612,141.276996,1
31,99,50,51.897672,25.948836,328.685256,3
50,9,50,80.729712,8.649612,236.422728,1
50,9,50,80.729712,8.649612,239.305932,1
51,58,50,74.963304,28.83204,504.5607,3
51,37,50,83.612916,8.649612,216.2403,1
59,13,50,43.24806,31.715244,377.699724,3
61,111,50,46.131264,20.182428,259.48836,3
64,116,50,49.014468,20.182428,294.086808,3
68,15,50,8.649612,149.926608,426.714192,1
72,118,50,46.131264,23.065632,271.021176,3
80,106,50,43.24806,20.182428,256.605156,3
83,109,50,57.66408,23.065632,351.750888,3
90,15,50,8.649612,149.926608,444.013416,1
90,14,50,8.649612,49.014468,118.211364,1
98,112,50,46.131264,23.065632,299.853216,3
96,109,50,54.780876,8.649612,161.459424,1
105,120,50,43.24806,28.83204,340.218072,3
113,108,50,51.897672,74.963304,1069.668684,3
113,108,50,48.899004,40.269768,591.145016,3
115,105,50,69.196896,43.24806,602.589636,3
115,105,50,2191.825944,3802.616664,88568.445504,1
117,26,50,268.137972,8.649612,709.268184,1
116,9,50,80.729712,8.649612,224.889912,1
116,9,50,80.729712,8.649612,239.305932,1
116,119,50,77.846508,8.649612,204.707484,1
116,119,50,46.131264,20.182428,271.021176,3
134,14,50,8.649612,51.897672,129.74418,1
139,26,50,268.137972,11.532816,755.399448,1
139,26,50,149.926608,11.532816,429.597396,1
137,104,50,80.729712,8.649612,233.539524,1
137,115,50,77.846508,8.649612,222.006708,1
141,10,50,74.963304,8.649612,219.123504,1
145,78,50,54.780876,23.065632,377.699724,3
156,25,50,8.649612,49.014468,118.211364,1
156,112,50,57.66408,23.065632,392.115744,3
158,87,50,66.313692,20.182428,403.64856,3
164,92,50,51.897672,23.065632,337.334868,3
164,70,50,60.547284,23.065632,351.750888,3
164,93,50,69.196896,25.948836,507.443904,3
166,95,50,51.897672,25.948836,343.101276,3
167,100,50,51.897672,23.065632,331.56846,3
168,69,50,46.131264,23.065632,273.90438,3
172,80,50,46.131264,25.948836,299.853216,3
171,64,50,51.897672,23.065632,322.918848,3
178,36,50,8.649612,49.014468,126.860976,1
178,80,50,8.649612,51.897672,138.393792,1
180,33,50,8.649612,83.612916,224.889912,1
180,63,50,43.24806,34.598448,377.699724,3
179,87,50,46.131264,23.065632,291.203604,3
179,53,50,1758.75444,1481.966856,7689.505068,1
180,53,50,2185.468632,1481.966856,12677.447988,1
181,53,50,668.903328,1481.966856,5746.225572,1
181,52,50,668.903328,3370.465476,8880.26832,1
181,52,50,242.189136,196.057872,6625.602792,63
181,52,50,28.83204,49.014468,490.14468,63
180,52,50,934.158096,201.82428,20049.800616,63
180,52,50,135.510588,34.598448,1505.032488,63
180,52,50,181.641852,149.926608,3376.231884,63
179,52,50,934.158096,196.057872,19894.1076,63
179,52,50,138.393792,43.24806,1510.798896,63
179,52,50,181.641852,152.809812,3459.8448,63
178,94,50,77.846508,23.065632,507.443904,3
182,68,50,43.24806,23.065632,302.73642,3
184,92,50,46.131264,8.649612,129.74418,1
183,63,50,123.977772,23.065632,778.46508,3
185,43,50,77.846508,8.649612,227.773116,1
191,43,50,2220.06708,3327.217416,160951.980096,1
191,43,50,86.49612,282.553992,8453.554128,63
191,43,50,34.598448,86.49612,971.639748,63
192,43,50,2220.06708,3327.217416,155364.330744,1
192,43,50,86.49612,282.553992,8462.20374,63
192,43,50,34.598448,80.729712,968.756544,63
192,43,50,37.481652,230.65632,2721.744576,63
193,43,50,250.838748,3327.217416,78426.032004,1
193,43,50,37.481652,80.729712,965.87334,63
193,43,50,34.598448,224.889912,2617.949232,63
191,42,50,2220.06708,1588.645404,151319.195532,1
191,42,50,86.49612,282.553992,8444.904516,63
192,42,50,2220.06708,1568.462976,153510.430572,1
192,42,50,86.49612,282.553992,8459.320536,63
193,42,50,250.838748,1539.630936,23867.162712,1
199,72,50,51.897672,23.065632,308.502828,3
201,57,50,54.780876,25.948836,377.699724,3
46,101,50,25.887708,51.775416,275.485056,3
58,11,50,17.258472,25.887708,114.78544,1
58,11,50,8.629236,8.629236,20.087452,1
58,11,50,14.38206,14.38206,34.435632,1
57,62,50,37.393356,46.022592,266.876148,3
60,110,50,14.38206,17.258472,68.871264,1
60,110,50,11.505648,5.752824,14.34818,1
63,110,50,23.011296,57.52824,315.65996,3
115,59,50,422.832564,3480.45852,15866.217444,1
116,59,50,2186.07312,3483.334932,36143.06542,1
117,59,50,2062.387404,3483.334932,21886.713772,1
115,58,50,422.832564,1395.05982,7076.522376,1
116,58,50,2186.07312,1395.05982,18153.317336,1
117,58,50,2062.387404,1392.183408,11880.29304,1
160,110,50,28.76412,51.775416,318.529596,3
180,43,50,120.809304,704.72094,3466.520288,1
181,43,50,2191.825944,704.72094,19370.043,1
182,43,50,2191.825944,704.72094,19591.004972,1
181,42,50,2191.825944,3776.728956,57848.992124,1
181,42,50,86.29236,46.022592,1308.554016,63
181,42,50,83.415948,270.382728,7360.61634,63
182,42,50,2191.825944,3776.728956,59447.379376,1
182,42,50,86.29236,46.022592,1311.423652,63
182,42,50,83.415948,270.382728,7432.35724,63
180,42,50,120.809304,3773.852544,15880.565624,1
180,41,50,77.663124,218.607312,1176.55076,1
181,41,50,2188.949532,218.607312,11248.97312,1
182,41,50,2191.825944,218.607312,11292.01766,1
189,37,50,97.798008,40.269768,639.928828,3
6,49,50,8.629236,8.629236,20.087452,1
10,59,50,11.505648,74.786712,215.2227,1
16,78,50,37.393356,28.76412,152.090708,1
21,32,50,25.887708,31.640532,106.176532,1
20,47,50,2.876412,17.258472,17.217816,1
31,29,50,23.011296,2.876412,22.957088,1
34,97,50,5.752824,8.629236,14.34818,1
38,39,50,1369.172112,770.878416,8792.564704,1
38,39,50,2.876412,28.76412,28.69636,1
38,39,50,11.505648,2.876412,11.478544,1
38,39,50,17.258472,2.876412,17.217816,1
38,39,50,17.258472,2.876412,17.217816,1
38,39,50,17.258472,2.876412,17.217816,1
38,39,50,92.045184,2.876412,91.828352,1
38,39,50,8.629236,2.876412,8.608908,1
38,39,50,11.505648,2.876412,11.478544,1
38,39,50,11.505648,2.876412,11.478544,1
38,39,50,17.258472,2.876412,17.217816,1
38,39,50,31.640532,2.876412,31.565996,1
38,39,50,37.393356,2.876412,37.305268,1
38,39,50,11.505648,2.876412,11.478544,1
38,39,50,11.505648,2.876412,11.478544,1
38,39,50,11.505648,2.876412,11.478544,1
38,39,50,11.505648,2.876412,11.478544,1
38,39,50,11.505648,2.876412,11.478544,1
38,39,50,11.505648,2.876412,11.478544,1
38,39,50,14.38206,2.876412,14.34818,1
39,39,50,2214.83724,773.754828,14922.1072,1
39,39,50,2.876412,80.539536,80.349808,1
39,39,50,2.876412,11.505648,11.478544,1
39,39,50,5.752824,60.404652,77.480172,1
39,39,50,2.876412,11.505648,11.478544,1
39,39,50,11.505648,5.752824,22.957088,1
39,39,50,17.258472,5.752824,25.826724,1
39,39,50,31.640532,5.752824,48.783812,1
39,39,50,11.505648,5.752824,14.34818,1
39,39,50,17.258472,5.752824,22.957088,1
39,39,50,11.505648,5.752824,17.217816,1
39,39,50,11.505648,5.752824,14.34818,1
39,39,50,11.505648,2.876412,11.478544,1
39,39,50,11.505648,2.876412,11.478544,1
39,39,50,11.505648,2.876412,11.478544,1
39,39,50,11.505648,2.876412,11.478544,1
39,39,50,17.258472,2.876412,17.217816,1
39,39,50,11.505648,2.876412,11.478544,1
39,39,50,11.505648,2.876412,11.478544,1
39,39,50,92.045184,2.876412,91.828352,1
39,39,50,17.258472,2.876412,17.217816,1
39,39,50,11.505648,2.876412,11.478544,1
39,39,50,11.505648,2.876412,11.478544,1
39,39,50,11.505648,2.876412,11.478544,1
39,39,50,17.258472,2.876412,17.217816,1
39,39,50,112.180068,2.876412,111.915804,1
39,39,50,11.505648,2.876412,11.478544,1
39,39,50,11.505648,2.876412,11.478544,1
39,39,50,11.505648,2.876412,11.478544,1
39,39,50,140.944188,2.876412,140.612164,1
39,39,50,17.258472,2.876412,17.217816,1
39,39,50,11.505648,2.876412,11.478544,1
39,39,50,11.505648,2.876412,11.478544,1
39,39,50,138.067776,2.876412,137.742528,1
39,39,50,17.258472,2.876412,17.217816,1
39,39,50,11.505648,2.876412,11.478544,1
39,39,50,11.505648,2.876412,11.478544,1
40,39,50,874.429248,765.125592,5808.143264,1
40,39,50,2.876412,83.415948,83.219444,1
40,39,50,2.876412,20.134884,20.087452,1
40,39,50,140.944188,2.876412,140.612164,1
40,39,50,186.96678,2.876412,186.52634,1
40,39,50,11.505648,2.876412,11.478544,1
40,39,50,11.505648,2.876412,11.478544,1
40,39,50,11.505648,2.876412,11.478544,1
40,39,50,166.831896,2.876412,166.438888,1
40,39,50,17.258472,2.876412,17.217816,1
40,39,50,11.505648,2.876412,11.478544,1
40,39,50,11.505648,2.876412,11.478544,1
40,39,50,31.640532,2.876412,31.565996,1
40,39,50,51.775416,2.876412,51.653448,1
