[Wafer Information]
Wafer Number,25
Wafer ID,A65-Q336488-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02522-010
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/19/2024 08:50
End Time,01/19/2024 08:53
Inspection Time,0:03:21
Photo Time,0:03:57
Data Output Time,01/19/2024 09:18

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F33 Black Foreign material,F99 Others
25,A65-Q336488-352,5518,5490,99.49257,28,39,33,5,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,27,50,8.649612,60.547284,155.693016,1
5,43,50,57.66408,8.649612,144.1602,1
6,26,50,37.481652,8.649612,106.678548,1
20,42,50,273.90438,8.649612,717.917796,1
20,42,50,271.021176,8.649612,772.698672,1
20,42,50,271.021176,8.649612,789.997896,1
26,43,50,271.021176,8.649612,764.04906,1
26,43,50,271.021176,8.649612,795.764304,1
26,26,50,227.773116,8.649612,683.319348,1
40,59,50,273.90438,8.649612,761.165856,1
40,18,50,80.729712,8.649612,224.889912,1
40,42,50,54.780876,8.649612,147.043404,1
40,27,50,57.66408,8.649612,158.57622,1
45,58,50,69.196896,23.065632,409.414968,3
46,14,50,11.532816,20.182428,72.0801,2
57,67,50,8.649612,60.547284,161.459424,1
63,3,50,57.66408,8.649612,155.693016,1
63,5,50,273.90438,8.649612,818.829936,1
63,5,50,271.021176,8.649612,813.063528,1
63,5,50,245.07234,8.649612,729.450612,1
68,48,50,40.364856,60.547284,544.925556,3
68,48,50,48.870138,68.993136,822.613463,3
82,19,50,46.131264,23.065632,285.437196,3
94,45,50,8.649612,83.612916,222.006708,1
94,45,50,8.649612,83.612916,239.305932,1
94,45,50,8.649612,170.109036,504.5607,1
94,45,50,8.649612,95.145732,256.605156,1
34,7,50,22.997712,14.37357,88.853719,1
39,53,50,2.874714,5.749428,5.732498,1
42,58,50,8.624142,2.874714,8.598747,1
65,57,50,20.122998,5.749428,25.796241,1
75,14,50,5.749428,2.874714,5.732498,1
44,64,50,8.624142,968.778618,2897.777739,1
44,64,50,2187.657354,986.026902,14233.792534,1
45,64,50,8.624142,968.778618,2897.777739,1
45,64,50,1696.08126,14.37357,8326.453345,1
44,63,50,2187.657354,3104.69112,27983.188987,1
45,63,50,1693.206546,3101.816406,14314.047506,1
80,42,50,63.243708,8.624142,131.847454,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F33 Black Foreign material,F99 Others
25,A65-Q336488-352,5518,5513,99.909387,5,6,2,2,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,27,Pass,8.649612,60.547284,155.693016,1
5,43,Pass,57.66408,8.649612,144.1602,1
6,26,Pass,37.481652,8.649612,106.678548,1
20,42,Pass,273.90438,8.649612,717.917796,1
20,42,Pass,271.021176,8.649612,772.698672,1
20,42,Pass,271.021176,8.649612,789.997896,1
26,43,Pass,271.021176,8.649612,764.04906,1
26,43,Pass,271.021176,8.649612,795.764304,1
26,26,Pass,227.773116,8.649612,683.319348,1
40,59,Pass,273.90438,8.649612,761.165856,1
40,18,Pass,80.729712,8.649612,224.889912,1
40,42,Pass,54.780876,8.649612,147.043404,1
40,27,Pass,57.66408,8.649612,158.57622,1
45,58,50,69.196896,23.065632,409.414968,3
46,14,Pass,11.532816,20.182428,72.0801,2
57,67,Pass,8.649612,60.547284,161.459424,1
63,3,Pass,57.66408,8.649612,155.693016,1
63,5,Pass,273.90438,8.649612,818.829936,1
63,5,Pass,271.021176,8.649612,813.063528,1
63,5,Pass,245.07234,8.649612,729.450612,1
68,48,50,40.364856,60.547284,544.925556,3
68,48,50,48.870138,68.993136,822.613463,3
82,19,50,46.131264,23.065632,285.437196,3
94,45,Pass,8.649612,83.612916,222.006708,1
94,45,Pass,8.649612,83.612916,239.305932,1
94,45,Pass,8.649612,170.109036,504.5607,1
94,45,Pass,8.649612,95.145732,256.605156,1
34,7,Pass,22.997712,14.37357,88.853719,1
39,53,Pass,2.874714,5.749428,5.732498,1
42,58,Pass,8.624142,2.874714,8.598747,1
65,57,Pass,20.122998,5.749428,25.796241,1
75,14,Pass,5.749428,2.874714,5.732498,1
44,64,Pass,8.624142,968.778618,2897.777739,1
44,64,Pass,2187.657354,986.026902,14233.792534,1
45,64,Pass,8.624142,968.778618,2897.777739,1
45,64,Pass,1696.08126,14.37357,8326.453345,1
44,63,50,2187.657354,3104.69112,27983.188987,1
45,63,50,1693.206546,3101.816406,14314.047506,1
80,42,Pass,63.243708,8.624142,131.847454,3

