[Wafer Information]
Wafer Number,23
Wafer ID,A66-Q336488-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02522-010
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/19/2024 09:00
End Time,01/19/2024 09:03
Inspection Time,0:03:20
Photo Time,0:01:46
Data Output Time,01/19/2024 09:18

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others
23,A66-Q336488-352,1906,1898,99.580273,8,9,2,7

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
36,17,50,17.299224,20.182428,95.145732,2
46,25,50,89.379324,8.649612,245.07234,1
50,22,50,262.371564,8.649612,749.63304,1
60,7,50,273.90438,8.649612,815.946732,1
60,7,50,175.875444,8.649612,524.743128,1
63,25,50,14.41602,20.182428,72.0801,2
32,11,50,5.749428,2.874714,5.732498,1
46,18,50,14.37357,2.874714,14.331245,1
49,11,50,5.749428,5.749428,8.598747,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others
23,A66-Q336488-352,1906,1906,100,0,0,0

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
36,17,Pass,17.299224,20.182428,95.145732,2
46,25,Pass,89.379324,8.649612,245.07234,1
50,22,Pass,262.371564,8.649612,749.63304,1
60,7,Pass,273.90438,8.649612,815.946732,1
60,7,Pass,175.875444,8.649612,524.743128,1
63,25,Pass,14.41602,20.182428,72.0801,2
32,11,Pass,5.749428,2.874714,5.732498,1
46,18,Pass,14.37357,2.874714,14.331245,1
49,11,Pass,5.749428,5.749428,8.598747,1

