[Wafer Information]
Wafer Number,19
Wafer ID,A81-Q336488-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02528-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/18/2024 02:12
End Time,01/18/2024 02:16
Inspection Time,0:03:21
Photo Time,0:03:14
Data Output Time,01/18/2024 02:29

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F13 Pad area damage,F99 Others
19,A81-Q336488-352,5518,5446,98.695179,72,189,24,78,17,64,6

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,35,50,51.897672,23.065632,305.619624,3
7,31,50,8.649612,172.99224,458.429436,1
7,31,50,8.649612,175.875444,513.210312,1
7,31,50,8.649612,83.612916,250.838748,1
6,19,50,8.649612,83.612916,230.65632,1
6,19,50,8.649612,86.49612,219.123504,1
6,31,50,8.649612,83.612916,224.889912,1
6,31,50,8.649612,83.612916,230.65632,1
6,31,50,8.649612,86.49612,250.838748,1
6,31,50,8.649612,181.641852,518.97672,1
8,25,50,8.649612,83.612916,239.305932,1
9,25,50,8.649612,83.612916,216.2403,1
9,25,50,8.649612,83.612916,242.189136,1
9,19,50,54.780876,8.649612,158.57622,1
11,37,50,25.948836,43.24806,285.437196,3
14,35,50,14.41602,20.182428,66.313692,2
15,30,50,8.649612,83.612916,239.305932,1
15,30,50,8.649612,83.612916,242.189136,1
15,30,50,8.649612,170.109036,490.14468,1
15,30,50,8.649612,92.262528,256.605156,1
15,30,50,8.649612,170.109036,469.962252,1
16,30,50,8.649612,83.612916,227.773116,1
22,19,50,8.649612,170.109036,501.677496,1
24,42,50,49.014468,23.065632,311.386032,3
23,18,50,271.021176,8.649612,738.100224,1
26,42,50,66.313692,23.065632,429.597396,3
29,19,50,54.780876,28.83204,357.517296,3
28,38,50,43.24806,23.065632,256.605156,3
31,3,50,40.364856,34.598448,374.81652,3
34,40,50,43.24806,23.065632,253.721952,3
34,31,50,8.649612,74.963304,207.590688,1
34,31,50,8.649612,106.678548,302.73642,1
37,29,50,8.649612,86.49612,233.539524,1
40,63,50,11.532816,8.649612,34.598448,1
40,30,50,8.649612,83.612916,207.590688,1
40,30,50,8.649612,86.49612,236.422728,1
43,18,50,273.90438,8.649612,807.29712,1
46,20,50,8.649612,86.49612,233.539524,1
46,39,50,43.24806,23.065632,273.90438,3
46,10,50,74.963304,8.649612,210.473892,1
46,10,50,80.729712,8.649612,216.2403,1
46,10,50,170.109036,8.649612,458.429436,1
49,40,50,46.131264,20.182428,250.838748,3
53,47,50,14.41602,20.182428,86.49612,2
52,29,50,43.24806,28.83204,345.98448,3
51,66,50,98.028936,389.23254,960.106932,1
52,66,50,2182.585428,389.23254,5896.15218,1
52,66,50,118.211364,106.678548,1856.783376,4
52,66,50,11.532816,5.766408,23.065632,1
53,66,50,839.012364,389.23254,2444.956992,1
53,66,50,118.211364,106.678548,1810.652112,4
53,66,50,20.182428,5.766408,40.364856,1
51,65,50,98.028936,3710.683548,7603.008948,1
51,65,50,69.196896,106.678548,1026.420624,4
51,65,50,69.196896,109.561752,1107.150336,4
51,65,50,69.196896,109.561752,974.522952,4
51,65,50,69.196896,106.678548,1037.95344,4
51,65,50,69.196896,106.678548,1046.603052,4
51,65,50,69.196896,109.561752,1032.187032,4
51,65,50,69.196896,106.678548,919.742076,4
51,65,50,69.196896,106.678548,1049.486256,4
52,65,50,2182.585428,3710.683548,19181.956212,1
52,65,50,928.391688,196.057872,18968.599116,63
52,65,50,115.32816,109.561752,1698.207156,4
52,65,50,444.013416,449.779824,50061.071052,2
52,65,50,115.32816,109.561752,1787.58648,4
52,65,50,118.211364,109.561752,1856.783376,4
52,65,50,115.32816,106.678548,1767.404052,4
52,65,50,118.211364,109.561752,1845.25056,4
52,65,50,118.211364,109.561752,1836.600948,4
52,65,50,397.882152,426.714192,57502.620576,2
52,65,50,118.211364,109.561752,1813.535316,4
52,65,50,118.211364,109.561752,1819.301724,4
52,65,50,118.211364,109.561752,1871.199396,4
52,65,50,181.641852,144.1602,3197.473236,63
52,65,50,115.32816,109.561752,1735.688808,4
52,65,50,397.882152,423.830988,57341.161152,2
