[Wafer Information]
Wafer Number,19
Wafer ID,A37-Q335419-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C2069-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/02/2024 01:11
End Time,01/02/2024 01:15
Inspection Time,0:03:21
Photo Time,0:06:12
Data Output Time,01/02/2024 02:27

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling
19,A37-Q335419-352,5518,5465,99.039507,53,84,57,23,4

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,33,50,271.021176,8.649612,781.348284,1
3,25,50,8.649612,83.612916,222.006708,1
3,25,50,8.649612,83.612916,233.539524,1
3,25,50,8.649612,172.99224,490.14468,1
3,25,50,8.649612,83.612916,239.305932,1
3,29,50,54.780876,8.649612,158.57622,1
5,48,50,49.014468,23.065632,296.970012,3
7,46,50,54.780876,23.065632,331.56846,3
6,49,50,161.459424,8.649612,452.663028,1
8,46,50,271.021176,8.649612,723.684204,1
12,24,50,46.131264,23.065632,273.90438,3
12,19,50,63.430488,8.649612,178.758648,1
12,48,50,46.131264,23.065632,288.3204,3
13,40,50,40.364856,31.715244,305.619624,3
20,11,50,37.481652,8.649612,98.028936,1
23,33,50,222.006708,8.649612,625.655268,1
23,33,50,271.021176,8.649612,738.100224,1
23,33,50,268.137972,8.649612,758.282652,1
23,10,50,271.021176,8.649612,798.647508,1
23,10,50,271.021176,8.649612,801.530712,1
23,10,50,227.773116,8.649612,666.020124,1
26,25,50,8.649612,141.276996,374.81652,1
37,47,50,268.137972,8.649612,729.450612,1
43,40,50,63.430488,23.065632,377.699724,3
45,10,50,271.021176,8.649612,813.063528,1
45,10,50,271.021176,8.649612,810.180324,1
45,10,50,123.977772,8.649612,371.933316,1
49,46,50,227.773116,8.649612,617.005656,1
49,10,50,8.649612,152.809812,392.115744,1
56,23,50,271.021176,8.649612,813.063528,1
56,23,50,92.262528,8.649612,276.787584,1
56,23,50,268.137972,8.649612,761.165856,1
56,23,50,268.137972,8.649612,712.151388,1
56,23,50,37.481652,8.649612,103.795344,1
55,24,50,54.780876,25.948836,389.23254,3
55,24,50,51.744852,14.37357,174.841189,3
57,23,50,271.021176,8.649612,795.764304,1
59,23,50,8.649612,172.99224,507.443904,1
57,47,50,271.021176,8.649612,712.151388,1
60,58,50,43.24806,25.948836,271.021176,3
64,10,50,37.481652,8.649612,95.145732,1
67,46,50,43.24806,23.065632,268.137972,3
71,35,50,57.66408,23.065632,343.101276,3
76,23,50,271.021176,8.649612,735.21702,1
76,23,50,268.137972,8.649612,715.034592,1
76,23,50,51.897672,8.649612,141.276996,1
77,23,50,103.795344,8.649612,308.502828,1
77,23,50,273.90438,8.649612,787.114692,1
77,23,50,123.977772,8.649612,325.802052,1
91,40,50,43.24806,23.065632,253.721952,3
99,44,50,51.897672,23.065632,308.502828,3
98,35,50,60.547284,25.948836,371.933316,3
97,44,50,46.131264,20.182428,268.137972,3
12,14,50,45.995424,5.749428,60.191229,1
12,32,50,2.874714,8.624142,8.598747,1
12,32,50,2.874714,5.749428,5.732498,1
12,37,50,14.37357,2.874714,14.331245,1
16,27,50,22.997712,2.874714,22.929992,1
26,54,50,8.624142,2.874714,8.598747,1
32,46,50,17.248284,60.368994,289.491149,1
32,46,50,2.874714,20.122998,20.063743,1
35,55,50,17.248284,2.874714,17.197494,1
36,54,50,14.37357,11.498856,31.528739,1
49,40,50,5.749428,2.874714,5.732498,1
66,51,50,2.874714,20.122998,20.063743,1
82,57,50,20.122998,2.874714,20.063743,1
100,42,50,20.122998,2.874714,20.063743,1
39,40,50,405.334674,181.106982,24881.907569,3
39,40,50,2176.158498,2572.86903,21049.732656,1
39,40,50,402.45996,428.332386,58869.888211,3
40,40,50,11.498856,2555.620746,10192.381444,1
40,40,50,405.334674,181.106982,24870.442573,3
40,40,50,405.334674,428.332386,58970.206926,3
40,40,50,1911.68481,14.37357,9530.277925,1
39,39,50,2176.158498,1523.59842,16750.359156,1
39,39,50,86.24142,48.870138,1338.538283,63
39,39,50,77.617278,270.223116,7260.208717,63
39,39,50,405.334674,428.332386,58758.1045,3
40,39,50,1914.559524,1523.59842,14511.818687,1
