[Wafer Information]
Wafer Number,13
Wafer ID,A40-Q335419-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C2069-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/02/2024 01:45
End Time,01/02/2024 01:49
Inspection Time,0:03:21
Photo Time,0:06:32
Data Output Time,01/02/2024 02:30

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F99 Others
13,A40-Q335419-352,5518,5468,99.093875,50,78,61,13,4

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
17,25,50,271.021176,8.649612,715.034592,1
17,25,50,271.021176,8.649612,715.034592,1
22,35,50,11.532816,8.649612,34.598448,1
25,55,50,8.649612,83.612916,239.305932,1
26,55,50,8.649612,144.1602,369.050112,1
26,53,50,8.649612,86.49612,227.773116,1
26,44,50,8.649612,83.612916,245.07234,1
27,50,50,43.24806,25.948836,291.203604,3
27,63,50,43.24806,17.299224,239.305932,3
28,41,50,273.90438,8.649612,717.917796,1
36,1,50,271.021176,8.649612,749.63304,1
37,1,50,271.021176,8.649612,746.749836,1
37,1,50,271.021176,8.649612,781.348284,1
37,1,50,268.137972,8.649612,798.647508,1
37,1,50,271.021176,8.649612,775.581876,1
37,1,50,23.065632,8.649612,66.313692,1
39,31,50,17.299224,20.182428,100.91214,2
46,47,50,8.649612,83.612916,224.889912,1
48,14,50,28.83204,325.802052,2292.14718,2
48,14,50,28.83204,325.802052,2049.958044,2
48,14,50,28.83204,328.685256,2248.89912,2
51,23,50,60.547284,28.83204,426.714192,3
51,23,50,51.744852,14.37357,177.707438,3
52,67,50,63.430488,23.065632,377.699724,3
54,26,50,49.014468,37.481652,464.195844,3
54,1,50,8.649612,152.809812,392.115744,1
55,66,50,66.313692,25.948836,435.363804,3
60,26,50,271.021176,8.649612,795.764304,1
60,26,50,268.137972,8.649612,801.530712,1
58,66,50,46.131264,20.182428,268.137972,3
59,25,50,271.021176,8.649612,723.684204,1
59,0,50,273.90438,8.649612,735.21702,1
59,1,50,271.021176,8.649612,752.516244,1
72,30,50,49.014468,25.948836,320.035644,3
73,42,50,268.137972,8.649612,755.399448,1
80,26,50,273.90438,8.649612,732.333816,1
90,41,50,37.481652,8.649612,106.678548,1
90,41,50,271.021176,8.649612,746.749836,1
90,41,50,271.021176,8.649612,761.165856,1
94,42,50,74.963304,8.649612,219.123504,1
27,26,50,5.749428,8.624142,14.331245,1
27,26,50,14.37357,60.368994,292.357398,1
26,62,50,37.371282,2.874714,37.261237,1
26,62,50,25.872426,2.874714,25.796241,1
31,65,50,86.24142,5.749428,117.516209,1
31,65,50,8.624142,2.874714,8.598747,1
31,65,50,11.498856,2.874714,11.464996,1
36,17,50,5.749428,2.874714,5.732498,1
44,63,50,54.619566,2.874714,54.458731,1
46,22,50,5.749428,5.749428,11.464996,1
47,66,50,71.86785,8.624142,143.31245,1
47,66,50,17.248284,2.874714,17.197494,1
47,66,50,8.624142,2.874714,8.598747,1
47,66,50,14.37357,2.874714,14.331245,1
47,66,50,11.498856,2.874714,11.464996,1
48,57,50,28.74714,2.874714,28.66249,1
52,63,50,17.248284,2.874714,17.197494,1
53,65,50,45.995424,5.749428,51.592482,1
53,65,50,5.749428,2.874714,5.732498,1
53,65,50,11.498856,2.874714,11.464996,1
63,66,50,2.874714,40.245996,40.127486,1
67,41,50,11.498856,14.37357,45.859984,1
68,66,50,34.496568,5.749428,37.261237,1
68,66,50,8.624142,2.874714,8.598747,1
76,54,50,2.874714,11.498856,11.464996,1
77,42,50,2.874714,25.872426,25.796241,1
89,37,50,11.498856,2.874714,11.464996,1
90,53,50,8.624142,57.49428,126.114956,1
42,6,50,8.624142,2940.832422,8214.669634,1
42,6,50,2187.657354,2955.205992,17088.576538,1
42,6,50,399.585246,422.582958,56783.258939,3
42,6,50,396.710532,419.708244,57061.285092,3
43,6,50,8.624142,2926.458852,8613.078245,1
43,6,50,396.710532,419.708244,57064.151341,3
43,6,50,1353.990294,14.37357,5334.089389,1
42,5,50,2187.657354,1132.637316,10888.879951,1
42,5,50,396.710532,181.106982,24096.555343,3
43,5,50,1353.990294,1132.637316,6042.052892,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F99 Others
13,A40-Q335419-352,5518,5508,99.818775,10,11,9,1,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
17,25,Pass,271.021176,8.649612,715.034592,1
17,25,Pass,271.021176,8.649612,715.034592,1
22,35,Pass,11.532816,8.649612,34.598448,1
25,55,Pass,8.649612,83.612916,239.305932,1
26,55,Pass,8.649612,144.1602,369.050112,1
26,53,Pass,8.649612,86.49612,227.773116,1
26,44,Pass,8.649612,83.612916,245.07234,1
27,50,50,43.24806,25.948836,291.203604,3
27,63,50,43.24806,17.299224,239.305932,3
28,41,Pass,273.90438,8.649612,717.917796,1
36,1,Pass,271.021176,8.649612,749.63304,1
37,1,Pass,271.021176,8.649612,746.749836,1
37,1,Pass,271.021176,8.649612,781.348284,1
37,1,Pass,268.137972,8.649612,798.647508,1
37,1,Pass,271.021176,8.649612,775.581876,1
37,1,Pass,23.065632,8.649612,66.313692,1
39,31,50,17.299224,20.182428,100.91214,2
46,47,Pass,8.649612,83.612916,224.889912,1
48,14,Pass,28.83204,325.802052,2292.14718,2
48,14,Pass,28.83204,325.802052,2049.958044,2
48,14,Pass,28.83204,328.685256,2248.89912,2
51,23,50,60.547284,28.83204,426.714192,3
51,23,50,51.744852,14.37357,177.707438,3
52,67,50,63.430488,23.065632,377.699724,3
54,26,50,49.014468,37.481652,464.195844,3
54,1,Pass,8.649612,152.809812,392.115744,1
55,66,50,66.313692,25.948836,435.363804,3
60,26,Pass,271.021176,8.649612,795.764304,1
60,26,Pass,268.137972,8.649612,801.530712,1
58,66,50,46.131264,20.182428,268.137972,3
59,25,Pass,271.021176,8.649612,723.684204,1
59,0,Pass,273.90438,8.649612,735.21702,1
59,1,Pass,271.021176,8.649612,752.516244,1
72,30,50,49.014468,25.948836,320.035644,3
73,42,Pass,268.137972,8.649612,755.399448,1
80,26,Pass,273.90438,8.649612,732.333816,1
90,41,Pass,37.481652,8.649612,106.678548,1
90,41,Pass,271.021176,8.649612,746.749836,1
90,41,Pass,271.021176,8.649612,761.165856,1
94,42,Pass,74.963304,8.649612,219.123504,1
27,26,Pass,5.749428,8.624142,14.331245,1
27,26,Pass,14.37357,60.368994,292.357398,1
26,62,Pass,37.371282,2.874714,37.261237,1
26,62,Pass,25.872426,2.874714,25.796241,1
31,65,Pass,86.24142,5.749428,117.516209,1
31,65,Pass,8.624142,2.874714,8.598747,1
31,65,Pass,11.498856,2.874714,11.464996,1
36,17,Pass,5.749428,2.874714,5.732498,1
44,63,Pass,54.619566,2.874714,54.458731,1
46,22,50,5.749428,5.749428,11.464996,1
47,66,Pass,71.86785,8.624142,143.31245,1
47,66,Pass,17.248284,2.874714,17.197494,1
47,66,Pass,8.624142,2.874714,8.598747,1
47,66,Pass,14.37357,2.874714,14.331245,1
47,66,Pass,11.498856,2.874714,11.464996,1
48,57,Pass,28.74714,2.874714,28.66249,1
52,63,Pass,17.248284,2.874714,17.197494,1
53,65,Pass,45.995424,5.749428,51.592482,1
53,65,Pass,5.749428,2.874714,5.732498,1
53,65,Pass,11.498856,2.874714,11.464996,1
63,66,Pass,2.874714,40.245996,40.127486,1
67,41,Pass,11.498856,14.37357,45.859984,1
68,66,Pass,34.496568,5.749428,37.261237,1
68,66,Pass,8.624142,2.874714,8.598747,1
76,54,Pass,2.874714,11.498856,11.464996,1
77,42,Pass,2.874714,25.872426,25.796241,1
89,37,Pass,11.498856,2.874714,11.464996,1
90,53,Pass,8.624142,57.49428,126.114956,1
42,6,Pass,8.624142,2940.832422,8214.669634,1
42,6,Pass,2187.657354,2955.205992,17088.576538,1
42,6,Pass,399.585246,422.582958,56783.258939,3
42,6,Pass,396.710532,419.708244,57061.285092,3
43,6,Pass,8.624142,2926.458852,8613.078245,1
43,6,Pass,396.710532,419.708244,57064.151341,3
43,6,Pass,1353.990294,14.37357,5334.089389,1
42,5,Pass,2187.657354,1132.637316,10888.879951,1
42,5,Pass,396.710532,181.106982,24096.555343,3
43,5,Pass,1353.990294,1132.637316,6042.052892,1

